SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
MG,42382,SERRANOPOLIS DE MINAS,320,3,81,0,151,1477,879,3553,105,2674,537
MG,42390,CANDEIAS,2584,46,596,3,445,3806,1488,10567,817,9079,782
MG,42404,SETUBINHA,692,9,54,1,131,2112,1872,5990,101,4118,1018
MG,42412,CAPARAO,679,13,149,1,701,659,572,3054,64,2482,216
MG,42420,TAPARUBA,910,4,274,2,347,486,540,2932,113,2392,256
MG,42439,CAPELA NOVA,1046,17,122,0,158,1325,572,3845,264,3273,341
MG,42447,UNIAO DE MINAS,1331,3,244,0,155,693,966,3650,56,2684,202
MG,42455,CAPELINHA,4291,19,473,8,947,6367,5482,20340,664,14858,2089
MG,42463,URUANA DE MINAS,905,6,130,2,154,498,840,2886,39,2046,312
MG,42471,CAPETINGA,1209,31,265,3,354,1711,1207,5429,261,4222,388
MG,42480,VARGEM GRANDE DO RIO PARDO,338,4,52,1,20,1530,729,3156,44,2427,438
MG,42498,CAPIM BRANCO,2332,8,324,5,605,861,676,5459,296,4783,352
MG,42501,VARJAO DE MINAS,799,5,210,3,175,1496,869,3876,109,3007,210
MG,42510,CAPINOPOLIS,4282,43,965,2,847,2414,2442,11859,291,9417,573
MG,42528,VERDELANDIA,1287,4,106,0,79,924,1135,4187,96,3052,556
MG,42536,CAPITAO ENEAS,3247,11,602,5,562,1704,2341,9572,261,7231,839
MG,42544,VEREDINHA,1063,3,34,1,113,954,947,3680,78,2733,487
MG,42552,CAPITOLIO,2885,12,313,2,352,1154,1017,6112,142,5095,235
MG,42560,VERMELHO NOVO,1451,15,106,1,276,678,850,3849,163,2999,309
MG,42579,CAPUTIRA,2265,12,219,0,621,1045,1019,6142,337,5123,624
MG,42587,TOCOS DO MOJI,1034,4,86,1,66,1278,362,3123,120,2761,172
MG,42595,CARAI,3132,19,180,3,559,2341,3472,11411,232,7939,1473
MG,42617,CARANAIBA,720,13,222,6,170,1038,379,2948,153,2569,247
MG,42633,CARANDAI,6528,101,947,11,1630,3069,1597,16114,1001,14517,1230
MG,42650,CARANGOLA,6301,119,1575,6,4206,4201,4308,22994,662,18686,1616
MG,42676,CARATINGA,18520,180,3198,31,9359,8569,10803,54951,1631,44148,2660
MG,42692,CARBONITA,2898,8,105,3,130,988,1992,6660,277,4668,259
MG,42714,CAREACU,1371,7,361,1,278,1296,877,4523,94,3646,238
MG,42730,CARLOS CHAGAS,5237,24,830,6,623,2921,4592,15818,390,11226,1195
MG,42757,CARMESIA,644,1,72,0,100,284,489,1818,60,1329,168
MG,42773,CARMO DA CACHOEIRA,2936,59,635,3,386,1548,1917,8428,346,6511,598
MG,42790,CARMO DA MATA,2779,45,821,4,357,2156,1145,8392,401,7247,684
MG,42811,CARMO DE MINAS,2486,24,725,0,871,1580,1209,7793,300,6584,598
MG,42838,CARMO DO CAJURU,5737,80,1167,9,730,2257,1477,13034,690,11557,887
MG,42854,CARMO DO PARANAIBA,4922,56,2007,2,1372,5008,3019,19043,1125,16024,1532
MG,42870,CARMO DO RIO CLARO,5281,62,983,4,491,3276,2184,13378,427,11194,670
MG,42897,CARMOPOLIS DE MINAS,3479,28,500,3,416,3318,1399,10277,333,8878,801
MG,42919,CARRANCAS,1016,22,323,0,91,741,677,3248,78,2571,300
MG,42935,CARVALHOPOLIS,880,6,104,3,137,716,361,2435,69,2074,159
MG,42951,CARVALHOS,1082,11,140,2,226,1275,795,4066,147,3271,388
MG,42978,CASA GRANDE,731,8,106,3,238,489,195,1974,75,1779,129
MG,42994,CASCALHO RICO,577,4,215,0,337,606,322,2230,61,1908,108
MG,43010,CASSIA,3612,34,638,0,988,3485,2237,12296,408,10059,894
MG,43036,CONCEICAO DA BARRA DE MINAS,798,10,187,1,126,1224,438,3081,118,2643,179
MG,43052,CATAGUASES,21820,170,4324,18,6997,4274,6395,47329,1327,40934,2004
MG,43079,CATAS ALTAS DA NORUEGA,906,12,118,0,92,653,617,2986,203,2369,385
MG,43095,CAXAMBU,6596,67,1257,14,2153,2279,2525,15984,382,13459,711
MG,43117,CEDRO DO ABAETE,211,2,105,0,40,357,195,1090,57,895,123
MG,43133,CENTRAL DE MINAS,934,9,82,0,1159,1025,1414,5459,372,4045,464
MG,43150,CENTRALINA,2914,22,685,0,333,1173,1613,7314,174,5701,400
MG,43176,CHACARA,800,6,335,0,187,248,273,2055,69,1782,137
MG,43192,CHALE,1220,6,49,2,790,833,855,4171,91,3316,325
MG,43214,CHAPADA DO NORTE,1472,3,96,5,114,2359,3706,9061,289,5355,1017
MG,43230,CHIADOR,518,5,93,1,1010,240,430,2544,61,2114,186
MG,43257,CIPOTANEA,961,11,405,1,207,1048,1496,5200,482,3704,589
MG,43273,CLARAVAL,695,5,174,0,162,1436,437,3090,51,2653,130
MG,43290,CLARO DOS POCOES,2161,5,333,2,346,1372,985,5931,185,4946,542
MG,43311,CLAUDIO,5336,42,1183,3,432,4981,1546,15314,860,13768,931
MG,43338,COIMBRA,1630,17,184,1,298,1464,682,5028,191,4346,561
MG,43354,COLUNA,1683,27,208,3,207,1264,1628,5970,211,4342,739
MG,43370,COMENDADOR GOMES,455,3,151,0,49,918,103,1791,39,1688,73
MG,43397,COMERCINHO,1834,7,129,1,119,1581,1994,6503,177,4509,661
MG,43419,CONCEICAO DA APARECIDA,2206,14,303,4,374,1780,1391,6776,307,5385,397
MG,43435,CONCEICAO DA PEDRA,673,7,113,0,94,756,238,2109,95,1871,133
MG,43451,CONCEICAO DAS ALAGOAS,4998,15,885,2,853,2951,2636,13358,318,10722,700
MG,43478,CONCEICAO DE IPANEMA,1129,4,41,0,346,973,416,3245,54,2829,282
MG,43494,CONCEICAO DO MATO DENTRO,4262,24,1130,8,352,1379,3652,13151,386,9499,1958
MG,43516,CONCEICAO DO PARA,1537,18,311,2,166,853,653,4003,190,3350,273
MG,43532,CONCEICAO DO RIO VERDE,2916,16,432,6,581,2245,1737,8879,321,7142,625
MG,43559,CONCEICAO DOS OUROS,1903,40,756,0,517,1837,923,6473,182,5550,315
MG,43575,CONGONHAL,1894,32,376,4,344,2082,422,5585,206,5163,225
MG,43591,CONGONHAS,18000,98,1733,26,2251,2461,3088,30215,991,27127,1567
MG,43613,CONGONHAS DO NORTE,1023,4,117,2,101,495,958,3489,133,2531,656
MG,43630,CONQUISTA,1569,17,380,3,137,1732,1024,5245,145,4221,238
MG,43656,CONSELHEIRO LAFAIETE,41826,455,4455,54,4953,8881,7784,73367,2017,65583,2942
MG,43672,CONSELHEIRO PENA,4533,27,620,2,3023,2467,5185,17263,526,12078,880
MG,43699,CONSOLACAO,424,16,64,0,76,504,212,1453,57,1241,100
MG,43710,CONTAGEM,188700,1350,16290,266,67798,27545,45438,368705,7983,323267,13335
MG,43737,COQUEIRAL,2611,19,232,3,257,1806,1302,6684,186,5382,268
MG,43753,CORACAO DE JESUS,5677,38,1543,5,919,3226,4386,18133,593,13747,1746
MG,43770,CORDISBURGO,2278,16,428,2,372,1070,1256,6221,271,4965,528
MG,43796,CORDISLANDIA,878,7,278,0,168,639,449,2728,91,2279,218
MG,43818,CORINTO,7143,40,1359,10,1554,2187,4307,18287,516,13980,1171
MG,43834,COROACI,1722,22,327,2,563,1656,2136,7865,406,5729,1031
MG,43850,COROMANDEL,6103,51,1998,7,1836,4368,3821,20252,784,16431,1284
MG,43877,CORONEL FABRICIANO,31814,132,3693,31,13946,4312,11418,68647,1296,57229,2005
MG,43893,CORONEL MURTA,1610,8,155,0,219,2005,1947,6834,178,4887,712
MG,43915,CORONEL PACHECO,1132,16,161,1,243,365,163,2337,70,2174,186
MG,43931,CORONEL XAVIER CHAVES,954,24,93,2,93,755,291,2403,67,2112,124
MG,43958,CORREGO DANTA,886,3,334,1,165,637,489,2841,67,2352,259
MG,43974,CORREGO DO BOM JESUS,1133,19,297,3,193,843,552,3397,95,2845,262
MG,43990,CORREGO NOVO,961,9,73,0,237,649,416,2663,121,2247,197
MG,44016,COUTO DE MAGALHAES DE MINAS,1393,6,105,0,141,398,883,3334,70,2451,338
MG,44032,CRISTAIS,2465,16,380,0,319,1495,963,6582,330,5619,614
MG,44059,CRISTALIA,705,3,47,0,311,773,853,3616,21,2763,903
MG,44075,CRISTIANO OTONI,1392,33,282,6,435,767,391,3712,147,3321,259
MG,44091,CRISTINA,2056,34,644,1,574,1973,1288,7282,238,5994,474
MG,44113,CRUCILANDIA,1039,11,112,4,153,1196,392,3451,277,3059,267
MG,44130,CRUZEIRO DA FORTALEZA,1007,4,328,0,67,846,399,2832,73,2433,108
MG,44156,CRUZILIA,3799,20,514,3,186,2768,1569,9796,263,8227,674
MG,44172,CURVELO,18851,173,4351,14,2964,7525,8529,46029,1358,37500,2264
MG,44199,DATAS,1479,15,90,5,122,773,801,3721,96,2920,340
MG,44210,DELFIM MOREIRA,1646,52,274,3,520,1918,981,5930,248,4949,288
MG,44237,DELFINOPOLIS,1440,13,430,3,231,1313,1379,5257,157,3878,291
MG,44253,DESCOBERTO,1507,13,233,3,432,640,387,3579,113,3192,251
MG,44270,DESTERRO DE ENTRE RIOS,1160,23,179,0,309,1791,998,5282,387,4284,435
MG,44296,DESTERRO DO MELO,695,5,177,3,123,942,303,2696,84,2393,364
MG,44318,DIAMANTINA,11785,86,1750,18,1458,4933,6381,29138,694,22757,2033
MG,44334,DIOGO DE VASCONCELOS,874,5,138,1,128,629,457,2920,106,2463,582
MG,44350,DIONISIO,3334,8,281,4,636,632,1890,7577,213,5687,579
MG,44377,DIVINESIA,1239,3,229,0,125,421,418,2735,59,2317,241
MG,44393,DIVINO,4009,26,479,6,1941,2150,2641,12787,441,10146,1094
MG,44415,DIVINO DAS LARANJEIRAS,768,11,89,1,949,939,1089,4373,143,3284,384
MG,44431,DIVINOLANDIA DE MINAS,1447,22,79,0,178,899,946,4429,117,3483,741
MG,44458,DIVINOPOLIS,71589,478,10546,39,9249,16917,12286,128601,3439,116315,4058
MG,44474,DIVISA NOVA,1805,14,190,1,193,622,653,3846,76,3193,292
MG,44490,DOM CAVATI,1251,9,108,2,730,907,929,4340,96,3411,308
MG,44512,DOM JOAQUIM,1117,6,240,0,138,373,1071,3901,202,2830,754
MG,44539,DOM SILVERIO,1983,9,261,3,131,702,593,4288,188,3695,418
MG,44555,DOM VICOSO,484,6,125,1,130,975,493,2551,121,2058,216
MG,44571,DONA EUSEBIA,1220,18,304,2,724,1068,526,4248,155,3722,231
MG,44598,DORES DE CAMPOS,2511,39,574,3,310,1288,654,6475,542,5821,554
MG,44610,DORES DE GUANHAES,1593,12,99,1,329,695,1167,4498,152,3331,450
MG,44636,DORES DO INDAIA,3187,18,1017,2,797,2808,2708,11721,471,9013,713
MG,44652,DORES DO TURVO,1278,5,131,3,121,948,621,3688,154,3067,427
MG,44679,DORESOPOLIS,320,0,40,1,49,519,250,1330,36,1080,115
MG,44695,DOURADOQUARA,482,3,94,0,121,398,197,1431,42,1234,94
MG,44717,ELOI MENDES,5427,31,994,8,854,4463,1953,15083,477,13130,876
MG,44733,ENGENHEIRO CALDAS,1642,3,204,2,532,1086,525,4802,222,4277,586
MG,44750,ENGENHEIRO NAVARRO,2318,5,171,6,384,875,1495,5850,109,4355,487
MG,44776,ENTRE RIOS DE MINAS,3816,33,772,6,503,2324,1693,10325,471,8632,707
MG,44792,ERVALIA,3906,35,865,5,466,3045,2884,13703,697,10819,1800
MG,44814,ESMERALDAS,10744,75,1577,14,2895,4803,4163,26883,998,22720,1614
MG,44830,ESPERA FELIZ,5033,61,753,5,2358,2603,2723,14988,469,12265,983
MG,44857,ESPINOSA,3327,19,697,0,605,9292,6623,22709,548,16086,1598
MG,44873,ESPIRITO SANTO DO DOURADO,1232,9,220,0,191,883,403,3427,179,3024,310
MG,44890,ESTIVA,2159,47,797,1,478,1780,1033,7024,318,5991,411
MG,44911,ESTRELA DALVA,682,5,157,1,407,143,408,2109,44,1701,262
MG,44938,ESTRELA DO INDAIA,764,4,210,1,198,897,705,3156,176,2451,201
MG,44954,ESTRELA DO SUL,1629,14,316,1,409,1523,1133,5542,181,4409,336
MG,44970,EUGENOPOLIS,2599,29,435,3,1814,944,1527,8055,249,6528,455
MG,44997,EWBANK DA CAMARA,1290,11,260,0,402,262,360,2893,73,2533,235
MG,45012,EXTREMA,5602,53,648,2,875,3717,1936,14117,453,12181,831
MG,45039,FAMA,775,18,181,0,75,400,296,1951,84,1655,122
MG,45055,FARIA LEMOS,992,9,128,0,514,552,508,2994,48,2486,243
MG,45071,FELICIO DOS SANTOS,776,7,128,0,148,1083,1326,4065,144,2739,453
MG,45098,SAO GONCALO DO RIO PRETO,790,1,95,2,63,465,745,2587,97,1842,329
MG,45110,FELISBURGO,1476,2,82,13,134,835,1472,4489,63,3017,412
MG,45136,FELIXLANDIA,3215,26,523,2,460,2006,1902,9372,543,7470,695
MG,45152,FERNANDES TOURINHO,617,3,139,0,183,626,513,2460,38,1947,341
MG,45179,FERROS,2354,19,792,1,387,1619,2522,9342,322,6820,1326
MG,45195,FLORESTAL,2168,7,339,2,284,499,532,4168,120,3636,217
MG,45217,FORMIGA,17819,234,3619,29,3902,10998,5588,46484,2189,40896,2106
MG,45233,FORMOSO,1499,2,287,0,218,899,1507,4887,90,3380,385
MG,45250,FORTALEZA DE MINAS,1079,14,153,0,137,804,689,3424,197,2735,351
MG,45276,FORTUNA DE MINAS,692,10,123,1,111,376,224,1737,95,1513,105
MG,45292,FRANCISCO BADARO,736,3,80,1,132,2885,2185,6788,148,4603,618
MG,45314,FRANCISCO DUMONT,739,3,196,0,731,390,861,3335,78,2474,337
MG,45330,FRANCISCO SA,6124,13,649,6,916,2752,4367,17084,545,12717,1712
MG,45357,FREI GASPAR,1285,2,74,0,240,691,869,3785,63,2916,561
MG,45373,FREI INOCENCIO,2387,34,181,1,599,790,1393,6021,130,4628,506
MG,45390,FRONTEIRA,2211,17,670,0,430,1316,459,5631,152,5172,376
MG,45411,FRUTAL,10921,65,2418,6,3224,8344,5616,33086,1081,27470,1411
MG,45438,FUNILANDIA,990,9,242,2,351,460,583,2896,79,2313,180
MG,45454,GALILEIA,1510,13,205,1,975,808,1716,5915,161,4199,526
MG,45470,GONCALVES,864,19,236,0,92,818,552,2966,129,2414,256
MG,45497,GONZAGA,569,2,69,1,465,958,1292,4304,151,3012,797
MG,45519,GOUVEA,3428,14,213,0,430,1196,1994,8327,291,6333,761
MG,45535,GOVERNADOR VALADARES,46639,499,14212,53,39909,23619,36357,171027,3484,134670,6255
MG,45551,GRAO MOGOL,1442,8,236,1,307,2933,2835,9194,170,6359,1262
MG,45578,GRUPIARA,387,1,290,0,126,218,185,1315,43,1130,65
MG,45594,GUANHAES,4332,95,1743,23,1791,3825,5097,20185,950,15088,2329
MG,45616,GUAPE,3240,12,562,8,258,2451,1516,9135,396,7619,692
MG,45632,GUARACIABA,2049,24,253,4,199,1987,940,6787,237,5847,1094
MG,45659,GUARANESIA,5201,54,307,4,856,2891,1937,12646,499,10709,897
MG,45675,GUARANI,3062,18,272,3,515,1131,1037,6780,175,5743,567
MG,45691,GUARARA,1329,10,193,3,590,287,402,3122,85,2720,223
MG,45713,GUARDA-MOR,1360,8,319,1,347,1094,985,4542,117,3557,311
MG,45730,GUAXUPE,15715,95,1380,8,2299,5995,4983,33258,929,28275,1854
MG,45756,GUIDOVAL,2129,24,407,2,437,1270,930,5916,285,4986,432
MG,45772,GUIMARANIA,1632,22,837,3,172,1038,837,4933,139,4096,253
MG,45799,GUIRICEMA,3029,16,233,4,524,1206,1150,7113,318,5963,633
MG,45810,GURINHATA,1819,12,415,1,434,1436,1286,5768,110,4482,255
MG,45837,HELIODORA,1372,20,234,1,141,1223,630,4126,155,3496,350
MG,45853,IAPU,2481,26,173,1,743,1504,1471,7134,214,5663,521
MG,45870,IBERTIOGA,1602,8,284,1,173,914,365,3801,109,3436,345
MG,45896,IBIA,5443,57,1360,9,1387,2814,2696,15173,516,12477,891
MG,45918,IBIAI,1145,3,304,0,360,1152,1273,4811,198,3538,376
MG,45934,IBIRACI,2490,17,456,3,482,2127,1277,7442,164,6165,426
MG,45950,IBIRITE,33779,203,1819,41,13593,4183,7619,65975,1868,58356,2870
MG,45977,IBITIURA DE MINAS,779,6,254,0,219,682,437,2747,143,2310,227
MG,45993,IBITURUNA,566,6,77,0,94,801,261,2015,46,1754,164
MG,46019,IGARAPE,7153,59,1049,8,2295,2289,2390,16779,700,14389,836
MG,46035,IGARATINGA,2052,40,265,18,329,986,654,4946,356,4292,246
MG,46051,IGUATAMA,2735,23,517,10,315,1222,1114,6561,176,5447,449
MG,46078,IJACI,1266,13,277,3,321,1115,429,4033,262,3604,347
MG,46094,ILICINEA,3225,9,377,0,333,1563,1327,7279,248,5952,197
MG,46116,INCONFIDENTES,1736,30,346,1,292,1654,794,5315,209,4521,253
MG,46132,INDIANOPOLIS,1458,10,272,1,218,666,362,3210,92,2848,131
MG,46159,INGAI,611,7,128,1,61,600,334,1987,84,1653,161
MG,46175,INHAPIM,6667,37,1182,9,1725,3150,5069,20161,667,15092,1655
MG,46191,INHAUMA,1512,20,207,1,288,698,641,3764,104,3123,293
MG,46213,INIMUTABA,1511,18,271,2,230,1021,810,4362,132,3552,367
MG,46230,IPANEMA,3364,23,608,4,1533,3500,2764,13062,317,10298,949
MG,46256,IPATINGA,62442,441,6626,78,37097,11387,21739,146797,2594,125058,4393
MG,46272,IPIACU,1286,6,256,2,285,693,608,3439,62,2831,241
MG,46299,IPUIUNA,2162,26,573,1,1006,1561,977,6957,286,5980,365
MG,46310,IRAI DE MINAS,1357,15,266,1,326,1116,582,4110,102,3528,345
MG,46337,ITABIRA,37262,255,5789,37,7577,7103,9336,73326,2106,63990,3861
MG,46353,ITABIRINHA,1262,21,114,1,1050,1397,630,5417,212,4787,730
MG,46370,ITABIRITO,15974,87,1808,12,2027,3334,2723,27984,882,25261,1137
MG,46396,ITACAMBIRA,873,7,179,1,100,974,774,3447,117,2673,422
MG,46418,ITACARAMBI,3408,7,1268,2,657,1185,3041,10973,225,7932,1180
MG,46434,ITAGUARA,2944,26,325,6,338,2574,1051,8402,500,7351,638
MG,46450,ITAIPE,1411,4,337,0,433,1425,1952,6550,156,4598,832
MG,46477,ITAJUBA,26351,367,4247,26,8065,9502,7997,59512,1198,51515,1759
MG,46493,ITAMARANDIBA,4732,46,604,7,1044,5339,4779,19083,1187,14304,1345
MG,46515,ITAMARATI DE MINAS,1343,13,196,0,391,386,379,3074,134,2695,232
MG,46531,ITAMBACURI,4475,24,602,3,693,3610,5095,16928,504,11833,1922
MG,46558,ITAMBE DO MATO DENTRO,489,2,204,0,130,331,266,1786,73,1520,291
MG,46574,ITAMOGI,2831,35,438,2,275,2038,1574,8217,345,6643,679
MG,46590,ITAMONTE,2537,49,977,8,949,2360,1198,8902,373,7704,451
MG,46612,ITANHANDU,3794,41,671,4,1165,1986,1305,9714,282,8409,466
MG,46639,ITANHOMI,3101,31,310,3,805,1465,2902,9645,236,6743,792
MG,46655,ITAOBIM,4449,28,423,4,1012,3091,4467,15198,388,10731,1336
MG,46671,ITAPAGIPE,2544,17,829,2,323,2895,1585,8791,211,7206,385
MG,46698,ITAPECERICA,6630,57,863,8,595,4030,2987,17479,722,14492,1587
MG,46710,ITAPEVA,1256,30,518,1,423,1543,911,5299,171,4388,446
MG,46736,ITATIAIUCU,2930,15,238,3,368,984,939,6155,257,5216,421
MG,46752,ITAUNA,30266,262,4279,21,4425,6995,4997,54352,1428,49355,1679
MG,46779,ITAVERAVA,1634,15,337,3,211,1228,768,5019,424,4251,399
MG,46795,ITINGA,2419,5,183,8,364,2522,2876,9366,181,6490,808
MG,46817,ITUETA,1286,3,209,0,641,1132,1082,4738,126,3656,259
MG,46833,ITUIUTABA,28078,161,5843,16,4145,12444,13048,66915,1264,53867,1916
MG,46850,ITUMIRIM,1437,44,543,3,172,1440,720,4937,229,4217,349
MG,46876,ITURAMA,9661,20,1401,11,960,3933,4019,21569,451,17550,1113
MG,46892,ITUTINGA,1186,17,250,1,120,765,543,3147,130,2604,135
MG,46914,JABOTICATUBAS,3748,33,1173,5,845,1674,1956,10905,415,8949,1056
MG,46930,JACINTO,1458,8,285,1,548,2788,2951,9216,245,6265,932
MG,46957,JACUI,1186,17,321,6,388,1909,789,5303,345,4514,342
MG,46973,JACUTINGA,4286,51,1411,5,1547,3037,2137,13686,499,11549,713
MG,46990,JAGUARACU,1215,7,88,4,272,250,358,2382,61,2024,127
MG,47015,JANAUBA,14045,57,2346,10,2192,8675,9119,40960,1510,31841,3006
MG,47031,JANUARIA,12832,43,2756,11,2410,8276,11422,42135,897,30713,3488
MG,47058,JAPARAIBA,1013,7,127,0,273,589,293,2570,105,2277,163
MG,47074,JECEABA,2014,9,266,1,252,827,752,4688,242,3936,325
MG,47090,JEQUERI,2784,16,297,4,565,1896,2818,10310,523,7492,1407
MG,47112,JEQUITAI,2269,2,297,1,295,851,1805,6306,180,4501,606
MG,47139,JEQUITIBA,1247,8,283,1,278,1333,909,4464,157,3555,248
MG,47155,JEQUITINHONHA,5622,22,495,9,697,2144,4752,15717,417,10965,1559
MG,47171,JESUANIA,1520,13,212,2,221,730,654,3781,109,3127,320
MG,47198,JOAIMA,3330,7,966,18,385,774,2751,9387,170,6636,986
MG,47210,JOANESIA,1464,15,276,0,565,509,1688,5366,223,3678,626
MG,47236,JOAO MONLEVADE,27041,225,3144,34,5279,5186,7445,50686,952,43241,1380
MG,47252,JOAO PINHEIRO,8596,68,2841,11,1832,7357,6774,30207,870,23433,1858
MG,47279,JOAQUIM FELICIO,936,2,160,1,154,597,316,2564,210,2248,188
MG,47295,JORDANIA,1591,0,215,1,483,1692,2147,7079,375,4932,575
MG,47317,NOVA UNIAO,1689,18,258,1,340,703,786,4351,233,3565,323
MG,47333,JUIZ DE FORA,174699,2220,26318,214,45438,24565,38667,329757,6364,291090,11272
MG,47350,JURAMENTO,1067,8,582,1,170,310,805,3467,61,2662,463
MG,47376,JURUAIA,1405,16,304,2,650,1743,1068,5742,141,4674,413
MG,47392,LADAINHA,1899,17,213,6,349,3063,3340,10320,199,6980,1234
MG,47414,LAGAMAR,1648,3,614,2,605,1635,1342,6432,211,5090,372
MG,47430,LAGOA DA PRATA,8351,83,2259,5,2388,6867,3573,26015,1014,22442,1475
MG,47457,LAGOA DOS PATOS,861,3,528,0,208,498,884,3432,87,2548,363
MG,47473,LAGOA DOURADA,2421,36,440,6,274,2751,887,7911,512,7024,584
MG,47490,LAGOA FORMOSA,2887,31,1286,6,629,4070,2397,12875,894,10478,675
MG,47511,LAGOA SANTA,11256,62,2574,17,3754,3191,4025,27259,938,23234,1442
MG,47538,LAJINHA,3696,22,296,5,1791,3149,3160,13592,314,10432,1159
MG,47554,LAMBARI,4949,61,689,6,1266,3427,2041,13682,398,11641,845
MG,47570,LAMIM,1002,13,85,2,70,781,418,2883,146,2465,366
MG,47597,LARANJAL,1735,13,891,2,702,582,597,4972,155,4375,295
MG,47619,LASSANCE,1460,7,392,1,174,811,1114,4432,101,3318,372
MG,47635,LAVRAS,24724,458,5139,42,4501,9349,7164,56108,1934,48944,2797
MG,47651,LEANDRO FERREIRA,1114,4,224,3,128,498,467,2745,134,2278,173
MG,47678,LEOPOLDINA,16797,108,3204,11,4660,3223,5849,36210,988,30361,1370
MG,47694,LIBERDADE,1454,31,348,1,473,870,905,4629,139,3724,408
MG,47716,LIMA DUARTE,5559,70,845,15,703,1785,2151,12398,466,10247,804
MG,47732,LUMINARIAS,1102,9,346,3,139,975,603,3834,257,3231,400
MG,47759,LUZ,3967,47,1372,6,640,2894,2463,12841,650,10378,802
MG,47775,MACHACALIS,1731,13,114,2,329,778,1799,5459,136,3660,557
MG,47791,MACHADO,8856,73,1549,6,2356,5663,3252,23992,966,20740,1271
MG,47813,MADRE DE DEUS DE MINAS,1601,11,130,1,94,1030,646,3878,120,3232,245
MG,47830,MALACACHETA,2615,19,520,1,499,3631,5036,14711,325,9675,2065
MG,47856,MANGA,3177,15,1037,5,851,2878,3936,13835,486,9899,1450
MG,47872,MANHUACU,15463,146,2152,14,8316,7204,7712,44981,1701,37269,2273
MG,47899,MANHUMIRIM,4754,48,993,4,2135,2438,2608,14435,366,11827,1089
MG,47910,MANTENA,4648,31,736,2,5459,1702,5451,19773,488,14322,1256
MG,47937,MARAVILHAS,1364,14,424,3,238,1450,612,4516,175,3904,236
MG,47953,MAR DE ESPANHA,2297,23,640,3,1476,1678,1254,8204,225,6950,608
MG,47970,MARIA DA FE,3040,87,672,4,654,3757,1332,10251,270,8919,435
MG,47996,MARIANA,15814,161,2180,12,2631,3872,4463,33474,1636,29011,2705
MG,48011,MARILAC,1079,12,86,0,109,669,1179,3612,128,2433,350
MG,48038,MARIPA DE MINAS,677,10,311,1,287,451,280,2295,61,2015,217
MG,48054,MARLIERIA,1736,9,102,1,321,260,567,3322,126,2755,200
MG,48070,MARMELOPOLIS,880,11,47,0,293,635,571,2688,81,2117,170
MG,48097,MARTINHO CAMPOS,2329,49,924,4,696,1984,1810,8874,562,7064,516
MG,48119,MATERLANDIA,764,9,277,2,101,479,1121,3486,246,2365,487
MG,48135,MATEUS LEME,6773,56,851,10,1499,2114,2214,15565,815,13351,1233
MG,48151,MATIAS BARBOSA,4909,46,621,7,1203,655,1111,9235,196,8124,487
MG,48178,MATIPO,2870,16,327,0,1881,2322,2084,11430,593,9346,1337
MG,48194,MATO VERDE,1903,20,558,2,367,3838,2482,10595,331,8113,1094
MG,48216,MATOZINHOS,10579,63,1549,12,2840,2309,2738,22222,884,19484,1248
MG,48232,MATUTINA,600,3,334,0,126,794,814,3226,157,2412,398
MG,48259,MEDEIROS,548,3,190,1,73,795,375,2252,83,1877,184
MG,48275,MEDINA,4754,18,471,17,855,3125,5385,16851,696,11466,1530
MG,48291,MENDES PIMENTEL,1074,12,69,0,1188,719,1525,5366,173,3841,606
MG,48313,MERCES,2657,33,519,4,363,1500,1642,7843,408,6201,717
MG,48330,MESQUITA,1400,14,123,1,411,947,905,4686,176,3781,709
MG,48356,MINAS NOVAS,2872,27,326,9,386,5177,6851,18579,643,11728,2288
MG,48372,MINDURI,1405,13,111,4,195,445,674,3156,60,2482,249
MG,48399,MIRABELA,3071,15,640,4,360,1705,2644,9068,206,6424,423
MG,48410,MIRADOURO,3199,14,591,0,884,770,1056,7467,285,6411,668
MG,48437,MIRAI,2757,22,368,8,1664,1867,2040,10010,394,7970,890
MG,48453,MOEDA,1462,16,276,0,278,680,462,3554,168,3092,212
MG,48470,MOEMA,1129,13,588,2,116,1638,1064,5149,127,4085,472
MG,48496,MONJOLOS,532,6,174,0,86,515,717,2273,62,1556,181
MG,48518,MONSENHOR PAULO,2149,11,295,0,344,978,533,4953,164,4420,479
MG,48534,MONTALVANIA,1381,2,606,2,365,3703,3056,10489,197,7433,1177
MG,48550,MONTE ALEGRE DE MINAS,3686,42,1664,6,1607,2563,2794,13658,498,10864,798
MG,48577,MONTE AZUL,3524,6,441,2,278,7035,4721,18286,365,13565,1914
MG,48593,MONTE BELO,2357,17,465,2,457,3575,1494,9543,613,8049,563
MG,48615,MONTE CARMELO,12468,127,2357,7,2369,5808,4987,30908,959,25921,1826
