SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
PA,5495,SAO JOAO DO ARAGUAIA,1679,6,425,0,878,851,1185,5672,159,4487,489
PA,5517,SAO MIGUEL DO GUAMA,5238,37,1950,3,2050,6968,5783,23383,280,17600,1074
PA,5533,SAO SEBASTIAO DA BOA VISTA,3791,13,150,2,1235,2095,2939,10968,146,8029,597
PA,5550,SENADOR JOSE PORFIRIO,1502,0,400,0,456,1114,1724,5634,64,3910,374
PA,5576,SOURE,3228,27,2283,2,1867,1780,3186,13322,209,10136,740
PA,5592,TOME ACU,6265,14,1333,3,3579,5649,7068,26676,575,19608,2190
PA,5614,TUCURUI,15502,79,2601,4,7731,9348,9412,48361,952,38949,2732
PA,5630,VIGIA,6918,63,2384,4,3182,4504,5415,24653,684,19238,1499
PA,5657,VIZEU,5740,17,1279,2,4939,5785,8700,29587,703,20887,2422
PA,5673,REDENCAO,10298,34,3214,2,7308,7264,9667,41634,910,31967,2937
PA,5690,RIO MARIA,3446,18,684,2,1506,1814,3959,12636,281,8677,926
PA,5711,XINGUARA,5920,19,1330,0,3093,3740,6283,22594,565,16311,1644
PA,5738,RONDON DO PARA,6717,20,1690,2,2675,3753,7542,24777,497,17235,1881
PA,5754,URUARA,4392,14,1376,1,1755,4567,4054,18162,507,14108,1496
PA,5770,MEDICILANDIA,2953,9,1003,0,1139,3331,2617,12431,294,9814,1085
PA,5797,SAO GERALDO DO ARAGUAIA,2886,8,668,3,1720,4340,5709,17227,398,11518,1495
PA,5819,CONCORDIA DO PARA,3311,10,475,2,1470,2999,4584,14237,273,9653,1113
PA,5835,PARAUAPEBAS,18238,88,2907,3,8156,5050,11607,50388,1327,38781,3012
PA,5851,CURIONOPOLIS,3196,11,1121,0,1772,2470,5215,15176,311,9961,1080
PA,5878,GARRAFAO DO NORTE,1529,9,2534,3,775,2594,3543,12522,418,8979,1117
PA,5894,RUROPOLIS,2718,6,540,1,936,3992,2794,11874,184,9080,703
PA,5916,PACAJA,2994,4,720,1,1257,4088,3662,14253,419,10591,1108
PA,5932,BREJO GRANDE DO ARAGUAIA,1132,3,390,1,672,872,1471,5075,76,3604,458
PA,5959,OURILANDIA DO NORTE,1998,10,566,3,1509,1568,3091,9644,174,6553,725
PA,5975,DOM ELISEU,4369,12,2017,2,2189,4110,5664,20503,511,14839,1629
PA,5991,SANTA MARIA DAS BARREIRAS,931,1,409,1,613,1289,2337,6172,94,3835,497
PB,19003,RIACHAO DO POCO,884,1,147,0,174,672,385,2820,86,2435,471
PB,19011,AGUA BRANCA,777,5,317,4,73,2215,856,5165,152,4309,766
PB,19020,SOBRADO,994,3,180,1,352,1270,1184,4772,185,3588,603
PB,19038,AGUIAR,1879,2,334,2,154,566,576,4355,60,3779,782
PB,19046,SAO JOSE DOS RAMOS,1235,3,48,0,103,719,756,3435,86,2679,485
PB,19054,ALAGOA GRANDE,6116,19,1113,3,1411,3264,3180,18730,897,15550,2727
PB,19062,CAPIM,531,0,97,1,475,760,833,3349,240,2516,412
PB,19070,ALAGOA NOVA,3453,18,690,6,795,2698,2024,12124,597,10100,1843
PB,19089,CUITE DE MAMANGUAPE,1220,12,103,1,264,983,1308,4672,124,3364,657
PB,19097,ALAGOINHA,2921,11,174,0,842,1377,1106,8121,367,7015,1323
PB,19100,CURRAL DE CIMA,478,2,37,3,213,1472,1297,4300,124,3003,674
PB,19119,ALHANDRA,3697,5,357,1,2075,2079,3009,12942,586,9933,1133
PB,19127,RIACHAO DO BACAMARTE,795,3,65,0,233,811,824,3387,126,2563,530
PB,19135,SAO JOAO DO RIO DO PEIXE,3395,26,1685,1,796,2068,1885,12282,738,10397,1688
PB,19143,MATINHAS,817,6,47,0,228,616,894,3193,154,2299,431
PB,19151,ARACAGI,3423,16,209,1,803,2209,4016,12679,375,8663,1627
PB,19160,LOGRADOURO,965,0,47,0,259,385,384,2496,53,2112,403
PB,19178,ARARA,1849,10,115,2,277,1912,1321,6607,225,5286,896
PB,19186,SERTAOZINHO,1127,3,71,1,182,435,430,2656,63,2226,344
PB,19194,ARARUNA,3498,9,167,3,705,2505,1595,10488,295,8893,1711
PB,19208,RIACHAO,721,5,28,5,78,755,426,2238,24,1812,196
PB,19216,AREIA,4556,30,750,4,1233,3450,1960,14955,830,12995,2142
PB,19224,SAO DOMINGOS DO CARIRI,441,2,72,0,107,722,370,1916,17,1546,185
PB,19232,AREIAL,1190,7,245,0,244,964,655,3957,181,3302,471
PB,19240,CARAUBAS,568,4,176,2,174,1039,374,2755,76,2381,342
PB,19259,AROEIRAS,1816,16,285,3,878,4373,1897,12042,492,10145,2282
PB,19267,SANTO ANDRE,295,7,223,1,184,602,223,1936,80,1713,321
PB,19275,DAMIAO,932,7,76,0,167,697,585,3001,47,2416,490
PB,19283,SOSSEGO,288,1,224,1,248,556,164,1786,40,1622,264
PB,19291,BAIA DA TRAICAO,771,3,130,0,381,959,968,4123,341,3155,570
PB,19305,BARAUNAS,471,4,92,0,153,807,313,2313,66,2000,407
PB,19313,BANANEIRAS,5204,11,347,0,1054,2556,2194,13851,508,11657,1977
PB,19321,ASSUNCAO,425,0,70,1,286,928,206,2215,51,2009,248
PB,19330,BARRA DE SANTA ROSA,2689,8,137,1,372,2584,1000,8076,98,7076,1187
PB,19348,ZABELE,312,8,163,1,91,400,176,1434,67,1258,216
PB,19356,BARRA DE SAO MIGUEL,901,7,221,0,230,1324,746,4036,114,3290,493
PB,19364,CACIMBAS,311,8,146,1,97,1787,1454,4680,146,3226,730
PB,19372,BAYEUX,23054,89,2522,18,11732,6166,10612,61788,2890,51176,4705
PB,19380,CAJAZEIRINHAS,838,2,107,0,78,745,396,2747,85,2351,496
PB,19399,BELEM,3604,6,282,1,817,2298,2022,10830,405,8808,1395
PB,19402,SAO BENTINHO,1123,1,106,0,68,316,591,2701,36,2110,460
PB,19410,BELEM DO BREJO DO CRUZ,678,8,503,0,186,1521,681,4387,182,3706,628
PB,19429,SAO DOMINGOS DE POMBAL,470,1,279,0,217,726,651,2772,95,2121,333
PB,19437,BOA VENTURA,1117,2,190,1,281,942,694,3954,80,3260,647
PB,19445,SAO JOSE DE PRINCESA,594,3,129,1,90,698,818,2800,46,1982,421
PB,19453,BOM JESUS,543,6,151,0,60,442,238,1747,66,1509,241
PB,19461,MARIZOPOLIS,1283,3,370,1,320,1062,625,4333,168,3708,501
PB,19470,BOM SUCESSO,1150,7,691,2,220,533,640,3898,128,3258,527
PB,19488,MATO GROSSO,211,0,24,0,29,1026,201,1765,19,1564,255
PB,19496,BONITO DE SANTA FE,1696,9,931,1,288,1017,1039,5978,122,4939,875
PB,19500,BERNARDINO BATISTA,193,2,58,0,98,887,291,1823,39,1532,255
PB,19518,BOQUEIRAO,3148,24,898,1,741,2732,2940,12505,361,9565,1660
PB,19526,POCO DE JOSE DE MOURA,1182,15,357,9,160,379,384,3098,79,2714,533
PB,19534,IGARACY,1509,3,222,0,270,727,988,4520,78,3532,723
PB,19542,SAO JOSE DO BREJO CRUZ,471,2,185,1,73,211,153,1297,39,1144,162
PB,19550,BORBOREMA,1108,4,140,0,202,563,547,3159,115,2612,480
PB,19569,SANTA INES,654,1,108,0,40,1021,391,2716,40,2325,461
PB,19577,BREJO DO CRUZ,1782,9,1144,4,379,2070,2263,9039,283,6776,1105
PB,19585,AMPARO,326,1,70,0,65,543,172,1405,44,1233,184
PB,19593,BREJO DOS SANTOS,920,2,175,0,656,1421,861,4785,177,3924,573
PB,19607,CASSERENGUE,1071,7,370,1,144,1112,705,4312,105,3607,797
PB,19615,CAAPORA,4184,13,281,1,1621,2451,3113,13565,634,10452,1267
PB,19623,GADO BRAVO,602,6,230,2,253,2394,1700,6454,294,4754,973
PB,19631,CABACEIRAS,1129,17,402,4,374,585,433,3413,100,2980,369
PB,19640,POCO DANTAS,520,1,191,0,168,554,401,2276,110,1875,331
PB,19658,CABEDELO,9410,78,1975,15,4937,3536,4442,27336,1236,22894,1707
PB,19666,SANTAREM,695,4,102,0,107,462,508,2198,31,1690,289
PB,19674,CACHOEIRA DOS INDIOS,1928,2,589,2,95,981,957,5371,166,4414,651
PB,19682,TENORIO,549,4,64,1,103,414,325,1829,52,1504,317
PB,19690,CACIMBA DE AREIA,689,4,219,0,124,770,387,2582,111,2195,278
PB,19704,COXIXOLA,262,8,178,2,108,201,135,1191,134,1056,163
