SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AC,1554,MANOEL URBANO,1260,1,1,21,0,0,309,1812,15,1371,5077,43,3706,244
AC,1570,ASSIS BRASIL,1315,0,0,0,0,0,158,1935,9,830,4499,30,3669,222
AL,27006,PARIPUEIRA,2310,1,5,4,7,0,750,2674,31,1356,7928,256,6572,534
AL,27014,ÁGUA BRANCA,7349,5,4,8,5,1,290,1252,63,4447,14675,188,10228,1063
AL,27022,PARICONHA,4186,3,2,0,4,1,141,601,27,2169,7856,116,5687,606
AL,27030,ANADIA,5278,5,5,1,3,2,423,2558,32,4121,13937,398,9816,1111
AL,27049,ESTRELA DE ALAGOAS,5207,4,4,0,5,0,262,1174,36,4368,12250,275,7882,915
AL,27057,ARAPIRACA,42408,29,50,54,94,13,8027,39372,725,23985,125965,3356,101980,7852
AL,27065,JEQUIÁ DA PRAIA,3016,1,3,2,10,0,515,1675,24,2144,8074,160,5930,524
AL,27073,ATALAIA,9512,14,11,10,35,4,939,9154,123,7060,29788,719,22728,2207
AL,27081,CAMPESTRE,2041,4,0,2,1,0,329,664,8,751,4287,108,3536,379
AL,27090,BARRA DE SANTO ANTÔNIO,2972,2,5,3,12,2,553,2353,23,759,7547,312,6788,551
AL,27111,BARRA DE SÃO MIGUEL,1772,1,3,1,9,0,467,1652,28,919,5219,117,4300,250
AL,27138,BATALHA,5430,4,4,3,6,0,516,1863,31,2400,11076,162,8676,657
AL,27154,BELÉM,2083,1,2,1,2,0,199,725,27,1256,4863,132,3607,435
AL,27170,BELO MONTE,2363,1,2,2,0,1,165,513,14,1169,4675,59,3506,386
AL,27197,BOCA DA MATA,8292,8,8,8,11,1,1046,3393,69,5049,19974,732,14925,1357
AL,27219,BRANQUINHA,2945,0,1,2,0,0,288,1040,22,950,6053,185,5103,620
AL,27235,CACIMBINHAS,3045,0,7,2,2,0,196,1581,40,1257,6823,84,5566,609
AL,27251,CAJUEIRO,5003,3,6,1,6,1,457,3643,38,3452,14012,394,10560,1008
AL,27278,CAMPO ALEGRE,8245,8,7,13,13,1,1698,3604,77,6474,22239,548,15765,1551
AL,27294,CAMPO GRANDE,3988,2,2,3,5,0,145,1012,21,1698,7579,186,5881,517
AL,27316,CANAPI,6936,6,8,2,26,1,253,703,19,3994,13218,177,9224,1093
AL,27332,CAPELA,3400,2,7,3,12,0,599,4376,39,3285,13116,342,9831,1051
AL,27359,CARNEIROS,2610,5,0,2,3,1,251,712,23,1541,5687,86,4146,453
AL,27375,CHÃ PRETA,2592,1,0,2,2,0,187,876,8,497,4861,160,4364,536
AL,27391,COITÉ DO NÓIA,3782,2,4,2,22,0,159,997,25,786,6593,207,5807,607
AL,27413,COLÔNIA LEOPOLDINA,4303,5,8,4,7,1,521,4133,55,4330,14758,480,10428,911
AL,27430,COQUEIRO SECO,1742,3,2,1,2,0,206,975,13,764,4184,192,3420,284
AL,27456,CORURIPE,9232,5,12,19,121,2,1792,12327,109,9411,36868,1342,27457,2496
AL,27472,DELMIRO GOUVEIA,18323,16,31,9,25,1,1304,3053,134,9550,35344,735,25794,2163
AL,27499,DOIS RIACHOS,4197,4,1,1,0,1,108,1194,19,2533,8846,115,6313,673
AL,27510,FEIRA GRANDE,7682,4,9,7,46,2,340,1742,45,3493,15273,551,11780,1352
AL,27537,FELIZ DESERTO,1184,0,2,1,7,0,78,818,5,749,3240,116,2491,280
AL,27553,FLEXEIRAS,2565,4,1,1,4,2,290,2356,20,1749,7782,171,6033,619
AL,27570,GIRAU DO PONCIANO,11679,13,8,4,24,3,518,2242,101,6966,23759,484,16793,1717
AL,27596,IBATEGUARA,3701,14,6,3,4,2,528,2254,28,2895,10679,344,7784,900
AL,27618,IGACI,8100,4,11,1,21,1,354,1950,46,3082,15562,500,12480,1492
AL,27634,IGREJA NOVA,7063,3,9,1,7,2,299,3171,48,4426,17109,884,12683,1196
AL,27650,INHAPI,6457,6,7,2,4,0,176,617,13,3972,12618,208,8646,1156
AL,27677,JACARÉ DOS HOMENS,2403,2,2,0,0,0,118,670,25,1145,4685,53,3540,267
AL,27693,JACUÍPE,2395,1,2,2,11,1,275,756,17,1430,5390,150,3960,350
AL,27715,JAPARATINGA,1564,1,1,0,8,0,444,1926,14,1335,5976,274,4641,409
AL,27731,JARAMATAIA,2006,2,3,6,2,0,140,716,17,378,3764,102,3386,392
AL,27758,JOAQUIM GOMES,4944,7,1,1,17,0,447,2944,51,4310,14401,452,10091,1227
AL,27774,JUNDIÁ,1265,2,0,2,0,0,148,1055,2,1079,3921,121,2842,247
AL,27790,JUNQUEIRO,7682,6,7,5,7,1,570,3597,65,5255,18791,554,13536,1042
AL,27812,LAGOA DA CANOA,5919,6,6,4,50,1,372,1869,87,3250,12916,347,9666,1005
AL,27839,LIMOEIRO DE ANADIA,8171,9,7,5,4,2,270,1914,44,4412,16617,443,12205,1336
AL,27855,MACEIÓ,132870,408,299,363,496,42,87300,179137,5360,89873,538516,16122,448643,26246
AL,27871,MAJOR ISIDORO,6240,4,5,6,19,0,378,2557,65,4232,14911,333,10679,1072
AL,27898,MARAGOGI,4950,3,4,5,28,0,1691,4478,54,4037,17432,909,13395,1273
AL,27910,MARAVILHA,2635,3,3,2,3,0,213,2026,26,2730,8421,165,5691,615
AL,27936,MARECHAL DEODORO,8026,3,10,6,34,1,2295,10892,139,6380,30889,1121,24509,1982
AL,27952,MARIBONDO,3690,5,5,3,3,0,479,2578,39,881,8844,307,7963,854
AL,27979,MAR VERMELHO,1453,2,0,0,3,0,194,714,11,564,3268,87,2704,240
AL,27995,MATA GRANDE,8635,3,7,7,4,0,318,1311,38,5340,17376,379,12036,1334
AL,28010,MATRIZ DE CAMARAGIBE,4038,3,6,8,3,1,1698,4945,66,4898,17159,494,12261,999
AL,28037,MESSIAS,3468,5,1,3,8,3,930,3276,40,2686,11697,362,9011,915
AL,28053,MINADOR DO NEGRÃO,1929,5,1,1,1,0,150,521,5,597,3591,44,2994,337
AL,28070,MONTEIRÓPOLIS,2499,3,4,0,1,0,157,867,37,1406,5410,85,4004,351
AL,28096,MURICI,6554,12,7,12,13,3,1039,4616,122,4269,18903,601,14634,1655
AL,28118,NOVO LINO,2508,1,3,1,9,0,509,2413,22,1698,8099,377,6401,558
AL,28134,OLHO D'ÁGUA DAS FLORES,4782,3,4,4,22,0,446,3910,41,3698,14092,310,10394,872
AL,28150,OLHO D'ÁGUA DO CASADO,3394,1,2,0,1,0,125,428,14,1091,5541,76,4450,409
AL,28177,OLHO D'ÁGUA GRANDE,1749,0,1,1,9,0,78,584,7,1267,4177,136,2910,345
AL,28193,OLIVENÇA,3513,2,3,1,7,0,170,1757,20,2547,8788,124,6241,644
AL,28215,OURO BRANCO,4418,3,2,2,3,1,278,818,33,2100,8338,95,6238,585
AL,28231,PALESTINA,1906,1,0,0,2,1,99,501,8,1042,3870,60,2828,250
AL,28258,PALMEIRA DOS ÍNDIOS,17680,13,22,12,51,2,2667,12958,272,12906,51373,1280,38467,3510
AL,28274,PÃO DE AÇÚCAR,8549,4,6,9,32,0,813,2232,85,4557,17743,313,13186,1143
AL,28290,PASSO DE CAMARAGIBE,4394,4,3,4,6,0,481,2082,36,2482,10685,471,8203,722
AL,28312,PAULO JACINTO,3132,1,0,1,4,2,188,1056,14,1044,6010,136,4966,432
AL,28339,PENEDO,14316,11,13,8,48,0,1892,10090,147,9871,39416,1045,29545,1975
AL,28355,PIAÇABUÇU,4997,5,3,3,17,0,412,2553,49,3414,12669,358,9255,858
AL,28371,PILAR,5352,8,5,10,24,1,1445,9833,98,6081,25577,1022,19496,1698
AL,28398,PINDOBA,1205,0,1,0,0,0,61,419,12,468,2417,35,1949,216
AL,28410,PIRANHAS,7373,10,4,1,4,0,496,1381,70,2683,13409,232,10726,1155
AL,28436,POÇO DAS TRINCHEIRAS,4330,0,4,0,2,0,177,1163,33,802,7341,144,6539,686
AL,28452,PORTO CALVO,4286,10,9,4,22,0,1341,6384,34,5470,20010,925,14540,1525
AL,28479,PORTO DE PEDRAS,1842,3,0,2,6,0,408,1820,28,1676,6474,300,4798,389
AL,28495,PORTO REAL DO COLÉGIO,4873,0,7,6,10,0,408,3614,54,3449,13946,641,10497,884
AL,28517,QUEBRANGULO,4010,1,2,3,10,1,208,1934,17,767,7855,165,7088,737
AL,28533,RIO LARGO,16236,12,9,28,47,3,4622,11052,240,3198,39428,1598,36230,2383
AL,28550,ROTEIRO,983,2,0,0,13,1,404,1229,11,1555,4752,146,3197,408
AL,28576,SANTA LUZIA DO NORTE,2102,1,4,0,3,0,331,1327,16,1200,5541,169,4341,388
AL,28592,SANTANA DO IPANEMA,13017,11,15,10,13,2,1035,6446,104,7390,30540,469,23150,2028
AL,28614,SANTANA DO MUNDAÚ,3258,2,5,3,1,1,200,1362,18,2364,8065,237,5701,614
AL,28630,SÃO BRÁS,1978,1,3,0,3,1,269,1126,32,1372,5422,290,4050,347
AL,28657,SÃO JOSÉ DA LAJE,7357,7,6,3,5,0,951,2805,34,2977,15822,374,12845,1303
AL,28673,SÃO JOSÉ DA TAPERA,7987,7,5,2,20,1,400,2998,72,6717,20013,288,13296,1516
AL,28690,SÃO LUÍS DO QUITUNDE,9076,5,10,3,8,1,1038,4332,72,5748,22661,715,16913,1653
AL,28711,SÃO MIGUEL DOS CAMPOS,7831,13,6,7,22,1,5655,12624,129,6909,36312,958,29403,2157
AL,28738,SÃO MIGUEL DOS MILAGRES,1502,1,2,0,3,0,420,1464,28,458,4561,310,4103,373
AL,28754,SÃO SEBASTIÃO,10181,6,11,9,27,0,376,4105,100,6599,23656,844,17057,1398
AL,28770,SATUBA,2896,12,0,7,3,0,1092,2564,71,1755,9286,365,7531,521
AL,28797,TANQUE D'ARCA,2132,2,1,0,3,0,150,667,16,881,4362,148,3481,362
AL,28819,TAQUARANA,5809,3,7,2,6,1,368,1966,31,3729,13448,358,9719,1168
AL,28835,TRAIPU,7955,4,9,11,5,0,489,2240,50,6202,18629,245,12427,1419
AL,28851,UNIÃO DOS PALMARES,15955,10,9,17,20,2,2285,8640,210,11696,42896,1152,31200,2900
AL,28878,VIÇOSA,7981,8,11,10,26,0,1018,4002,90,4530,19810,649,15280,1485
AL,28894,CRAÍBAS,7950,6,2,17,6,0,326,1939,45,3829,15703,381,11874,1202
AL,28916,SENADOR RUI PALMEIRA,4221,4,5,0,3,0,111,747,20,2314,8289,110,5975,754
AL,28932,TEOTÔNIO VILELA,8499,1,5,8,17,0,1143,8303,80,8809,29262,684,20453,1713
AM,2003,APUÍ,4312,4,1,0,1,1,109,1336,25,2778,9055,84,6277,404
AM,2011,NOVO AIRÃO,3693,3,1,3,6,1,537,634,16,1212,6463,32,5251,325
AM,2020,GUAJARÁ,1911,0,2,1,0,1,166,1271,7,4096,7818,41,3722,322
AM,2038,ANORI,4546,1,1,4,4,0,577,799,5,2154,8465,31,6311,343
AM,2046,CAREIRO DA VÁRZEA,8607,5,2,2,4,0,805,468,32,3383,14038,73,10655,657
AM,2054,ATALAIA DO NORTE,1804,2,0,1,1,0,411,1068,8,1456,5025,13,3569,261
AM,2070,AUTAZES,10605,2,3,10,3,0,1386,718,27,4729,18370,82,13641,805
AM,2097,BARCELOS,3345,0,1,4,1,0,922,768,11,2608,8006,37,5398,309
AM,2119,BARREIRINHA,8776,3,3,1,4,0,509,578,13,3748,14907,53,11159,1219
AM,2135,BENJAMIN CONSTANT,9759,6,5,8,2,0,757,981,23,3842,16316,62,12474,871
AM,2151,BOCA DO ACRE,5866,6,4,7,2,0,541,4614,44,5292,17571,156,12279,1039
AM,2178,BORBA,9787,1,4,3,2,1,1154,677,22,4872,17421,61,12549,837
AM,2194,CANUTAMA,2498,0,0,3,7,0,217,1111,7,2106,6371,42,4265,380
AM,2216,CARAUARI,6987,6,4,3,0,1,539,1162,13,6669,16286,71,9617,831
AM,2232,CAREIRO,10644,8,4,4,4,0,779,608,30,4906,18083,122,13177,974
AM,2259,COARI,20889,7,10,9,6,0,4647,2143,71,12144,41928,243,29784,1759
AM,2275,CODAJÁS,6210,2,3,6,4,0,1652,767,40,3929,13119,49,9190,457
AM,2291,EIRUNEPÉ,9385,2,2,5,1,0,423,757,26,6603,18476,108,11873,1164
AM,2313,ENVIRA,4827,3,3,1,4,0,286,758,11,3508,9868,23,6360,444
AM,2330,FONTE BOA,6707,4,2,3,1,0,346,829,26,3623,12308,44,8685,723
AM,2356,HUMAITÁ,13171,9,6,8,5,0,1066,2574,95,6063,24066,213,18003,856
AM,2372,SANTA ISABEL DO RIO NEGRO,1946,1,2,1,0,0,292,1041,5,2221,5792,22,3571,261
AM,2399,IPIXUNA,2855,3,3,4,3,0,136,1315,18,3630,8604,72,4974,565
AM,2410,ITACOATIARA,29151,13,7,26,8,0,7306,3710,195,13657,56332,352,42675,1907
AM,2437,ITAPIRANGA,3495,2,0,2,1,0,555,362,6,1207,5802,20,4595,152
AM,2453,JAPURÁ,1863,0,1,0,0,0,87,186,3,946,3192,4,2246,102
AM,2470,JURUÁ,1610,4,1,2,0,0,40,1572,3,2254,5760,21,3506,253
AM,2496,JUTAÍ,4405,0,3,3,0,0,217,779,13,3678,9744,20,6066,626
AM,2518,LÁBREA,9934,5,2,3,0,1,713,1555,78,6757,20006,81,13249,877
AM,2534,MANACAPURU,30846,12,6,20,17,0,6785,3473,163,13725,58041,410,44316,2584
AM,2550,MANAUS,516520,837,345,1105,490,49,329297,61290,7294,155231,1123758,16618,968527,34682
AM,2577,MANICORÉ,11401,1,4,6,4,1,504,3298,29,6880,23150,100,16270,922
AM,2593,MARAÃ,3486,2,1,0,1,1,211,436,5,2881,7414,15,4533,375
AM,2615,MAUÉS,15619,12,3,9,3,1,1909,847,50,7800,27518,128,19718,1137
AM,2631,NHAMUNDÁ,6307,2,2,3,1,0,385,966,3,3117,11205,32,8088,387
AM,2658,NOVA OLINDA DO NORTE,7766,2,3,0,1,1,711,496,10,3783,13448,35,9665,640
AM,2674,NOVO ARIPUANÃ,5553,0,1,2,0,0,477,595,8,3508,10695,62,7187,489
AM,2690,PARINTINS,32556,11,7,20,9,2,5492,3843,140,13715,57694,305,43979,1594
AM,2712,PAUINI,4081,2,2,2,1,1,327,767,6,2909,8552,24,5643,430
AM,2739,SANTO ANTÔNIO DO IÇÁ,5069,1,1,1,8,0,671,1521,9,2787,10762,44,7975,650
AM,2755,SÃO PAULO DE OLIVENÇA,6726,6,5,0,2,0,394,1836,9,2581,12410,70,9829,781
AM,2771,SILVES,3774,1,1,1,1,0,444,219,5,1282,5920,18,4638,174
AM,2798,TAPAUÁ,4916,0,3,3,1,2,250,1141,15,3657,10703,94,7046,621
AM,2810,TEFÉ,18382,6,7,14,8,0,2460,1445,87,9641,33570,160,23929,1360
AM,2836,SÃO GABRIEL DA CACHOEIRA,11635,2,0,4,7,0,1242,1815,47,7206,22745,91,15539,696
AM,2852,URUCARÁ,5564,2,0,0,1,2,577,447,8,2744,9696,46,6952,305
AM,2879,URUCURITUBA,5575,1,0,2,3,1,870,453,8,2842,10144,43,7302,346
AM,2895,ALVARÃES,4828,1,0,4,1,0,237,316,5,2190,7944,28,5754,334
AM,2917,AMATURÁ,2496,2,1,0,3,0,236,342,3,1170,4597,16,3427,328
AM,2933,ANAMÃ,2968,0,0,2,3,0,622,409,6,1755,6034,35,4279,234
AM,2950,BERURI,4460,2,1,1,1,0,307,907,2,2274,8367,23,6093,389
AM,2976,BOA VISTA DO RAMOS,5105,2,3,1,1,0,658,355,12,2396,8998,41,6602,424
AM,2992,CAAPIRANGA,3583,2,0,4,0,0,392,232,2,2045,6550,32,4505,258
AM,98353,IRANDUBA,15195,6,3,4,4,1,2635,712,49,4287,24149,164,19862,1089
AM,98370,ITAMARATI,2928,1,3,2,0,0,107,322,1,1626,5305,10,3679,305
AM,98396,MANAQUIRI,6582,0,1,1,2,0,665,255,7,2789,10827,34,8038,491
AM,98418,PRESIDENTE FIGUEIREDO,8415,3,3,2,6,0,1917,841,59,2611,14625,112,12014,656
AM,98434,RIO PRETO DA EVA,6549,5,3,6,22,0,1513,731,27,2145,11556,101,9411,454
AM,98450,SÃO SEBASTIÃO DO UATUMÃ,2425,0,0,3,2,0,562,477,18,1217,4904,21,3687,179
AM,98477,TABATINGA,12878,5,10,4,6,0,1902,2178,58,5715,24557,111,18842,1690
AM,98493,UARINI,3517,2,3,4,0,0,138,263,7,1771,6030,16,4259,309
AM,98515,TONANTINS,3835,2,4,0,4,0,98,821,8,1823,7062,41,5239,426
AP,6009,PRACUÚBA,1388,2,1,3,6,0,381,296,7,328,2508,17,2180,79
AP,6017,AMAPÁ,2952,2,2,13,4,0,744,606,22,978,5548,41,4570,184
AP,6025,PORTO GRANDE,5281,4,4,5,16,2,1348,1347,59,1603,10126,71,8523,386
AP,6033,CALÇOENE,3095,2,3,2,5,1,825,937,35,1159,6371,53,5212,254
AP,6041,ITAUBAL,1761,2,0,3,4,0,667,564,14,573,3760,11,3187,161
AP,6050,MACAPÁ,82215,549,226,336,262,18,70113,45289,2389,32283,243099,2238,210816,7181
AP,6068,CUTIAS,1493,0,3,3,3,0,627,496,10,687,3482,11,2795,149
AP,6076,MAZAGÃO,6246,8,3,8,6,0,1584,1603,50,1703,11675,58,9972,406
AP,6084,ÁGUA BRANCA DO AMAPARI,2466,4,2,5,3,0,673,728,37,1010,5189,40,4179,221
AP,6092,OIAPOQUE,5867,4,3,2,11,1,1830,1895,55,4963,15380,129,10417,620
AP,6106,SERRA DO NAVIO,1260,0,3,4,1,0,584,544,38,665,3226,16,2561,111
AP,6114,FERREIRA GOMES,1680,4,0,1,4,0,786,635,10,308,3599,33,3291,138
AP,6122,VITÓRIA DO JARI,4540,5,1,2,8,0,642,1614,35,2338,9584,63,7246,336
AP,6130,LARANJAL DO JARI,12343,13,8,8,28,2,2900,4119,143,5116,25862,258,20746,924
AP,6157,SANTANA,25563,86,22,54,50,4,16699,10787,482,7706,63992,561,56286,1978
AP,6173,TARTARUGALZINHO,3293,4,1,2,1,0,840,1314,32,1119,6930,30,5811,294
BA,30007,LUÍS EDUARDO MAGALHÃES,9390,10,1,7,7,1,2550,7368,41,5246,26060,499,20814,940
BA,30058,EUNÁPOLIS,19028,11,16,25,27,1,8143,18577,178,17826,68174,1043,50348,3299
BA,30660,IUIU,4182,1,3,3,1,1,141,871,4,2026,7836,89,5810,514
BA,30678,JABORANDI,3796,0,1,0,1,0,167,967,8,1376,6884,140,5508,428
BA,30694,JUSSARI,1898,3,2,3,1,0,188,960,5,1022,4430,36,3408,312
BA,30716,AMÉRICA DOURADA,5689,5,3,2,1,1,491,1252,15,3506,11801,157,8295,679
BA,30732,ARATACA,2693,2,2,1,1,0,248,1018,4,1301,5744,63,4443,411
BA,30759,BARRO ALTO,4727,4,2,1,5,4,454,1243,7,1558,8596,111,7038,480
BA,30775,BARROCAS,6437,5,6,3,4,1,502,1240,6,2162,11042,174,8880,502
BA,30791,BURITIRAMA,5215,2,6,1,3,0,117,3034,4,4517,14132,65,9615,1168
BA,30813,CAPELA DO ALTO ALEGRE,3923,3,3,6,2,1,825,1138,12,1610,8400,275,6790,602
BA,30830,CAPIM GROSSO,7151,6,4,5,1,3,1545,4231,38,4842,19556,525,14714,1205
BA,30856,CANUDOS,6492,2,1,2,4,1,445,693,8,3121,11538,108,8417,661
BA,30872,DIAS D'ÁVILA,19237,20,5,27,10,3,5340,3818,126,7383,38857,1174,31474,1714
BA,30899,FÁTIMA,6767,4,5,3,6,1,427,1635,35,3512,13594,277,10082,922
BA,30910,FILADÉLFIA,5102,3,6,2,5,1,824,2367,20,3529,13161,392,9632,910
BA,30937,GAVIÃO,1549,2,1,0,5,0,243,808,1,701,3743,84,3042,349
BA,30953,GUAJERU,3164,3,1,4,0,0,184,476,9,2792,7242,78,4450,531
BA,30970,HELIÓPOLIS,5034,8,8,1,1,4,318,1116,28,3266,10629,242,7363,603
BA,30996,JOÃO DOURADO,6519,2,6,5,0,2,1269,3399,23,4104,16446,258,12342,859
BA,33014,ABAÍRA,2895,7,3,8,4,4,230,1289,14,1321,6504,139,5183,590
BA,33030,ABARÉ,7430,1,4,3,0,0,481,581,11,1315,10782,74,9467,882
BA,33057,ACAJUTIBA,4768,4,3,0,3,1,444,1748,19,1851,9735,202,7884,692
BA,33065,ADUSTINA,5277,4,6,4,3,0,310,1755,11,3041,11486,207,8445,868
BA,33073,ÁGUA FRIA,5296,4,8,3,6,1,862,1175,17,2022,10700,200,8678,1106
BA,33090,ÉRICO CARDOSO,3878,5,5,1,1,0,227,891,11,2907,8677,155,5770,596
BA,33111,AIQUARA,1955,4,1,1,2,0,294,391,8,946,3989,61,3043,326
BA,33138,ALAGOINHAS,39449,68,26,35,29,5,16507,14808,375,19884,97745,2446,77861,4113
BA,33154,ALCOBAÇA,7422,2,3,3,4,3,666,1722,23,4699,15771,291,11072,933
BA,33170,ALMADINA,1819,2,0,2,3,0,432,897,19,1172,4831,48,3659,437
BA,33197,AMARGOSA,9955,7,7,4,9,1,1875,4172,52,4318,22339,452,18021,1487
BA,33219,AMÉLIA RODRIGUES,7405,5,2,12,9,2,1533,2956,53,2321,15799,553,13478,948
BA,33235,ANAGÉ,7494,3,4,4,2,0,566,3299,6,3688,16746,292,13058,1388
BA,33251,ANDARAÍ,5277,6,4,2,2,1,270,593,13,2892,9836,135,6944,641
BA,33260,ANDORINHA,7108,3,6,1,2,0,341,909,10,2708,11840,184,9132,568
BA,33278,ANGICAL,6597,3,5,1,2,0,319,1485,17,2105,11235,137,9130,564
BA,33294,ANGUERA,4323,0,5,4,5,1,543,884,8,1344,7899,183,6555,599
BA,33316,ANTAS,5030,2,7,2,5,1,373,1272,22,1490,9180,190,7690,786
BA,33332,ANTÔNIO CARDOSO,5649,4,5,0,1,2,663,1003,5,1280,9298,169,8018,517
BA,33359,ANTÔNIO GONÇALVES,3095,3,5,0,3,1,406,1305,14,1256,6864,109,5608,667
BA,33375,APORÁ,5367,6,4,4,2,1,346,2103,15,3779,12760,196,8981,937
BA,33383,ARAÇÁS,4397,1,4,4,1,0,657,1444,13,2462,9706,200,7244,523
BA,33391,ARACATU,5609,6,6,1,4,0,405,1378,13,2900,11333,130,8433,881
BA,33405,APUAREMA,2011,3,6,1,0,0,345,1213,13,1375,5500,62,4125,471
BA,33413,ARACI,19080,10,16,8,7,2,1018,2795,34,11326,36596,371,25270,1929
BA,33430,ARAMARI,4324,2,0,3,3,1,533,802,16,1047,7318,157,6271,430
BA,33456,ARATUÍPE,3044,3,1,1,5,0,558,1208,6,1314,6968,120,5654,708
BA,33472,AURELINO LEAL,4497,0,4,2,0,0,717,963,18,3823,10670,106,6847,540
BA,33499,BAIANÓPOLIS,5777,1,4,0,2,0,367,1009,10,1833,9974,143,8141,828
BA,33510,BAIXA GRANDE,5372,5,7,4,3,1,792,3275,24,3123,14140,429,11017,1105
BA,33529,BANZAÊ,4472,1,6,2,2,3,297,1155,9,2376,9106,122,6730,661
BA,33537,BARRA,15472,12,5,7,7,2,1047,3922,68,9640,32367,244,22727,1941
BA,33553,BARRA DA ESTIVA,8015,3,3,5,7,2,788,2523,20,3025,15730,390,12705,949
BA,33570,BARRA DO CHOÇA,8419,12,10,3,5,3,1469,4871,45,6681,24011,472,17330,2021
BA,33596,BARRA DO MENDES,5787,2,7,1,2,0,406,875,19,2972,10989,172,8017,746
BA,33618,BARRA DO ROCHA,1719,1,0,1,1,0,485,493,10,1164,4205,40,3041,291
BA,33634,BARREIRAS,39360,21,14,24,23,1,8208,11326,431,17294,81283,1542,63989,3039
BA,33650,BARRO PRETO,2196,6,2,3,0,0,272,907,16,849,4757,96,3908,410
BA,33677,BELMONTE,5941,4,7,6,8,0,1253,1989,22,3322,13663,263,10341,848
BA,33693,BELO CAMPO,5296,4,4,3,8,0,498,2398,16,4489,13811,228,9322,867
BA,33715,BIRITINGA,6482,10,6,2,4,0,427,597,11,1866,10462,194,8596,863
BA,33731,BOA NOVA,5581,4,2,3,3,0,322,919,16,4558,12712,198,8154,1106
BA,33758,BOA VISTA DO TUPIM,5558,4,6,5,8,0,456,2236,9,2233,11614,180,9381,919
