SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO DA REPÚBLICA')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'DEMOCRATAS')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AL,28053,MINADOR DO NEGRÃO,0,953,0,671,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3480,7,0,0,1310,7182,96,5872,663
AL,28070,MONTEIRÓPOLIS,0,1866,0,720,0,0,0,0,11,0,0,0,0,10,0,0,0,0,0,0,3973,35,0,0,3218,10820,184,7602,803
AL,28096,MURICI,0,9498,0,3231,0,0,0,0,52,0,0,0,0,44,0,0,0,0,0,0,11042,222,0,0,9670,37807,1093,28137,2955
AL,28118,NOVO LINO,0,2482,0,1446,0,0,0,0,8,0,0,0,0,20,0,0,0,0,0,0,6295,26,0,0,3929,16198,707,12269,1285
AL,28134,OLHO D'ÁGUA DAS FLORES,0,4283,0,2955,0,0,0,0,30,0,0,0,0,22,0,0,0,0,0,0,10293,72,0,0,8007,28184,632,20177,1890
AL,28150,OLHO D'ÁGUA DO CASADO,0,2595,0,1240,0,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,3811,13,0,0,2264,11082,220,8818,926
AL,28177,OLHO D'ÁGUA GRANDE,0,1965,0,932,0,0,0,0,4,0,0,0,0,7,0,0,0,0,0,0,1914,5,0,0,2644,8354,303,5710,580
AL,28193,OLIVENÇA,0,1990,0,1160,0,0,0,0,22,0,0,0,0,10,0,0,0,0,0,0,7207,26,0,0,5504,17576,220,12072,1437
AL,28215,OURO BRANCO,0,3440,0,1048,0,0,0,0,17,0,0,0,0,8,0,0,0,0,0,0,6083,30,0,0,4556,16676,246,12120,1248
AL,28231,PALESTINA,0,943,0,463,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,3188,8,0,0,2366,7740,159,5374,608
AL,28258,PALMEIRA DOS ÍNDIOS,0,29590,0,6800,0,0,0,0,94,0,0,0,0,264,0,0,0,0,0,0,28440,293,0,0,28202,102747,2576,74545,6488
AL,28274,PÃO DE AÇÚCAR,0,6933,0,3413,0,0,0,0,17,0,0,0,0,51,0,0,0,0,0,0,11521,100,0,0,10593,35487,535,24894,2324
AL,28290,PASSO DE CAMARAGIBE,0,6329,0,2090,0,0,0,0,21,0,0,0,0,21,0,0,0,0,0,0,4650,59,0,0,5954,21370,872,15416,1374
AL,28312,PAULO JACINTO,0,2332,0,1124,0,0,0,0,11,0,0,0,0,9,0,0,0,0,0,0,4835,17,0,0,2499,12020,254,9521,939
AL,28339,PENEDO,0,20971,0,7192,0,0,0,0,69,0,0,0,0,74,0,0,0,0,0,0,22994,157,0,0,21279,78832,2087,57553,4009
AL,28355,PIAÇABUÇU,0,4558,0,2055,0,0,0,0,17,0,0,0,0,33,0,0,0,0,0,0,8078,36,0,0,7641,25338,901,17697,2019
AL,28371,PILAR,0,9229,0,5093,0,0,0,0,79,0,0,0,0,53,0,0,0,0,0,0,18093,148,0,0,13828,51155,1806,37327,2826
AL,28398,PINDOBA,0,841,0,443,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2009,15,0,0,1058,4834,66,3776,399
AL,28410,PIRANHAS,0,9233,0,2298,0,0,0,0,28,0,0,0,0,6,0,0,0,0,0,0,6342,123,0,0,5610,26819,576,21209,2603
AL,28436,POÇO DAS TRINCHEIRAS,0,3330,0,1972,0,0,0,0,14,0,0,0,0,1,0,0,0,0,0,0,6033,43,0,0,1773,14682,279,12909,1237
AL,28452,PORTO CALVO,0,12119,0,2765,0,0,0,0,51,0,0,0,0,37,0,0,0,0,0,0,8713,92,0,0,12253,40020,1635,27767,2355
AL,28479,PORTO DE PEDRAS,0,4348,0,909,0,0,0,0,13,0,0,0,0,25,0,0,0,0,0,0,2334,37,0,0,4008,12948,548,8940,726
AL,28495,PORTO REAL DO COLÉGIO,0,7051,0,3313,0,0,0,0,18,0,0,0,0,26,0,0,0,0,0,0,6725,40,0,0,7225,27892,1714,20667,1780
AL,28517,QUEBRANGULO,0,3590,0,1444,0,0,0,0,15,0,0,0,0,23,0,0,0,0,0,0,6995,23,0,0,1855,15710,414,13855,1351
AL,28533,RIO LARGO,0,20614,0,7732,0,0,0,0,165,0,0,0,0,111,0,0,0,0,0,0,33539,362,0,0,7446,78856,3288,71410,5599
AL,28550,ROTEIRO,0,630,0,794,0,0,0,0,6,0,0,0,0,25,0,0,0,0,0,0,3651,29,0,0,3414,9504,251,6090,704
AL,28576,SANTA LUZIA DO NORTE,0,2602,0,717,0,0,0,0,19,0,0,0,0,11,0,0,0,0,0,0,3979,32,0,0,2633,11082,296,8449,793
AL,28592,SANTANA DO IPANEMA,0,13372,0,3941,0,0,0,0,76,0,0,0,0,24,0,0,0,0,0,0,22615,117,0,0,15980,61081,903,45101,4053
AL,28614,SANTANA DO MUNDAÚ,0,3674,0,1809,0,0,0,0,9,0,0,0,0,2,0,0,0,0,0,0,4047,15,0,0,4757,16130,507,11373,1310
AL,28630,SÃO BRÁS,0,2709,0,885,0,0,0,0,8,0,0,0,0,7,0,0,0,0,0,0,2734,23,0,0,3066,10844,718,7778,694
AL,28657,SÃO JOSÉ DA LAJE,0,10672,0,4675,0,0,0,0,17,0,0,0,0,12,0,0,0,0,0,0,6491,48,0,0,6400,31644,818,25244,2511
AL,28673,SÃO JOSÉ DA TAPERA,0,8497,0,4540,0,0,0,0,36,0,0,0,0,18,0,0,0,0,0,0,9794,112,0,0,13574,40027,579,26453,2877
AL,28690,SÃO LUÍS DO QUITUNDE,0,14141,0,6011,0,0,0,0,29,0,0,0,0,28,0,0,0,0,0,0,8423,101,0,0,12764,45322,1226,32558,2599
AL,28711,SÃO MIGUEL DOS CAMPOS,0,15659,0,7845,0,0,0,0,187,0,0,0,0,108,0,0,0,0,0,0,26384,319,0,0,15437,72624,2311,57187,4374
AL,28738,SÃO MIGUEL DOS MILAGRES,0,2835,0,680,0,0,0,0,8,0,0,0,0,6,0,0,0,0,0,0,3073,34,0,0,1176,9122,565,7946,745
AL,28754,SÃO SEBASTIÃO,0,9865,0,5493,0,0,0,0,41,0,0,0,0,71,0,0,0,0,0,0,12417,146,0,0,13862,47313,2323,33451,3095
AL,28770,SATUBA,0,3221,0,1956,0,0,0,0,64,0,0,0,0,29,0,0,0,0,0,0,7575,89,0,0,4000,18572,571,14572,1067
AL,28797,TANQUE D'ARCA,0,1999,0,1075,0,0,0,0,8,0,0,0,0,7,0,0,0,0,0,0,2768,25,0,0,1907,8724,250,6817,685
AL,28819,TAQUARANA,0,6665,0,1580,0,0,0,0,39,0,0,0,0,5,0,0,0,0,0,0,7753,51,0,0,7792,26896,692,19104,2319
AL,28835,TRAIPU,0,9203,0,4905,0,0,0,0,14,0,0,0,0,12,0,0,0,0,0,0,6926,66,0,0,13246,37259,592,24013,2295
AL,28851,UNIÃO DOS PALMARES,0,24065,0,8598,0,0,0,0,75,0,0,0,0,65,0,0,0,0,0,0,19633,267,0,0,24690,85792,2365,61102,6034
AL,28878,VIÇOSA,0,11481,0,2325,0,0,0,0,40,0,0,0,0,39,0,0,0,0,0,0,11705,79,0,0,10294,39620,1029,29326,2628
AL,28894,CRAÍBAS,0,6824,0,3974,0,0,0,0,28,0,0,0,0,12,0,0,0,0,0,0,9723,72,0,0,7904,31406,641,23502,2228
AL,28916,SENADOR RUI PALMEIRA,0,3562,0,2151,0,0,0,0,17,0,0,0,0,6,0,0,0,0,0,0,4369,18,0,0,4823,16578,231,11755,1401
AL,28932,TEOTÔNIO VILELA,0,7091,0,7054,0,0,0,0,21,0,0,0,0,41,0,0,0,0,0,0,20536,106,0,0,18730,58524,1578,39794,3367
