SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'Partido Republicano Brasileiro')","('QT_VOTOS', 11, 'Partido Progressista')","('QT_VOTOS', 12, 'Partido Democrático Trabalhista')","('QT_VOTOS', 13, 'Partido dos Trabalhadores')","('QT_VOTOS', 14, 'Partido Trabalhista Brasileiro')","('QT_VOTOS', 15, 'Partido do Movimento Democrático Brasileiro')","('QT_VOTOS', 16, 'Partido Socialista dos Trabalhadores Unificado')","('QT_VOTOS', 17, 'Partido Social Liberal')","('QT_VOTOS', 19, 'Partido Trabalhista Nacional')","('QT_VOTOS', 20, 'Partido Social Cristão')","('QT_VOTOS', 21, 'Partido Comunista Brasileiro')","('QT_VOTOS', 22, 'Partido da República')","('QT_VOTOS', 23, 'Partido Popular Socialista')","('QT_VOTOS', 25, 'Democratas')","('QT_VOTOS', 27, 'Partido Social Democrata Cristão')","('QT_VOTOS', 28, 'Partido Renovador Trabalhista Brasileiro')","('QT_VOTOS', 29, 'Partido da Causa Operária')","('QT_VOTOS', 31, 'Partido Humanista da Solidariedade')","('QT_VOTOS', 33, 'Partido da Mobilização Nacional')","('QT_VOTOS', 36, 'Partido Trabalhista Cristão')","('QT_VOTOS', 40, 'Partido Socialista Brasileiro')","('QT_VOTOS', 43, 'Partido Verde')","('QT_VOTOS', 44, 'Partido Republicano Progressista')","('QT_VOTOS', 45, 'Partido da Social Democracia Brasileira')","('QT_VOTOS', 50, 'Partido Socialismo e Liberdade')","('QT_VOTOS', 51, 'Partido Ecológico Nacional')","('QT_VOTOS', 54, 'Partido Pátria Livre')","('QT_VOTOS', 55, 'Partido Social Democrático')","('QT_VOTOS', 65, 'Partido Comunista do Brasil')","('QT_VOTOS', 70, 'Partido Trabalhista do Brasil')","('QT_VOTOS', 77, 'Solidariedade')","('QT_VOTOS', 90, 'Partido Republicano da Ordem Social')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
PE,23434,BOM JARDIM,134,7135,78,360,2293,252,1,45,0,20,1,83,11,68,1,53,0,10,4,0,1398,7,24,5384,9,0,23,1456,28,1,40,3,8688,31649,2196,22961,593
PE,23450,BONITO,175,282,1362,1124,176,180,3,153,2,5477,4,184,25,36,38,38,0,30,3,1,8861,13,124,121,8,0,7,16,73,1,21,1,7507,30456,2094,22949,674
PE,23477,BREJÃO,43,110,13,395,156,64,1,90,1,2447,1,20,2,5,0,4,0,2,15,0,2065,26,69,43,38,0,0,1,8,0,41,1,1829,8951,616,7122,199
PE,23493,BREJINHO,7,11,3,105,1275,4,0,2,0,1,0,26,4,2,0,0,0,2,2,0,2920,1,17,11,0,0,1,8,0,0,0,0,1597,6797,365,5200,128
PE,23515,BREJO DA MADRE DE DEUS,132,856,138,745,689,109,6,343,1,8,1,6702,3,165,11,32,0,34,5,0,1343,7,16,7344,3,0,0,22,485,0,10,3,6930,30379,2209,23449,783
PE,23531,BUENOS AIRES,36,65,23,45,2852,110,0,265,4,25,2,109,6,20,0,5,0,11,2,0,345,1,7,78,8,0,4,1714,11,0,1734,1,2222,10984,653,8762,211
PE,23558,BUÍQUE,258,2685,73,3079,5753,86,2,14,3,24,1,333,1,6,2,38,0,610,4,0,807,22,35,1042,1,0,7,3615,42,1,111,0,11715,36844,2387,25129,1090
PE,23574,CABO DE SANTO AGOSTINHO,1347,18482,422,7738,1882,1648,68,495,56,153,20,7054,221,652,152,988,0,263,513,0,20318,220,340,33708,74,0,225,608,1285,24,472,45,25144,152624,15560,127480,4997
PE,23590,CABROBÓ,155,252,27,113,4166,23,0,16,1,1044,3,1532,174,1,0,8,0,111,2,0,7813,4,30,131,3,0,0,77,17,0,6,1,4887,23520,1061,18633,425
PE,23612,CACHOEIRINHA,32,82,140,71,2768,414,2,46,0,6,0,43,8,32,3,8,0,38,1,0,4635,3,9,125,0,0,0,52,225,0,5,2,2084,13762,1747,11678,428
PE,23639,CAETÉS,77,2128,36,433,308,31,1,21,0,5521,2,75,2,595,0,7,0,7,4,0,215,5,106,25,23,0,0,13,9,0,14,0,5609,18773,1794,13164,420
PE,23655,CALÇADO,37,3016,38,35,83,20,0,29,1,1387,0,14,1,26,3,1,0,1,0,0,90,0,4,56,7,0,0,117,3,3,19,0,1972,7893,442,5921,137
PE,23671,CALUMBI,24,20,8,215,34,0,0,7,1,991,2,1673,1,37,0,2,0,69,2,0,275,0,3,6,1,0,0,2,0,0,611,0,1432,6190,264,4758,135
PE,23698,CAMOCIM DE SÃO FÉLIX,82,274,206,795,70,229,1,81,8,3968,3,75,11,12,29,4,0,134,1,0,2901,5,9,70,2,0,0,7,14,2,28,0,3222,14566,1119,11344,483
PE,23710,CAMUTANGA,25,57,50,161,52,38,0,9,0,246,4,50,1,32,0,1,0,1,0,0,2442,0,8,9,1,0,0,19,7,8,1623,0,683,6376,416,5693,186
PE,23736,CANHOTINHO,59,1270,32,213,242,42,2,92,0,21,1,575,3,48,0,92,0,16,0,0,515,42,51,6652,7,0,0,19,106,0,11,1,2257,14882,1088,12625,431
PE,23752,CAPOEIRAS,45,112,30,874,2531,31,0,21,0,2710,2,87,3,1162,0,0,0,13,1,0,369,32,54,81,13,0,0,4,26,8,2,0,4899,15826,1574,10927,345
PE,23779,CARNAÍBA,47,41,26,849,559,49,1,5,0,10,2,1192,1,2,15,0,0,45,2,0,5456,10,3,11,2,0,0,15,4,6,1,0,1929,12951,1077,11022,456
PE,23795,CARPINA,449,1235,3833,679,1182,1848,22,10957,11,60,21,864,249,294,45,81,0,187,10,0,9668,71,102,2023,25,0,20,406,976,13,363,21,9567,54320,4700,44753,1816
PE,23817,CARUARU,2011,9035,47000,4785,3407,29667,135,1539,116,416,51,2608,420,3035,119,809,0,6309,94,78,11794,171,131,1569,233,0,180,458,876,4,136,19,21319,199869,24928,178550,14954
PE,23833,CATENDE,56,402,270,1748,350,194,3,62,1,53,189,192,10,473,6,56,0,33,6,3,4176,13,15,232,7,0,3,284,4734,0,22,2,4047,22667,2616,18620,923
PE,23850,CEDRO,3,16,4,232,29,28,0,0,0,484,0,1876,4,2,0,0,0,4,0,0,3081,3,6,16,3,0,0,0,0,0,3,0,2471,9375,406,6904,145
PE,23876,CHÃ DE ALEGRIA,75,251,53,42,1141,246,2,8,0,11,2,159,6,23,1,8,0,17,3,0,1947,2,16,96,2,0,0,60,2614,0,182,2,1804,10398,771,8594,315
PE,23892,CHÃ GRANDE,207,3506,40,72,138,292,0,75,1,5,6,5169,3,22,4,5,0,27,8,0,475,11,16,169,5,0,6,81,27,761,24,2,3232,16954,1314,13722,373
PE,23914,CONDADO,173,567,76,396,960,450,5,28,2,536,6,411,8,866,1,26,0,6,0,0,3292,21,116,220,2,0,5,594,293,0,1742,2,4650,19097,2002,14447,673
PE,23930,CORRENTES,13,79,378,612,2045,11,0,99,0,41,0,19,8,4,0,1,0,1,1,0,143,12,42,50,4,0,0,6,3560,0,2,0,4225,12985,753,8760,292
PE,23957,CORTÊS,26,573,54,444,120,56,0,6,0,32,4,67,5,7,2,9,0,6,9,0,1567,8,7,1996,0,0,5,11,1755,0,51,4,2423,10883,779,8460,241
PE,23973,CUMARU,61,175,1259,410,2135,150,3,41,0,22,0,55,45,30,11,2,0,34,1,1,540,5,6,131,6,0,2,3745,17,12,5,1,3763,15137,1330,11374,462
PE,23990,CUPIRA,141,4442,288,696,145,114,0,21,1,1077,5,138,35,437,9,180,0,37,6,0,752,4,8,1939,4,0,0,8,730,0,26,0,2829,17353,1542,14524,776
PE,24015,CUSTÓDIA,79,413,74,494,6240,47,1,102,30,17,5,230,15,6,0,25,0,43,676,0,4343,10,32,104,1,0,0,941,1646,0,8,0,4266,24396,2010,20130,651
PE,24031,ESCADA,349,7657,1116,1418,1750,961,2,609,15,115,12,1032,75,258,2492,220,0,557,74,0,6276,124,48,1799,7,0,54,96,130,23,2510,239,3718,42280,4419,38562,1519
PE,24058,EXU,100,228,31,2281,1925,23,2,10,2,52,2,1021,36,6,0,13,0,630,5,0,9615,39,63,37,1,0,1,4,10,0,6,0,8892,28829,1603,19937,565
PE,24074,FEIRA NOVA,68,206,20,75,5212,104,2,49,3,5,1,143,17,61,0,27,0,14,1,1,4446,4,14,63,4,0,54,30,37,3,22,17,2897,16160,1251,13263,534
