SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
SP,65897,JACAREÍ,48951,68044,27140,151373,2543,124233,4695
SP,65919,JACI,1798,1712,797,4496,96,3699,93
SP,65935,JACUPIRANGA,3433,5685,3960,13504,174,9544,252
SP,65951,JAGUARIÚNA,8876,14562,6270,31330,692,25060,930
SP,65978,JALES,11645,15753,8090,37333,796,29243,1049
SP,65994,JAMBEIRO,1086,2037,664,3920,46,3256,87
SP,66010,JANDIRA,31933,25213,12875,73537,1577,60662,1939
SP,66036,JARDINÓPOLIS,6823,11628,5529,25231,524,19702,727
SP,66052,JARINU,4928,7243,4005,16867,242,12862,449
SP,66079,JAÚ,22439,49177,16509,93264,1933,76755,3206
SP,66095,JERIQUARA,1188,971,979,3261,54,2282,69
SP,66117,JOANÓPOLIS,2337,4253,1824,8821,143,6997,264
SP,66133,JOÃO RAMALHO,1222,1365,979,3718,55,2739,97
SP,66150,JOSÉ BONIFÁCIO,7152,10824,4409,23515,565,19106,565
SP,66176,JÚLIO MESQUITA,1624,1116,559,3463,82,2904,82
SP,66192,JUNDIAÍ,87527,117146,47851,270140,5091,222289,12525
SP,66214,JUNQUEIRÓPOLIS,4150,5960,1903,12565,236,10662,316
SP,66230,JUQUIÁ,4596,6168,5928,17222,171,11294,359
SP,66257,JUQUITIBA,7006,8371,5345,21530,335,16185,473
SP,66273,LAGOINHA,1086,2653,1145,5067,87,3922,96
SP,66290,LARANJAL PAULISTA,3876,11103,3715,19504,271,15789,539
SP,66311,LAVÍNIA,1844,1215,676,3927,69,3251,123
SP,66338,LAVRINHAS,1757,2482,1036,5522,103,4486,144
SP,66354,LEME,23540,27484,11625,66482,1471,54857,2362
SP,66370,LENÇÓIS PAULISTA,9976,23995,7544,44111,1068,36567,1528
SP,66397,LIMEIRA,62736,84646,36094,195464,4649,159370,7339
SP,66419,LINDÓIA,976,2859,892,4934,73,4042,134
SP,66435,LINS,13196,25454,12298,53631,1020,41333,1663
SP,66451,LORENA,16163,29291,12894,61818,1371,48924,2099
SP,66478,LOUVEIRA,8396,12933,5613,28157,501,22544,714
SP,66494,LUCÉLIA,4702,5885,3709,14907,220,11198,391
SP,66516,LUCIANÓPOLIS,698,744,356,1876,30,1520,48
SP,66532,LUÍS ANTÔNIO,3314,2596,1487,7775,141,6288,237
SP,66559,LUIZIÂNIA,1517,1411,953,4018,47,3065,90
SP,66575,LUPÉRCIO,1472,1223,870,3697,63,2827,69
SP,66591,LUTÉCIA,997,828,498,2429,50,1931,56
SP,66613,MACATUBA,3764,5741,2744,12906,270,10162,387
SP,66630,MACAUBAL,1336,3251,960,5888,185,4928,156
SP,66656,MACEDÔNIA,1207,1036,559,2966,70,2407,94
SP,66672,MAGDA,1162,943,616,2850,71,2234,58
SP,66699,MAIRINQUE,13849,12117,6940,34520,689,27580,925
SP,66710,MAIRIPORÃ,16087,22857,10588,52095,952,41507,1611
SP,66737,MANDURI,2065,3198,1571,7174,148,5603,192
SP,66753,MARABÁ PAULISTA,1362,1034,945,3459,48,2514,70
SP,66770,MARACAÍ,4414,3744,1619,10245,210,8626,258
SP,66796,MARIÁPOLIS,1268,1125,680,3237,81,2557,83
SP,66818,MARÍLIA,40198,76945,31990,157606,3265,125616,5208
SP,66834,MARINÓPOLIS,691,808,444,2021,37,1577,41
SP,66850,MARTINÓPOLIS,4419,8900,4126,18174,281,14048,448
SP,66877,MATÃO,20924,25506,10566,60250,1213,49684,2041
SP,66893,MAUÁ,124708,94076,46856,283964,6137,237108,12187
SP,66915,MENDONÇA,1617,1231,695,3669,58,2974,68
SP,66931,MERIDIANO,1313,1167,761,3381,66,2620,74
SP,66958,MIGUELÓPOLIS,6209,5269,4575,16553,209,11978,291
SP,66974,MINEIROS DO TIETÊ,2505,4192,1792,8933,212,7141,232
SP,66990,MIRACATU,5229,5560,5546,16810,176,11264,299
SP,67016,MIRA ESTRELA,985,779,469,2358,63,1889,62
SP,67032,MIRANDÓPOLIS,6807,7355,4740,20178,493,15438,783
SP,67059,MIRANTE DO PARANAPANEMA,5842,3883,3853,14055,199,10202,278
SP,67075,MIRASSOL,12197,16905,7761,38891,807,31130,1221
SP,67091,MIRASSOLÂNDIA,970,1672,626,3408,69,2782,71
SP,67113,MOCOCA,9694,28393,12007,52735,966,40728,1675
SP,67130,MOGI DAS CRUZES,80686,126106,46124,268116,5664,221992,9536
SP,67156,MOGI GUAÇU,34524,43951,18359,103633,2701,85274,4098
SP,67172,MOGI MIRIM,13348,34699,11856,63449,1335,51593,2211
SP,67199,MOMBUCA,723,1304,437,2615,65,2178,86
SP,67210,MONÇÕES,693,670,287,1792,78,1505,64
SP,67237,MONGAGUÁ,11645,12479,10028,35368,442,25340,774
SP,67253,MONTE ALEGRE DO SUL,1341,2726,754,5115,88,4361,206
SP,67270,MONTE ALTO,9860,16547,7635,35844,836,28209,966
SP,67296,MONTE APRAZÍVEL,5381,6176,2406,14767,333,12361,471
SP,67318,MONTE AZUL PAULISTA,4294,6844,3611,15565,351,11954,465
SP,67334,MONTE CASTELO,1629,828,523,3099,46,2576,73
SP,67350,MONTEIRO LOBATO,976,1544,535,3213,56,2678,102
SP,67377,MONTE MOR,15171,9984,7471,34526,828,27055,1072
SP,67393,MORRO AGUDO,6838,8292,3866,19848,336,15982,516
SP,67415,MORUNGABA,2001,5164,1386,8991,149,7605,291
SP,67431,MURUTINGA DO SUL,1247,1282,739,3432,52,2693,112
SP,67458,NARANDIBA,1401,1350,704,3556,36,2852,65
SP,67474,NATIVIDADE DA SERRA,1651,2672,1840,6446,90,4606,193
SP,67490,NAZARÉ PAULISTA,4170,5000,3044,12826,204,9782,408
SP,67512,NEVES PAULISTA,2811,2652,1441,7331,197,5890,230
SP,67539,NHANDEARA,2298,3637,1300,7615,193,6315,187
SP,67555,NIPOÃ,1318,1323,710,3500,65,2790,84
SP,67571,NOVA ALIANÇA,1801,1884,790,4779,95,3989,209
SP,67598,NOVA EUROPA,2845,2683,1726,7578,124,5852,200
SP,67610,NOVA GRANADA,5125,5572,3261,14654,279,11393,417
SP,67636,NOVA GUATAPORANGA,849,520,241,1680,27,1439,43
SP,67652,NOVA INDEPENDÊNCIA,1048,783,414,2346,37,1932,64
SP,67679,NOVA LUZITÂNIA,1131,1044,391,2642,26,2251,50
SP,67695,NOVA ODESSA,16937,12012,6422,37688,950,31266,1367
