SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'PARTIDO REPUBLICANO BRASILEIRO')","('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO LIBERAL')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'PARTIDO DA FRENTE LIBERAL')","('QT_VOTOS', 26, 'PARTIDO DOS APOSENTADOS DA NAÇÃO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 56, 'PARTIDO DE REEDIFICAÇÃO DA ORDEM NACIONAL')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
PR,77593,PÉROLA D'OESTE,7,5,1587,699,0,1001,0,0,1,20,0,1,117,150,0,0,0,0,7,7,0,3,4,1,339,0,2,2,0,752,5326,148,4574,63
PR,77615,PIÊN,4,11,219,125,16,1884,0,12,0,17,0,2,1260,132,38,5,3,0,0,2,1,4,10,0,1763,0,2,2,0,525,6898,345,6373,118
PR,77631,PINHALÃO,0,18,16,243,0,2876,0,0,0,18,0,4,112,5,0,2,0,0,0,1,0,0,8,0,104,0,4,0,0,915,4942,160,4027,75
PR,77658,PINHÃO,69,54,326,2329,13,3895,0,34,1,67,0,10,94,1407,0,3,1795,0,23,5,12,1556,47,3,1626,2,0,1,2,4319,20764,868,16445,409
PR,77674,PIRAÍ DO SUL,9,514,586,696,1358,1425,1,2,106,72,0,33,1753,4454,2,6,0,0,51,4,4,91,59,6,397,1,2,93,0,2845,17436,1146,14591,385
PR,77690,PIRAQUARA,516,1323,5420,3366,1291,6130,3,467,10,391,3,234,2420,2437,2,44,17,0,36,100,24,476,3090,9,3261,13,19,37,5,7447,45668,2878,38221,922
PR,77712,PITANGA,59,197,1373,695,15,10325,1,1,3,65,0,18,468,2701,0,3,3,0,11,37,9,348,73,1,327,1,12,62,0,5705,25631,793,19926,426
PR,77739,PLANALTINA DO PARANÁ,1,13,6,184,0,660,0,273,0,4,0,1,2,13,0,3,0,0,3,2,0,0,1,0,1004,2,0,0,0,450,3041,117,2591,47
PR,77755,PLANALTO,4,10,4670,773,0,2019,1,0,1,8,0,0,5,97,0,0,0,0,0,4,0,0,1,1,38,0,1,1,0,1461,9964,152,8503,71
PR,77771,PONTA GROSSA,1512,2880,1647,23735,38160,4727,17,38,7064,160,2,10071,31874,24246,12,24,26,2,279,210,132,2043,539,28,1774,77,59,79,21,28015,204026,8145,176011,5371
PR,77798,PORECATU,140,305,110,536,23,3224,0,9,1,322,0,7,308,804,19,13,1,0,0,13,1,28,1342,1,86,0,0,10,18,1678,10626,490,8948,220
PR,77810,PORTO AMAZONAS,4,25,530,329,10,611,0,1,6,18,0,60,176,400,0,4,1,0,18,0,7,28,10,0,31,0,0,1,0,514,3212,138,2698,60
PR,77836,PORTO RICO,7,2,349,52,0,422,0,68,0,22,0,5,0,28,0,0,0,0,0,5,0,8,2,0,562,0,0,0,1,228,1976,28,1748,31
