SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA BRASILEIRO')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 18, 'PARTIDO SOCIAL TRABALHISTA')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO LIBERAL')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'PARTIDO DA FRENTE LIBERAL')","('QT_VOTOS', 26, 'PARTIDO DOS APOSENTADOS DA NAÇÃO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 30, 'PARTIDO GERAL DOS TRABALHADORES')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 41, 'PARTIDO SOCIAL DEMOCRÁTICO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 56, 'PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
MG,45551,GRAO MOGOL,129,254,86,7,256,0,0,15,28,0,0,180,9,7,0,0,58,0,1,10,9,0,37,0,4,2,3390,0,6,0,2835,9194,212,6359,276
MG,45578,GRUPIARA,1,16,112,531,9,0,0,165,0,0,0,2,45,2,0,0,3,0,0,0,32,0,5,0,0,0,20,0,0,0,185,1315,41,1130,17
MG,45594,GUANHAES,880,1236,1504,1779,919,2,0,347,9,5,0,588,68,410,3,0,639,5,11,68,41,4,322,270,85,9,363,0,13,0,5097,20185,1211,15088,1061
MG,45616,GUAPE,1552,79,715,174,483,0,0,39,25,22,0,275,17,2142,0,0,18,1,0,0,13,0,22,1,2,2,91,0,1,1,1516,9135,593,7619,245
MG,45632,GUARACIABA,4,82,777,153,24,0,0,15,2,0,0,108,4,639,0,0,19,0,0,1,26,0,20,1764,3,1,484,0,9,0,940,6787,273,5847,281
MG,45659,GUARANESIA,44,311,1899,37,308,0,0,92,0,0,0,403,6,3054,0,0,2,0,0,462,6,0,131,1,20,5,997,0,2,0,1937,12646,881,10709,369
MG,45675,GUARANI,1925,420,845,269,97,1,0,35,4,0,0,128,17,113,1,0,82,0,1,0,23,1,30,3,1,0,235,0,22,0,1037,6780,307,5743,277
MG,45691,GUARARA,479,685,128,72,27,0,0,24,2,0,0,83,32,56,0,0,34,0,0,0,13,0,30,1,5,2,382,0,1,0,402,3122,125,2720,94
MG,45713,GUARDA-MOR,0,13,290,7,1163,1,0,23,0,0,0,101,3,11,0,0,67,0,0,0,39,0,38,2,1,0,1026,0,0,0,985,4542,147,3557,79
MG,45730,GUAXUPE,103,408,2126,266,2160,0,0,314,1,1,0,2039,37,7577,0,0,18,1,1,4728,356,0,328,8,233,2,207,0,28,1,4983,33258,1684,28275,899
MG,45756,GUIDOVAL,16,382,397,6,505,0,0,51,3,0,0,40,9,1328,0,0,7,0,1,1,34,0,86,0,5,1,712,0,3,0,930,5916,389,4986,173
MG,45772,GUIMARANIA,2,61,390,949,901,0,0,41,0,0,0,4,12,342,0,0,5,0,0,0,53,0,130,0,3,2,236,0,0,3,837,4933,225,4096,144
MG,45799,GUIRICEMA,17,156,466,139,1799,1,0,2,1,0,0,45,1638,80,0,0,5,2,0,1,36,0,22,3,8,7,16,0,8,0,1150,7113,380,5963,200
MG,45810,GURINHATA,7,39,1213,17,417,0,0,30,1,0,0,759,2,10,0,0,1,0,0,0,7,0,94,3,1,3,941,0,0,1,1286,5768,177,4482,109
MG,45837,HELIODORA,99,31,288,489,1293,0,0,10,1,0,0,36,96,151,0,0,12,0,0,0,1,0,12,2,3,2,26,0,0,0,630,4126,244,3496,127
