SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA BRASILEIRO')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 22, 'PARTIDO LIBERAL')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'PARTIDO DA FRENTE LIBERAL')","('QT_VOTOS', 26, 'PARTIDO DOS APOSENTADOS DA NAÇÃO')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 30, 'PARTIDO GERAL DOS TRABALHADORES')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 41, 'PARTIDO SOCIAL DEMOCRÁTICO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 56, 'PARTIDO DA REEDIFICAÇÃO DA ORDEM NACIONAL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AL,28630,SAO BRAS,0,33,128,0,0,1,0,4,0,0,0,0,0,0,930,0,0,0,1420,0,0,0,0,0,378,3742,296,3364,552
AL,28657,SAO JOSE DA LAJE,0,116,173,0,0,8,0,15,0,0,0,0,0,0,3036,0,0,0,3897,0,0,0,0,0,848,10108,387,9260,1628
AL,28673,SAO JOSE DA TAPERA,0,110,246,0,0,6,0,2,0,0,0,0,0,0,3608,0,0,0,4111,0,0,0,0,0,4319,15301,473,10982,2426
AL,28690,SAO LUIS DO QUITUNDE,0,144,373,0,0,3,0,11,0,0,0,0,0,0,4295,0,0,0,5309,0,0,0,0,0,4227,17702,920,13475,2420
AL,28711,SAO MIGUEL DOS CAMPOS,0,264,982,0,0,27,0,15,0,0,0,0,0,0,10008,0,0,0,7129,0,0,0,0,0,2213,24311,708,22098,2965
AL,28738,SAO MIGUEL DOS MILAGRES,0,26,85,0,0,1,0,10,0,0,0,0,0,0,901,0,0,0,1503,0,0,0,0,0,368,3550,206,3182,450
AL,28754,SAO SEBASTIAO,0,192,382,0,0,12,0,13,0,0,0,0,0,0,4145,0,0,0,5155,0,0,0,0,0,5160,18664,1035,13504,2570
AL,28770,SATUBA,0,203,273,0,0,59,0,15,0,0,0,0,0,0,2325,0,0,0,2017,0,0,0,0,0,1294,7059,266,5765,607
AL,28797,TANQUE D ARCA,0,23,28,0,0,0,0,5,0,0,0,0,0,0,812,0,0,0,1459,0,0,0,0,0,1471,4579,202,3108,579
AL,28819,TAQUARANA,0,102,90,0,0,4,0,2,0,0,0,0,0,0,2654,0,0,0,2858,0,0,0,0,0,2360,9848,237,7488,1541
AL,28835,TRAIPU,0,117,135,0,0,0,0,13,0,0,0,0,0,0,4291,0,0,0,4818,0,0,0,0,0,3765,15603,262,11838,2202
AL,28851,UNIAO DOS PALMARES,0,326,1418,0,0,21,0,22,0,0,0,0,0,0,6847,0,0,0,9626,0,0,0,0,0,8904,32051,1092,23147,3795
AL,28878,VICOSA,0,151,430,0,0,16,0,5,0,0,0,0,0,0,4689,0,0,0,4864,0,0,0,0,0,3687,16605,562,12918,2201
AL,28894,CRAIBAS,0,124,159,0,0,9,0,4,0,0,0,0,0,0,3558,0,0,0,3420,0,0,0,0,0,3272,12666,338,9394,1782
AL,28916,SENADOR RUI PALMEIRA,0,47,88,0,0,2,0,6,0,0,0,0,0,0,1032,0,0,0,1911,0,0,0,0,0,1247,5391,101,4144,957
AL,28932,SENADOR TEOTONIO VILELA,0,169,209,0,0,14,0,7,0,0,0,0,0,0,7174,0,0,0,4441,0,0,0,0,0,6952,22108,731,15156,2411
AM,2003,APUI,0,0,348,0,149,3,0,0,0,0,2920,0,0,0,0,0,0,0,100,0,0,0,0,0,3242,7425,93,4183,570
AM,2011,NOVO AYRAO,0,0,122,0,1171,0,0,0,0,0,1946,0,0,0,0,0,0,0,132,0,0,0,0,0,1713,5685,70,3972,531
AM,2020,GUAJARA,0,0,155,0,461,2,0,0,0,0,2641,0,0,0,0,0,0,0,40,0,0,0,0,0,3985,8156,109,4171,763
AM,2038,ANORI,0,0,90,0,343,3,0,0,0,0,2667,0,0,0,0,0,0,0,755,0,0,0,0,0,1834,6418,82,4584,644
AM,2046,CAREIRO DA VARZEA,0,0,233,0,1343,10,0,0,0,0,4786,0,0,0,0,0,0,0,724,0,0,0,0,0,2842,11072,87,8230,1047
AM,2054,ATALAIA DO NORTE,0,0,74,0,398,1,0,0,0,0,1208,0,0,0,0,0,0,0,65,0,0,0,0,0,1282,3468,33,2186,407
AM,2070,AUTAZES,0,0,264,0,738,2,0,0,0,0,5180,0,0,0,0,0,0,0,1283,0,0,0,0,0,4234,12994,114,8760,1179
AM,2097,BARCELOS,0,0,69,0,117,0,0,0,0,0,3141,0,0,0,0,0,0,0,78,0,0,0,0,0,1713,5626,40,3913,468
AM,2119,BARREIRINHA,0,0,228,0,2211,6,0,0,0,0,4654,0,0,0,0,0,0,0,293,0,0,0,0,0,2903,11628,107,8725,1226
AM,2135,BENJAMIN CONSTANT,0,0,386,0,1256,2,0,0,0,0,5966,0,0,0,0,0,0,0,310,0,0,0,0,0,3832,13460,183,9628,1525
AM,2151,BOCA DO ACRE,0,0,551,0,636,4,0,0,0,0,5732,0,0,0,0,0,0,0,497,0,0,0,0,0,5008,14045,234,9037,1383
AM,2178,BORBA,0,0,284,0,897,4,0,0,0,0,5509,0,0,0,0,0,0,0,650,0,0,0,0,0,4006,12972,142,8966,1480
AM,2194,CANUTAMA,0,0,42,0,413,1,0,0,0,0,1909,0,0,0,0,0,0,0,36,0,0,0,0,0,1526,4397,74,2871,396
