SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'PARTIDO REPUBLICANO BRASILEIRO')","('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO DA REPÚBLICA')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'DEMOCRATAS')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 44, 'PARTIDO REPUBLICANO PROGRESSISTA')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
SE,31950,NOSSA SENHORA DO SOCORRO,1619,1065,11900,4781,39,2702,0,5327,0,8741,19,1749,574,4775,31,73,0,72,6,2375,7251,1318,153,1163,67,661,2406,10559,81853,3973,71294,3110
SE,31976,PACATUBA,50,23,1701,1022,1,362,0,513,0,1362,0,71,5,170,1,0,0,0,1,83,141,40,2,48,0,56,646,2515,10554,562,8039,232
SE,31992,PEDRA MOLE,1,360,249,628,0,27,0,86,0,82,0,5,1,369,0,0,0,0,0,3,26,8,0,9,2,2,21,320,2522,82,2202,39
SE,32018,PEDRINHAS,31,344,158,628,3,267,0,662,0,141,0,62,20,778,0,0,0,2,1,148,86,189,1,159,3,5,702,1610,6865,216,5255,186
SE,32034,PINHÃO,19,16,260,225,0,61,0,119,0,474,2,32,1,1122,0,0,0,0,0,21,1067,26,5,27,0,9,24,566,4804,134,4238,129
SE,32050,PIRAMBU,150,87,181,939,0,480,0,382,0,838,2,35,10,189,0,0,0,44,0,73,814,80,3,35,3,99,244,1162,6782,241,5620,241
SE,32077,POÇO REDONDO,1303,26,718,2366,1,513,0,1587,0,1016,1,63,4,1566,1,0,0,3,0,99,329,7,4,15,1,8,1475,3685,17115,399,13430,360
SE,32093,POÇO VERDE,27,35,232,2649,4,1283,0,224,0,360,4,32,18,1129,2,0,0,1,0,185,101,471,12,2055,3,24,149,4265,17445,692,13180,2072
SE,32115,PORTO DA FOLHA,669,53,2068,3406,0,1092,0,682,0,1013,0,95,79,1572,3,0,0,0,0,105,334,98,3,96,3,21,1777,3932,19976,663,16044,449
SE,32131,PROPRIÁ,129,642,711,596,5,456,0,911,0,1835,0,40,32,1033,0,0,0,1,2,3079,191,112,10,238,6,91,566,3907,20689,781,16782,4078
SE,32158,RIACHÃO DO DANTAS,34,98,844,1128,2,1138,0,909,0,3482,6,57,25,428,0,0,0,1,1,139,169,494,1,408,2,22,430,3440,15723,830,12283,367
SE,32174,RIACHUELO,47,51,175,750,1,701,0,308,0,163,1,278,26,215,1,0,0,0,0,103,1080,14,0,42,0,41,927,829,6745,287,5916,215
