SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 10, 'PARTIDO REPUBLICANO BRASILEIRO')","('QT_VOTOS', 11, 'PARTIDO PROGRESSISTA')","('QT_VOTOS', 12, 'PARTIDO DEMOCRÁTICO TRABALHISTA')","('QT_VOTOS', 13, 'PARTIDO DOS TRABALHADORES')","('QT_VOTOS', 14, 'PARTIDO TRABALHISTA BRASILEIRO')","('QT_VOTOS', 15, 'PARTIDO DO MOVIMENTO DEMOCRÁTICO BRASILEIRO')","('QT_VOTOS', 16, 'PARTIDO SOCIALISTA DOS TRABALHADORES UNIFICADO')","('QT_VOTOS', 17, 'PARTIDO SOCIAL LIBERAL')","('QT_VOTOS', 19, 'PARTIDO TRABALHISTA NACIONAL')","('QT_VOTOS', 20, 'PARTIDO SOCIAL CRISTÃO')","('QT_VOTOS', 21, 'PARTIDO COMUNISTA BRASILEIRO')","('QT_VOTOS', 22, 'PARTIDO DA REPÚBLICA')","('QT_VOTOS', 23, 'PARTIDO POPULAR SOCIALISTA')","('QT_VOTOS', 25, 'DEMOCRATAS')","('QT_VOTOS', 27, 'PARTIDO SOCIAL DEMOCRATA CRISTÃO')","('QT_VOTOS', 28, 'PARTIDO RENOVADOR TRABALHISTA BRASILEIRO')","('QT_VOTOS', 29, 'PARTIDO DA CAUSA OPERÁRIA')","('QT_VOTOS', 31, 'PARTIDO HUMANISTA DA SOLIDARIEDADE')","('QT_VOTOS', 33, 'PARTIDO DA MOBILIZAÇÃO NACIONAL')","('QT_VOTOS', 36, 'PARTIDO TRABALHISTA CRISTÃO')","('QT_VOTOS', 40, 'PARTIDO SOCIALISTA BRASILEIRO')","('QT_VOTOS', 43, 'PARTIDO VERDE')","('QT_VOTOS', 45, 'PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA')","('QT_VOTOS', 50, 'PARTIDO SOCIALISMO E LIBERDADE')","('QT_VOTOS', 65, 'PARTIDO COMUNISTA DO BRASIL')","('QT_VOTOS', 70, 'PARTIDO TRABALHISTA DO BRASIL')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
AL,27618,IGACI,0,7416,0,0,330,8252,0,0,0,0,0,0,173,0,0,34,0,0,0,0,0,0,0,2790,606,0,3082,15562,2006,12480,3353
AL,27634,IGREJA NOVA,0,6126,0,0,744,5791,0,0,0,0,0,0,370,0,0,75,0,0,0,0,0,0,0,3356,726,0,4426,17109,4542,12683,3636
AL,27650,INHAPI,0,4616,0,0,184,5479,0,0,0,0,0,0,327,0,0,68,0,0,0,0,0,0,0,899,1703,0,3972,12618,1076,8646,2940
AL,27677,JACARÉ DOS HOMENS,0,2491,0,0,69,2482,0,0,0,0,0,0,265,0,0,3,0,0,0,0,0,0,0,547,67,0,1145,4685,311,3540,845
AL,27693,JACUÍPE,0,1866,0,0,85,2648,0,0,0,0,0,0,46,0,0,46,0,0,0,0,0,0,0,836,697,0,1430,5390,759,3960,937
AL,27715,JAPARATINGA,0,2983,0,0,54,2279,0,0,0,0,0,0,139,0,0,289,0,0,0,0,0,0,0,821,319,0,1335,5976,1189,4641,1209
AL,27731,JARAMATAIA,0,1458,0,0,1185,1353,0,0,0,0,0,0,189,0,0,3,0,0,0,0,0,0,0,1125,79,0,378,3764,419,3386,961
AL,27758,JOAQUIM GOMES,0,6194,0,0,605,4821,0,0,0,0,0,0,731,0,0,317,0,0,0,0,0,0,0,1933,358,0,4310,14401,2091,10091,3132
AL,27774,JUNDIÁ,0,2074,0,0,20,1746,0,0,0,0,0,0,284,0,0,20,0,0,0,0,0,0,0,286,68,0,1079,3921,449,2842,737
AL,27790,JUNQUEIRO,0,7973,0,0,274,5084,0,0,0,0,0,0,4486,0,0,65,0,0,0,0,0,0,0,4013,198,0,5255,18791,2345,13536,2634
AL,27812,LAGOA DA CANOA,0,5613,0,0,502,6371,0,0,0,0,0,0,192,0,0,120,0,0,0,0,0,0,0,1971,757,0,3250,12916,1422,9666,2384
AL,27839,LIMOEIRO DE ANADIA,0,9057,0,0,211,8620,0,0,0,0,0,0,143,0,0,21,0,0,0,0,0,0,0,1301,202,0,4412,16617,1800,12205,3055
AL,27855,MACEIÓ,0,243370,0,0,15135,189519,0,0,0,0,0,0,45373,0,0,8238,0,0,0,0,0,0,0,166195,51769,0,89873,538516,76476,448643,101211
AL,27871,MAJOR ISIDORO,0,4468,0,0,1234,5805,0,0,0,0,0,0,180,0,0,36,0,0,0,0,0,0,0,4418,666,0,4232,14911,1647,10679,2904
AL,27898,MARAGOGI,0,6233,0,0,223,4551,0,0,0,0,0,0,319,0,0,3081,0,0,0,0,0,0,0,2219,1120,0,4037,17432,5392,13395,3652
AL,27910,MARAVILHA,0,2525,0,0,1471,2539,0,0,0,0,0,0,80,0,0,13,0,0,0,0,0,0,0,2135,141,0,2730,8421,807,5691,1671
AL,27936,MARECHAL DEODORO,0,16339,0,0,658,13304,0,0,0,0,0,0,1280,0,0,214,0,0,0,0,0,0,0,5596,1826,0,6380,30889,4593,24509,5208
