SG_UF,CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13, 'Partido dos Trabalhadores')","('QT_VOTOS', 16, 'Partido Socialista dos Trabalhadores Unificado')","('QT_VOTOS', 20, 'Partido Social Cristão')","('QT_VOTOS', 21, 'Partido Comunista Brasileiro')","('QT_VOTOS', 27, 'Partido Social Democrata Cristão')","('QT_VOTOS', 28, 'Partido Renovador Trabalhista Brasileiro')","('QT_VOTOS', 29, 'Partido da Causa Operária')","('QT_VOTOS', 40, 'Partido Socialista Brasileiro')","('QT_VOTOS', 43, 'Partido Verde')","('QT_VOTOS', 45, 'Partido da Social Democracia Brasileira')","('QT_VOTOS', 50, 'Partido Socialismo e Liberdade')",QT_ABST,QT_APTOS,QT_BRANCOS,QT_COMPARECIMENTOS,QT_NULOS
SP,62014,BARÃO DE ANTONINA,663,1,3,0,1,2,0,179,11,966,13,533,2521,63,1988,86
SP,62022,LOURDES,547,0,4,0,0,3,0,180,2,711,9,457,2021,43,1564,65
SP,62030,BARIRI,2274,2,66,4,1,34,2,2404,131,11290,174,5961,24264,1005,18303,916
SP,62049,TORRE DE PEDRA,354,0,3,0,0,5,0,393,9,1024,12,726,2627,50,1901,51
SP,62057,BARRA BONITA,4142,22,94,8,13,47,1,4092,230,12406,437,6322,30325,1259,24003,1252
SP,62065,ARCO-ÍRIS,417,0,2,0,0,0,0,341,2,770,6,389,2020,46,1631,47
SP,62073,BARRA DO TURVO,2427,0,22,4,2,19,0,523,13,1262,19,2676,7242,98,4566,177
SP,62081,BREJO ALEGRE,772,1,5,0,0,1,0,324,15,624,17,426,2358,81,1932,92
SP,62090,BARRETOS,15417,42,245,14,14,154,4,13244,268,29478,924,19435,84991,2734,65556,3018
SP,62103,CANAS,796,1,26,0,0,15,0,698,19,1241,28,676,3695,86,3019,109
SP,62111,BARRINHA,4967,11,51,3,1,44,1,4700,52,5356,166,4465,21644,1034,17179,793
SP,62120,PRACINHA,448,0,10,0,0,0,0,152,2,469,2,342,1499,33,1157,41
SP,62138,BARUERI,53675,108,1470,69,111,1415,24,51951,1419,61847,3987,40333,236313,9980,195980,9924
SP,62146,PRATÂNIA,767,0,11,0,0,1,0,547,16,1597,31,1028,4322,178,3294,146
SP,62154,BASTOS,2193,1,50,6,1,27,0,3795,52,6101,78,3808,17233,730,13425,391
SP,62162,QUADRA,512,0,5,1,3,10,0,392,5,1199,4,693,2960,75,2267,61
SP,62170,BATATAIS,7793,18,84,10,13,74,6,5824,306,16314,550,8669,42875,1731,34206,1483
SP,62189,SANTA CRUZ DA ESPERANÇA,277,0,4,1,0,6,0,189,2,827,7,474,1908,31,1434,90
SP,62197,BAURU,49147,217,1580,134,64,1055,39,49997,2834,77422,4296,49960,258271,9991,208311,11535
SP,62200,SANTA SALETE,377,0,2,0,0,5,0,168,2,654,8,244,1557,58,1313,39
SP,62219,BEBEDOURO,9725,23,176,17,10,108,10,7093,266,23066,573,13042,57978,2125,44936,1744
SP,62227,VITÓRIA BRASIL,492,2,1,0,0,1,0,141,3,580,6,238,1571,49,1333,58
SP,62235,BENTO DE ABREU,382,0,6,0,0,10,0,504,6,612,15,534,2250,90,1716,91
SP,62243,IPIGUÁ,772,0,21,0,0,5,0,357,5,1589,16,742,3708,130,2966,71
SP,62251,BERNARDINO DE CAMPOS,1253,5,14,1,0,14,2,1525,47,3109,60,1892,8503,281,6611,300
SP,62260,TAQUARAL,399,0,1,0,0,1,0,214,11,980,17,478,2253,83,1775,69
SP,62278,BILAC,792,3,22,1,1,6,0,695,17,2762,31,1229,5979,187,4750,233
SP,62286,FERNÃO,308,0,15,1,2,3,0,194,6,606,4,353,1578,47,1225,39
SP,62294,BIRIGUI,11337,37,450,18,12,207,5,14254,302,32066,779,14268,80575,3182,66307,3658
SP,62308,GAVIÃO PEIXOTO,1104,0,26,1,2,9,2,608,13,1009,28,668,3717,132,3049,115
SP,62316,BIRITIBA MIRIM,3052,12,125,7,7,66,2,4147,114,8774,190,4252,22301,843,18049,710
SP,62324,JUMIRIM,258,0,3,0,1,3,0,300,11,1157,11,514,2356,54,1842,44
SP,62332,BOA ESPERANÇA DO SUL,2683,5,38,4,2,3,0,1146,47,3300,54,2112,10189,422,8077,373
SP,62340,NANTES,844,3,3,0,1,4,0,212,2,663,6,488,2320,47,1832,47
SP,62359,BOCAINA,889,5,32,2,0,20,0,1218,91,4007,49,1799,8762,343,6963,307
SP,62367,NOVA CASTILHO,255,0,3,0,1,1,0,136,0,596,11,249,1322,44,1073,26
SP,62375,BOFETE,1586,3,29,0,1,13,0,962,15,2511,38,2121,7795,239,5674,277
SP,62383,OUROESTE,2023,3,6,2,2,4,0,956,24,2279,43,1558,7414,264,5856,250
SP,62391,BOITUVA,5019,10,128,8,9,114,0,7211,241,13559,357,7939,38009,1607,30070,1807
SP,62405,PAULISTÂNIA,257,0,3,0,0,1,0,211,12,697,5,351,1617,36,1266,44
SP,62413,BOM JESUS DOS PERDÕES,2104,6,55,2,6,26,1,2124,138,6333,153,2989,15050,528,12061,585
SP,62421,RIBEIRÃO DOS ÍNDIOS,585,0,2,0,0,2,0,170,2,706,4,457,2071,78,1614,65
SP,62430,BORÁ,293,0,2,0,0,3,0,128,0,354,3,221,1060,31,839,25
SP,62448,TRABIJU,262,4,1,1,0,2,0,232,1,679,12,250,1509,40,1259,25
SP,62456,BORACÉIA,802,0,18,0,0,7,1,402,24,1473,18,631,3601,109,2970,116
SP,62472,BORBOREMA,1527,1,34,1,0,29,0,754,87,5475,55,2635,11341,399,8706,344
SP,62499,BOTUCATU,13006,34,338,38,40,386,9,15856,780,34913,1825,18831,94688,3591,75857,5041
SP,62510,BRAGANÇA PAULISTA,12193,46,377,33,63,268,9,16917,916,54821,1758,22460,117985,3724,95525,4400
SP,62553,BRAÚNA,673,0,11,1,0,3,2,561,8,1839,12,776,4174,149,3398,139
SP,62570,BRODOWSKI,2387,13,39,0,1,65,0,2350,75,6065,174,3172,15528,569,12356,618
SP,62596,BROTAS,1907,7,46,6,3,27,0,2688,110,7090,153,4366,17840,706,13474,731
SP,62618,BURI,3103,2,53,3,1,24,1,1983,54,5370,54,3344,14779,489,11435,298
SP,62634,BURITAMA,2821,3,31,2,3,7,0,1448,23,4121,62,3009,12397,435,9388,432
SP,62650,BURITIZAL,572,0,4,0,0,2,0,600,12,1336,18,605,3380,101,2775,130
SP,62677,CABRÁLIA PAULISTA,948,0,14,1,0,9,0,648,20,1045,38,930,3905,148,2975,104
SP,62693,CABREÚVA,5918,17,254,11,14,127,2,5971,151,10837,289,6003,32492,1594,26489,1304
SP,62715,CAÇAPAVA,9460,109,823,16,23,305,5,13788,470,23737,977,13344,68328,2557,54984,2714
SP,62731,CACHOEIRA PAULISTA,4724,12,168,8,11,125,2,4733,160,7320,329,5356,24573,818,19217,807
SP,62758,CACONDE,3701,4,15,2,2,26,3,1325,78,4846,116,3574,14442,362,10868,388
SP,62774,CAFELÂNDIA,2000,0,52,3,0,5,1,1829,52,5288,63,3237,13378,496,10141,352
SP,62790,CAIABU,1265,0,29,1,0,3,0,292,5,1189,4,705,3668,109,2963,66
SP,62812,CAIEIRAS,13229,34,308,6,31,321,13,14474,437,16370,1138,10682,63608,3008,52926,3557
SP,62839,CAIUÁ,1415,2,30,0,0,3,0,467,8,902,16,1082,4119,98,3037,96
SP,62855,CAJAMAR,12349,29,274,15,18,183,4,13087,343,13685,736,9437,54514,2317,45077,2037
SP,62871,CAJOBI,1645,4,14,0,0,7,1,838,37,3162,75,1771,8046,235,6275,257
SP,62898,CAJURU,3848,9,47,2,3,11,2,2411,75,6027,229,4277,18574,824,14297,809
SP,62910,CAMPINAS,146501,625,3392,272,253,3160,123,152567,6765,234695,20299,164485,809149,33768,644664,42244
SP,62936,CAMPO LIMPO PAULISTA,12279,38,519,26,42,307,15,12526,435,15494,799,11065,59558,2589,48493,3424
