,NM_CANDIDATO,NM_URNA_CANDIDATO,NR_PARTIDO,NM_PARTIDO,SG_PARTIDO,CD_MUNICIPIO,NM_MUNICIPIO,SG_UF,QT_VOTOS_NOMINAIS ELEITO
58,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32174,RIACHUELO,SE,2288
59,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32190,RIBEIRÓPOLIS,SE,4421
60,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32212,ROSÁRIO DO CATETE,SE,2462
61,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32239,SALGADO,SE,2481
62,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32255,SANTA LUZIA DO ITANHY,SE,913
63,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32298,SANTA ROSA DE LIMA,SE,841
64,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32310,SANTO AMARO DAS BROTAS,SE,2085
65,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32336,SÃO CRISTÓVÃO,SE,20159
66,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32352,SÃO DOMINGOS,SE,1282
67,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32379,SÃO FRANCISCO,SE,900
68,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32395,SÃO MIGUEL DO ALEIXO,SE,720
69,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32417,SIMÃO DIAS,SE,4819
70,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32433,SIRIRI,SE,1901
71,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32450,TELHA,SE,488
72,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32476,TOBIAS BARRETO,SE,8680
73,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32492,TOMAR DO GERU,SE,1135
74,ALESSANDRO VIEIRA,DELEGADO ALESSANDRO VIEIRA,18,Rede Sustentabilidade,REDE,32514,UMBAÚBA,SE,3996
