,CD_MUNICIPIO,NM_MUNICIPIO,SG_UF,WGT_COORD1,WGT_COORD2,WGT_COORD1_NORM,WGT_COORD2_NORM
52,1007,BUJARI,AC,-1.7114136854627293e-05,1.7529279277710496e-05,0.137051898726711,0.17964421404856074
53,1015,CAPIXABA,AC,-1.3478694485282423e-05,4.368566114441038e-06,0.1452429270048743,-0.006175461984583964
54,1023,PORTO ACRE,AC,-2.981387187236312e-05,1.710019872410261e-05,0.10843808008042591,0.17358590942065769
55,1031,SANTA ROSA DO PURUS,AC,-4.7917274875234e-06,1.019481563664189e-06,0.16481556359240968,-0.0534620944423012
56,1040,MARECHAL THAUMATURGO,AC,-3.168316505228323e-05,3.817878475890243e-06,0.10422636889335993,-0.013950770003343728
57,1058,BRASILEIA,AC,-2.7459737242586972e-05,2.0457280618773726e-05,0.11374218928201801,0.2209854585442974
58,1066,PORTO WALTER,AC,-2.1685142064335874e-05,6.15758971362223e-06,0.12675295044793466,0.019084247082193848
59,1074,CRUZEIRO DO SUL,AC,-0.00014797312351085928,3.264326880506905e-05,-0.15778695477604723,0.3930427284528068
60,1082,RODRIGUES ALVES,AC,-3.1189872612883e-05,2.5640863703727874e-05,0.10533780786282419,0.2941738730008421
61,1090,MANCIO LIMA,AC,-4.12391667051604e-05,1.328117955925896e-05,0.08269570719867386,0.11966414278295041
62,1104,JORDAO,AC,-9.859463149085945e-06,2.485597594616666e-06,0.15339743014594387,-0.03276160484733537
63,1112,EPITACIOLANDIA,AC,-1.0912221910020485e-05,8.245644083435994e-06,0.15102545559516783,0.04856605264431706
64,1120,ACRELANDIA,AC,-1.3401431242364575e-05,1.2626024670699668e-05,0.1454170090953894,0.11041383334809492
65,1139,FEIJO,AC,-1.0244119108129574e-05,9.769399883229886e-06,0.15253076042110977,0.0700803737573673
66,1392,RIO BRANCO,AC,-0.0006440531716708452,0.0004717878285529722,-1.2755066955632781,6.593443786642982
67,1457,SENA MADUREIRA,AC,-4.6229666298705385e-05,1.7153731307288032e-05,0.07145159461485759,0.17434175047131556
68,1473,TARAUACA,AC,-3.712907600759666e-05,3.1021667966432275e-05,0.09195616733234047,0.3701469067178922
69,1490,XAPURI,AC,-2.3514716968280554e-05,2.123149173696904e-05,0.12263072865132581,0.2319167551525864
70,1511,PLACIDO DE CASTRO,AC,-2.3142225311112774e-05,2.2187904023805243e-05,0.12346999094385144,0.24542059944196928
71,1538,SENADOR GUIOMARD,AC,-2.709927186625011e-05,1.4732260021971228e-05,0.11455435511794793,0.1401523411149194
72,1554,MANOEL URBANO,AC,-9.263370895622675e-06,6.633784087107971e-06,0.15474048774621926,0.025807764501970542
73,1570,ASSIS BRASIL,AC,-6.182706013710306e-06,5.776838619693669e-06,0.1616815448720502,0.013708319193990084
74,2003,APUI,AM,-1.6256341073999168e-05,-1.0512757295707946e-05,0.13898460148532474,-0.21628890042163743
75,2011,NOVO AIRAO,AM,-3.7881010699507095e-05,-1.2953166340703265e-05,0.09026198057347284,-0.2507456971395389
76,2020,GUAJARA,AM,-3.46302401575917e-05,-5.772809177258866e-07,0.09758630337368482,-0.07600721667943638
77,2038,ANORI,AM,-3.703034065907275e-05,-6.3286407128738646e-06,0.09217862830122646,-0.15721222438883276
78,2046,CAREIRO DA VARZEA,AM,-6.175177319685702e-05,-9.569741770710557e-06,0.036478679733429914,-0.20297420864351276
79,2054,ATALAIA DO NORTE,AM,-3.064792067172322e-05,-2.8462481645384328e-06,0.10655888173071919,-0.10804338018379944
