year,cod_microregion,IS_mt,XD_mt,cod_mesoregion,income2,income3,income_percapita,ivAutor_IS_mt,ivAutor_XD_mt,ivIS,ivXD,munic_size,sizeagric,sizeinformal,sizemanuf,sizemine,sizenontrade,sizeprim,sizerural,state,workforce
2000,26018,.48671988,.13177609,2691,7909.470430879446,703430.3627607352,88.935204,23.745756,15.883266,.10700437,.029099174,.0012307832347865,.0448110004873204,.2140715402665069,.083634964760497,.0011331773904639,.3011707562419983,.0459441778777843,.1627848107551794,26,117404.2946110964
2000,26901,.26439336,.081176288,2691,38739.02226537676,7624703.903700481,196.82231,13.76234,6.4606023,.050454639,.014453822,.0212853425255034,.0198840622081663,.2562204331086701,.0551979002228743,.0003035525959543,.4127841253896993,.0201876148041207,.0481987285230225,26,2030406.780114889
2000,27001,.075069971,.019236565,2701,1025.014655521503,32816.71552779624,32.01585,2.8463552,3.5665791,.005838363,.0030364264,.0004213369037264,.4348221036554282,.5407708463304631,.0100089919080285,.0003171612072679,.148892434178458,.4351392648626961,.7387536333654795,27,40191.28679811954
2000,27002,.14955293,.010538932,2701,5209.316967520863,375985.568055274,72.175598,5.1866574,1.642669,.0073535554,.0027954227,.000353551403952,.1638486596344706,.3892714461708682,.0424909637952011,.0008690130159907,.2986404573264894,.1647176726504612,.4217978201165825,27,33725.23448204994
2000,27003,.071852729,.033816226,2701,1869.83498400556,80854.63511428701,43.241589,2.981391,3.7219596,.0036091842,.0034499033,.0007787446700311,.3968515385863023,.5479240087361604,.0161332615402364,.0023985729418666,.1866389454429282,.3992501115281688,.5511796277243524,27,74284.37931478024
2000,27004,.05617404,.008409082,2701,3814.003374912441,235543.7632895292,61.757618,2.7375085,1.9261541,.0039464217,.0042481036,.0004330465313962,.2841675438183858,.478234123179339,.0261215940510606,.0016942382900612,.2406056918787636,.285861782108447,.4838844928873618,27,41308.26705741882
2000,27007,.07742817,.008409082,2702,759.1409793687635,20916.24179592984,27.552513,2.9173713,1.642669,.0041662818,.0022488479,.0001704892757218,.4101284169011798,.5264777966193376,.0210501543706162,0,.1254188590634594,.4101284169011798,.6688774981418015,27,16262.95564413071
2000,27008,.087069273,.13707395,2703,3817.230180250714,235842.7462221645,61.783737,4.0475812,4.2364168,.02514239,.010738307,.0007214394994732,.2147811193082511,.3331518140788629,.0322044600833433,.0017931217386128,.2267366221591895,.2165742410468639,.3731386789415634,27,68818.04459655285
2000,27009,.10631154,.32593682,2703,2700.935744107759,140369.0557671242,51.970528,4.5358663,6.5457811,.03646601,.019040044,.0014232735715047,.2038035731008411,.2679336561069176,.047208371159204,.0023689429578145,.1900870996364253,.2061725160586556,.3630039456215993,27,135765.9293515682
2000,27010,.16335133,.054274548,2703,2461.808513372729,122146.6059389803,49.616615,7.1570282,6.8582072,.052214075,.017317489,.0002953436395823,.2317721276683759,.3211952437648913,.0326074342037927,0,.1816623002959137,.2317721276683759,.5074472276933423,27,28172.8014267683
2000,27011,.19358823,.16831623,2703,33617.78428030107,6163872.249647781,183.35153,8.3007383,8.1291046,.020137241,.016157841,.0057912907295754,.0254212792874702,.2730949479882418,.0468616677417614,.0009415727040872,.4175110731603925,.0263628519915575,.0277244538907271,27,552430.6667302847
2000,27012,.10979487,.62139505,2703,4840.629242232302,336784.9920645114,69.574631,5.0430703,8.7560558,.02685196,.029637905,.0013062035487551,.1814812420434175,.2701012061438914,.0731711069534224,.0014642816278181,.1978268921235696,.1829455236712357,.4342726168775277,27,124598.6311202049
2000,27013,.10868919,.088993408,2703,4543.027604648902,306209.0792284362,67.401985,4.9240537,4.022356,.027453713,.010243351,.0005962123349355,.1982511758986355,.353558460449632,.0282867394592127,.0001577701586296,.2453815973506265,.1984089460572651,.4227524544447759,27,56872.63739311695
