year,cod_microregion,IS_mt,XD_mt,ivAutor_IS_mt,ivAutor_XD_mt,ivIS,ivXD,state,idcluster,workforce,sizerural,sizeinformal,sizeprim,sizeagric,sizemine,sizemanuf,sizenontrade,tot_work_main,munic_size,_merge
2000,31053,1.6015148,.033520974,92.746147,33.341583,.45242235,.022339247,31,3110,73014.46080029011,.3103331302632294,.375547864232022,.2525557375566409,.3987081730515951,.0008930884778489,.1575160124840363,.4343763213524017,46146.55351471901,.0007654317463229,matched (3)
2000,31054,.23663782,.27797627,13.242174,6.9146757,.049827758,.11567512,31,3110,111772.5066845417,.2127284706615711,.3473631353052998,.1430046851518943,.2306354312662496,.0020027493476633,.1168204994153036,.6320899065759014,68707.51862347126,.0011717435703106,matched (3)
2000,31055,.1088086,.54640162,6.230062,6.2802224,.021039866,.31693253,31,3110,41512.67067611217,.2640561800267964,.3899186094562598,.1887112506029588,.3272791246260962,.013194742075068,.0974856619826045,.5394937791285753,23008.83787369728,.0004351893537508,matched (3)
2000,31056,1.1155868,.24606146,57.078888,33.47683,.25127158,.14264052,31,3110,102893.622618556,.291811048520749,.3040453636381514,.1308974510531451,.2280251950402087,.0022404852900829,.1800158368034394,.5683700807065084,58491.18683719635,.0010786636562561,matched (3)
2000,31057,.15863821,.20522483,8.4156418,7.6983104,.019130662,.11823683,31,3111,77870.10802817345,.1443013125966273,.3000031644537348,.1672995209298489,.2659304121764726,.0188386277557317,.0936993599079763,.6156016052748603,45748.06225764751,.0008163349029911,matched (3)
2000,31058,.27311748,3.7891049,13.149624,27.165224,.024189342,2.1279109,31,3111,101438.6476874352,.1860468594084662,.3520785581393445,.1151339582839475,.1965327202194934,.0114066741038743,.1459970719786117,.6396654028038857,56165.56241893768,.0010634107325177,matched (3)
2000,31059,.35792774,.61193603,12.214943,14.622139,.05038834,.3171275,31,3111,121208.0093295574,.2131586948311687,.2859945358931837,.10734659623265,.2059371119821628,.0085401033292423,.1195088755019992,.6525398796409678,60665.03250133991,.0012706586781926,matched (3)
2000,31060,.1355145,.21526085,7.0665164,5.4187875,.029169858,.068065003,31,3112,103711.3631285429,.3401061659570057,.3628514676252423,.2119202956839601,.3775395464495271,.0036091199064447,.0891158260094913,.5257612691499954,57663.96338236332,.0010872362669381,matched (3)
2000,31061,.089935221,.0084535889,4.9912977,2.3933296,.018767118,.0045198747,31,3112,135344.0074520111,.4174764125916641,.5053322364660573,.3585222170403908,.570132289950486,.001045945383908,.0522698810639332,.3731871592150504,84953.92613554001,.0014188504419924,matched (3)
2000,31062,.054931127,.033681691,3.2811818,2.1558514,.0081649087,.0052166791,31,3112,118100.7759084702,.4164214700942589,.4276894793746011,.2510478830736709,.4286480000322028,.0023551341061066,.0547896463117961,.5067468964494931,68790.56654763222,.0012380846500115,matched (3)
2000,31063,.12750588,.057402056,8.0760212,3.7814176,.015834589,.0081837652,31,3112,146699.8452311754,.2870337541195088,.4301143650110916,.2263252027007773,.3672286597431054,.0018680017567096,.1028647115477352,.5217173606350527,89954.40943086147,.0015378969794453,matched (3)
2000,31064,.19678943,.060072623,16.322208,4.6418018,.027447717,.01375275,31,3112,137161.8797684908,.2132680311507718,.3429659952870757,.1157503022670589,.194548102031131,.0031155930765024,.2448418604598179,.5507535996619495,80320.91595816612,.0014379077241601,matched (3)
2000,31065,.37574714,.30912909,18.102592,12.961671,.049481224,.10179241,31,3112,394613.3619496822,.0721333368203829,.2688856789028769,.0465213574585353,.0773677669229763,.0034430764911907,.1646240570149743,.7432601654773139,227171.8558249474,.0041368462007225,matched (3)
2000,31066,.32707724,.63918096,14.697808,10.28564,.051360827,.30878434,31,3112,119217.231764555,.1230039201183116,.3092839121881389,.0798307019548929,.1317981281542704,.0072554584051846,.156304567927281,.6927432231260634,68442.64525902271,.0012497887802105,matched (3)
2000,31901,.22132032,.23688816,8.7346048,10.000458,.033167835,.093953773,31,3102,530188.7013713121,.3225395132923158,.3859411419668973,.185934422096232,.3540023698552869,.0022516013218605,.0902171085653456,.5457392354431185,276713.6306318045,.0055581217627739,matched (3)
2000,32001,.048759837,.056433171,3.0381799,2.601191,.0081539052,.019942077,32,3291,47256.00249409676,.4665645306370538,.4779800454606514,.3223259500978734,.5233747140630186,.0312316917043268,.0457017631397102,.3959104809683591,27464.22641956806,.0004953983651571,matched (3)
2000,32003,.15009809,.11052501,10.853453,3.3320251,.018776324,.050033387,32,3291,106854.6852174997,.2915766503528658,.422133304874893,.2405647399837337,.3479870249798067,.0083162585319532,.144714230051727,.4927127446083177,72144.91349065304,.0011201886230801,matched (3)
2000,32004,.060679074,.014697431,3.518203,1.9591647,.0098170722,.0050423639,32,3291,27548.45343983173,.3118444773561206,.3943156361137631,.2402308620773347,.4399669462894816,.0031451386398633,.0554048322341792,.4981084846698272,14935.24763560295,.0002887984187491,matched (3)
2000,32005,.2881856,.77759987,14.158659,31.305035,.082883395,.059445769,32,3291,85855.12348723412,.2414642463788826,.3756342740735574,.2147432251951556,.3502940402949793,.0060980805697615,.1028728714993414,.5354511180663901,51731.80055844784,.0009000441334676,matched (3)
