year,cod_microregion,IS_mt,XD_mt,idcluster,income2,income3,income_percapita,ivAutor_IS_mt,ivAutor_XD_mt,ivIS,ivXD,munic_size,region,sizeagric,sizeinformal,sizemanuf,sizemine,sizenontrade,sizeprim,sizerural,state,wls_b_avghourwage_s0,wls_b_avghourwage_s1,wls_b_avghourwage_s3,wls_b_avghourwage_s4,wls_b_formal_s0,wls_b_migrated_s0,wls_b_occup_skill_s0,wls_b_outmigrated_s0,wls_b_wagehrskill,wls_b_wagehrunskill,wls_b_work_main_s0,wls_b_work_main_s4,wls_se_avghourwage_s0,wls_se_avghourwage_s1,wls_se_avghourwage_s3,wls_se_avghourwage_s4,wls_se_formal_s0,wls_se_migrated_s0,wls_se_occup_skill_s0,wls_se_outmigrated_s0,wls_se_wagehrskill,wls_se_wagehrunskill,wls_se_work_main_s0,wls_se_work_main_s4,wls_wgt,workforce,dstate2,dstate3,dstate4,dstate5,dstate6,dstate7,dstate8,dstate9,dstate10,dstate11,dstate12,dstate13,dstate14,dstate15,dstate16,dstate17,dstate18,dstate19,dstate20,dstate21,dstate22,dstate23,dstate24,dstate25,dstate26,dstate27,Dwls_b_avghourwage_s0
1998,26002,.055532727,.0098676188,2601,4640.494847602735,316115.974005764,68.121178,2.6275833,1.9996933,.0041665682,.0022488479,.0007876832513134,2,.2352497708633942,.4198694695039488,.0195575586007219,.0009263562774248,.2228495304192671,.236176127140819,.4545398389857095,26,-.6776489,-.68439871,-.35938847,-.29390392,-.34242943,,-.038219482,,-.31449538,-.66181368,-.075607069,-.13967176,.011851629,.013427379,.02466586,.026902188,.0057885712,,.0019114418,,.08011885,.011897941,.0032706768,.0047218567,.0007755913,75137.02972519398,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1999,26002,.055532727,.0098676188,2601,4640.494847602735,316115.974005764,68.121178,2.6275833,1.9996933,.0041665682,.0022488479,.0007876832513134,2,.2352497708633942,.4198694695039488,.0195575586007219,.0009263562774248,.2228495304192671,.236176127140819,.4545398389857095,26,-.64970577,-.63569856,-.50894445,-.45767766,-.31655121,.014947713,-.040446047,.062026717,-.42788866,-.62869006,-.067768335,-.16600318,.023751963,.029849835,.18753086,.03566644,.0051079053,.0045659794,.00349973,.0051676966,.11647642,.024155771,.0051105563,.0084199319,.00076539104,75137.02972519398,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2000,26002,.055532727,.0098676188,2601,4640.494847602735,316115.974005764,68.121178,2.6275833,1.9996933,.0041665682,.0022488479,.0007876832513134,2,.2352497708633942,.4198694695039488,.0195575586007219,.0009263562774248,.2228495304192671,.236176127140819,.4545398389857095,26,-.50361401,-.54229778,-.50867695,-.41067058,-.24673559,-.015999403,-.015579555,.016418196,-.36299366,-.52136356,-.084641665,-.13431531,.014037828,.020307502,.061874174,.019182747,.0052096434,.0024023834,.003902622,.0034185604,.049470171,.014256415,.0048871934,.007118878,.00075399707,75137.02972519398,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0645661652088165
2001,26002,.055532727,.0098676188,2601,4640.494847602735,316115.974005764,68.121178,2.6275833,1.9996933,.0041665682,.0022488479,.0007876832513134,2,.2352497708633942,.4198694695039488,.0195575586007219,.0009263562774248,.2228495304192671,.236176127140819,.4545398389857095,26,-.43904784,-.82401609,-.10997816,-.31399366,-.19674942,-.016644321,-.0010363866,.038366403,-.20615491,-.49631426,-.18140265,.010585642,.014309539,.02795179,.074383639,.016243549,.0069618858,.0028528501,.0045777569,.0040324135,.037698381,.015677573,.0045686569,.0068407492,.00072393962,75137.02972519398,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1998,26003,.057019897,.016582334,2601,4153.003600733588,267635.3412521153,64.443802,2.9541044,1.9824435,.007020758,.0028821628,.0015726045681984,2,.2846230549080516,.4951313950977885,.0283049421486256,.0009635993498571,.2475124911941403,.2855866542579087,.425062071733958,26,-.60717589,-.69935864,-.34459609,-.3416315,-.29155767,,-.037751734,,-.38105461,-.57749963,-.20517996,-.08168444,.0096113542,.010985838,.019691227,.018762743,.0046482873,,.0018085295,,.059771392,.0096157053,.0025359616,.0043447828,.0012325768,150010.5987904072,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1999,26003,.057019897,.016582334,2601,4153.003600733588,267635.3412521153,64.443802,2.9541044,1.9824435,.007020758,.0028821628,.0015726045681984,2,.2846230549080516,.4951313950977885,.0283049421486256,.0009635993498571,.2475124911941403,.2855866542579087,.425062071733958,26,-.5828054,-.5032022,-.56580466,-.51797432,-.30482128,.0024924672,-.042114131,.064051419,-.32322451,-.56462884,-.046828743,-.12971532,.019739542,.032921139,.062417939,.020747202,.0034654634,.0029682703,.0024629333,.0035646048,.081893295,.020261578,.0035155504,.0058176126,.001703545,150010.5987904072,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2000,26003,.057019897,.016582334,2601,4153.003600733588,267635.3412521153,64.443802,2.9541044,1.9824435,.007020758,.0028821628,.0015726045681984,2,.2846230549080516,.4951313950977885,.0283049421486256,.0009635993498571,.2475124911941403,.2855866542579087,.425062071733958,26,-.54856354,-.75883681,-.52042145,-.42017773,-.24708241,-.017432891,-.022329984,.013397301,-.47609073,-.55559999,.0025710801,-.16376252,.010760379,.018106038,.032611225,.013470162,.0033378927,.0016263607,.0024448545,.0023922974,.033587944,.011175216,.0034201746,.0046466845,.0019322059,150010.5987904072,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.0208901762962341
2001,26003,.057019897,.016582334,2601,4153.003600733588,267635.3412521153,64.443802,2.9541044,1.9824435,.007020758,.0028821628,.0015726045681984,2,.2846230549080516,.4951313950977885,.0283049421486256,.0009635993498571,.2475124911941403,.2855866542579087,.425062071733958,26,-.52767336,-.8113212,-.49032965,-.41820827,-.23515879,-.0034778332,-.0066413227,.030028479,-.37098354,-.55447608,-.12959611,.0094910823,.0094740475,.020217979,.034712307,.010758154,.0044112606,.0021377855,.0031284727,.0030834579,.025633225,.010121557,.0033041241,.0046317466,.0016802235,150010.5987904072,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1998,26004,.074367248,.022671305,2601,5097.655168741534,363961.6970602594,71.397865,3.1352038,2.3970041,.0063903262,.0060074483,.0009620572452548,2,.2085368607774387,.4126823155055298,.027038098419984,.0005397305214645,.2484639468070634,.2090765912989032,.3598536342998354,26,-.39702788,-.35897675,-.3452391,-.31647861,-.24403821,,-.030481003,,-.40057796,-.36228183,-.12468056,-.035962563,.0092071742,.011180804,.01912923,.017939398,.0058678556,,.0024908613,,.048700918,.0093953256,.0034082567,.0054018139,.00084152981,91770.5482673645,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1999,26004,.074367248,.022671305,2601,5097.655168741534,363961.6970602594,71.397865,3.1352038,2.3970041,.0063903262,.0060074483,.0009620572452548,2,.2085368607774387,.4126823155055298,.027038098419984,.0005397305214645,.2484639468070634,.2090765912989032,.3598536342998354,26,-.4089852,-.36775747,-.42042312,-.34171087,-.27132332,.030725012,-.033517528,.088272363,-.26678362,-.39294475,-.058051709,-.07833302,.022223981,.036931626,.059199966,.027374076,.0056178826,.0044063632,.0037263872,.0047783344,.073526129,.022695217,.0050155735,.0081504853,.0008556603,91770.5482673645,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
