STATE,CD_MUN,NM_MUN,VOTES_PDT_12,VOTES_INCUMBENT,VOTES_MDB_15,VOTES_PSTU_16,VOTES_CHALLENGER,VOTES_REDE_18,VOTES_PODE_19,VOTES_DC_27,VOTES_NOVO_30,VOTES_PSDB_45,VOTES_PSOL_50,VOTES_PATRI_51,VOTES_PPL_54,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
RS,85596,CACHOEIRA DO SUL,4629,9798,878,20,27015,551,290,14,861,3353,258,214,29,17548,68729,51181,2141,1130
RS,85600,VISTA ALEGRE,122,993,42,0,749,6,14,1,23,94,3,5,0,267,2427,2160,53,55
RS,85618,CACHOEIRINHA,9807,11480,1585,59,44119,875,517,25,2621,3380,595,606,42,20700,102549,81849,3094,3044
RS,85626,IVORÁ,190,391,82,1,618,7,8,1,23,139,2,2,0,276,1860,1584,68,52
RS,85634,CACIQUE DOBLE,116,1064,114,1,1656,5,30,0,21,104,4,3,1,554,3868,3314,128,67
RS,85642,VILA MARIA,183,625,66,1,1725,5,20,0,62,113,7,1,2,378,3400,3022,115,97
RS,85650,CAIBATÉ,187,1396,41,1,1320,3,28,0,62,119,11,7,3,532,3922,3390,115,97
RS,85669,TAQUARUÇU DO SUL,152,782,28,1,879,5,17,0,34,141,14,2,0,341,2563,2222,83,84
RS,85677,CAIÇARA,383,1096,63,2,1520,1,27,3,41,184,6,5,0,524,4031,3507,98,78
RS,85685,IMBÉ,1391,2420,271,6,7340,68,65,1,380,809,49,73,5,4559,18190,13631,346,407
RS,85693,CAMAQUÃ,4161,8096,864,9,20363,179,176,9,638,2816,127,181,5,10757,51183,40426,1617,1185
RS,85707,SEDE NOVA,71,682,75,2,855,4,7,1,7,111,7,10,0,280,2223,1943,54,57
RS,85715,CAMBARÁ DO SUL,174,747,95,1,2310,10,25,0,52,434,6,15,2,703,4882,4179,166,142
RS,85723,TUPANDI,136,349,82,1,2375,10,18,1,142,182,9,7,0,393,3904,3511,81,118
RS,85731,CAMPINA DAS MISSÕES,388,1470,51,1,2069,5,19,0,69,167,12,2,0,605,5077,4472,78,141
RS,85740,RIOZINHO,161,846,87,0,1609,10,14,1,125,151,11,8,2,502,3797,3295,114,156
RS,85758,CAMPINAS DO SUL,212,652,54,4,2412,5,110,0,89,217,6,28,1,541,4512,3971,82,99
RS,85766,RELVADO,106,212,72,0,1006,5,11,1,36,96,1,0,0,404,2014,1610,31,33
RS,85774,CAMPO BOM,3383,6145,855,12,26292,231,245,9,1728,1674,155,248,11,8779,52236,43457,1127,1342
RS,85782,IMIGRANTE,166,309,73,4,1120,5,18,1,120,213,8,9,2,442,2663,2221,79,94
RS,85790,CAMPO NOVO,283,1311,51,1,1340,9,12,0,16,116,8,32,0,763,4156,3393,107,107
RS,85804,CIDREIRA,827,1505,203,5,3500,90,50,0,138,506,50,41,5,1821,9239,7418,241,257
RS,85812,CANDELÁRIA,1160,4584,373,10,9096,81,106,1,234,1344,59,53,5,2112,20946,18834,1040,688
RS,85820,MONTAURI,32,225,25,0,785,4,3,2,53,34,2,1,1,217,1487,1270,58,45
RS,85839,CÂNDIDO GODÓI,293,1028,134,1,2871,11,32,0,35,292,17,2,5,450,5386,4936,119,96
RS,85847,VISTA GAÚCHA,159,724,98,1,826,6,32,1,9,88,5,2,1,424,2517,2093,36,105
RS,85855,CANELA,2006,2538,613,4,14323,140,110,1,1107,1785,59,93,11,6396,31244,24848,1081,977
RS,85863,VISTA ALEGRE DO PRATA,57,136,69,0,827,1,17,0,30,68,2,3,0,218,1504,1286,51,25
RS,85871,CANGUÇU,2608,9310,527,7,14769,126,220,6,279,3892,189,133,10,8895,44654,35759,1996,1687
RS,85880,CASEIROS,166,583,76,0,1080,2,10,1,55,141,5,3,1,397,2699,2302,103,76
RS,85898,CANOAS,27683,34487,3595,101,102663,2281,1338,51,7282,7733,1523,1656,102,47048,252320,205272,7350,7427
RS,85901,ITACURUBI,303,789,12,0,713,0,6,0,7,83,4,11,2,528,2564,2036,64,42
RS,85910,CARAZINHO,3578,7679,579,12,20024,189,234,3,1123,1970,170,169,6,9375,47232,37857,1119,1002
RS,85928,ENTRE RIOS DO SUL,122,778,30,0,852,2,10,0,23,138,4,15,2,550,2668,2118,67,75
RS,85936,CARLOS BARBOSA,1484,2046,426,4,11678,79,144,5,1009,772,57,35,6,1846,20690,18844,448,651
RS,85944,CERRO GRANDE DO SUL,524,1765,155,2,2280,14,14,4,68,518,14,18,1,932,6725,5793,293,123
RS,85952,CASCA,411,999,161,1,3757,13,34,0,302,212,22,8,1,1254,7616,6362,257,184
RS,85960,CAMARGO,112,448,20,0,1156,2,20,1,44,91,10,8,2,308,2359,2051,58,79
RS,85979,CATUÍPE,1109,1358,65,1,2932,13,42,2,56,316,16,16,2,837,7150,6313,193,192
RS,85987,PARAÍSO DO SUL,372,1305,71,6,2290,13,23,1,55,279,14,17,1,473,5173,4700,161,92
RS,85995,CAXIAS DO SUL,23841,34798,5325,98,158222,2241,2483,65,12867,12515,1836,1401,112,45365,323134,277769,8629,13336
RS,86010,CERRO LARGO,852,2633,134,2,3670,18,68,2,181,262,21,18,3,1141,9507,8366,175,327
RS,86029,FAXINALZINHO,115,631,47,1,874,2,12,1,13,56,2,36,0,397,2283,1886,44,52
RS,86037,CHAPADA,448,1617,110,1,3354,10,69,2,131,383,17,13,4,844,7505,6661,255,247
RS,86045,AMARAL FERRADOR,456,1253,60,1,1419,3,19,7,15,246,4,9,0,706,4546,3840,213,135
RS,86053,CHIAPETTA,203,874,61,0,1277,8,26,0,20,170,5,6,0,659,3426,2767,74,43
RS,86061,VILA FLORES,131,307,53,0,1912,12,19,0,87,152,13,7,0,332,3186,2854,75,86
RS,86070,CIRÍACO,161,818,87,1,1496,5,37,2,90,148,16,15,0,470,3622,3152,154,122
RS,86088,CERRO BRANCO,343,803,48,4,1446,16,24,3,34,186,6,6,0,526,3676,3150,134,97
RS,86096,COLORADO,145,467,42,0,1586,6,23,0,45,141,5,9,0,423,3046,2623,78,76
RS,86100,ANDRÉ DA ROCHA,39,179,43,0,557,8,12,0,14,129,2,0,0,217,1249,1032,33,16
RS,86118,CONDOR,433,1237,47,0,2296,8,31,1,53,227,12,15,1,890,5549,4659,123,175
RS,86126,POÇO DAS ANTAS,98,264,42,0,944,4,6,0,79,133,5,1,0,291,1971,1680,43,61
RS,86134,CONSTANTINA,383,2317,141,1,2862,6,56,1,146,305,24,23,5,1265,7953,6688,238,180
RS,86142,TRÊS PALMEIRAS,312,1458,39,0,1081,2,28,0,83,73,10,6,0,436,3690,3254,85,77
RS,86150,CORONEL BICACO,522,1730,43,0,1711,9,20,1,27,206,7,10,1,1319,5888,4569,130,152
