CD_MUNICIPIO,NM_MUNICIPIO,"('QT_VOTOS', 13)","('QT_VOTOS', 16)","('QT_VOTOS', 23)","('QT_VOTOS', 29)","('QT_VOTOS', 40)","('QT_VOTOS', 45)","('QT_VOTOS', 95)","('QT_VOTOS', 96)","('QT_VOTOS', 97)",QTD_ABSTENCOES,QTD_APTOS_TOT,QTD_COMPARECIMENTO,QTD_VOTOS_BRANCOS,QTD_VOTOS_NULOS
81175.0,GASPAR,11850,204,2293,12,3609,7966,764,1300,0,3258,31256,27998,764,1300
81183.0,SAO PEDRO DE ALCANTARA,1287,21,207,1,214,975,106,234,0,324,3369,3045,106,234
81191.0,GRAO PARA,1992,35,429,9,368,1005,137,381,0,429,4785,4356,137,381
81205.0,SANTIAGO DO SUL,688,4,22,0,72,173,33,70,0,329,1391,1062,33,70
81213.0,GRAVATAL,2785,32,534,1,449,1445,161,419,0,511,6337,5826,161,419
81221.0,BELA VISTA DO TOLDO,1591,17,147,1,337,1042,96,296,0,557,4084,3527,96,296
81230.0,GUABIRUBA,4989,40,580,5,478,1603,289,457,0,686,9127,8441,289,457
81248.0,CAPAO ALTO,751,11,370,0,296,630,51,180,0,494,2783,2289,51,180
81256.0,GUARACIABA,3930,33,264,8,726,1309,183,347,0,790,7590,6800,183,347
81264.0,PAINEL,697,4,210,2,211,591,40,177,0,398,2330,1932,40,177
