STATE,CD_MUN,NM_MUN,VOTES_INCUMBENT,VOTES_CHALLENGER,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
MG,41785,CABECEIRA GRANDE,1870,1771,1363,5138,3775,61,73
MG,41793,BRUMADINHO,8369,11601,4502,25702,21200,330,900
MG,41807,CAMPO AZUL,1851,563,1107,3604,2497,19,64
MG,41815,BUENO BRANDÃO,1941,4787,1664,8692,7028,111,189
MG,41823,CANTAGALO,1653,886,1132,3800,2668,41,88
MG,41831,BUENÓPOLIS,2807,2019,3298,8378,5080,71,183
MG,41840,CATAS ALTAS,1685,1796,773,4405,3632,48,103
MG,41858,BURITIS,6781,5683,4406,17277,12871,124,283
MG,41866,CATUTI,2265,537,1238,4179,2941,26,113
MG,41874,BURITIZEIRO,9509,3438,5946,19576,13630,199,484
MG,41882,CHAPADA GAÚCHA,4002,1370,1931,7499,5568,40,156
MG,41890,CABO VERDE,4363,3011,2197,9786,7589,70,145
MG,41904,CÔNEGO MARINHO,3397,601,1426,5577,4151,40,113
MG,41912,CACHOEIRA DA PRATA,1089,1603,567,3380,2813,30,91
MG,41920,CONFINS,1504,3007,782,5475,4693,66,116
MG,41939,CACHOEIRA DE MINAS,2344,4848,1464,8964,7500,89,219
MG,41947,CÓRREGO FUNDO,1869,2062,727,4928,4201,94,176
MG,41955,CACHOEIRA DOURADA,1063,446,503,2053,1550,11,30
MG,41963,CRISÓLITA,2030,1001,1293,4464,3171,13,127
MG,41971,CAETANÓPOLIS,2605,3418,1545,7950,6405,98,284
MG,41980,CUPARAQUE,1357,1525,1046,3992,2946,16,48
MG,41998,CAETÉ,10807,14172,6642,32936,26294,380,935
MG,42005,CURRAL DE DENTRO,2282,1692,1647,5806,4159,33,152
MG,42013,CAIANA,2131,746,659,3683,3024,55,92
MG,42021,DELTA,2578,1465,1102,5307,4205,62,100
MG,42030,CAJURI,2044,917,707,3827,3120,45,114
MG,42048,DOM BOSCO,1312,1031,805,3201,2396,8,45
MG,42056,CALDAS,3776,4609,1807,10537,8730,93,252
