STATE,CD_MUN,NM_MUN,VOTES_PDT_12,VOTES_INCUMBENT,VOTES_PSL_17,VOTES_DC_27,VOTES_PCO_29,VOTES_PRP_44,VOTES_CHALLENGER,VOTES_PSOL_50,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
PE,23752,CAPOEIRAS,104,7397,8,1,1,11,1760,135,3812,14825,11013,595,1002
PE,23779,CARNAÍBA,81,6624,4,4,0,43,1967,38,1973,12451,10478,233,1484
PE,23795,CARPINA,443,19712,32,11,3,40,13035,884,7697,46238,38541,1579,2805
PE,23817,CARUARU,2311,86905,91,41,12,112,40507,3025,24868,174680,149812,7448,9372
PE,23833,CATENDE,180,12754,7,4,1,30,2449,506,6213,24184,17971,499,1542
PE,23850,CEDRO,76,4130,5,1,1,8,801,92,1877,7814,5937,138,686
PE,23876,CHÃ DE ALEGRIA,70,5273,5,4,0,8,1031,76,932,8506,7574,273,834
PE,23892,CHÃ GRANDE,164,5649,16,2,1,17,3636,139,2141,13684,11543,711,1209
PE,23914,CONDADO,142,8880,2,3,1,11,1942,149,3897,16705,12808,500,1179
PE,23930,CORRENTES,87,6692,3,0,4,12,909,85,3213,12273,9060,260,1012
PE,23957,CORTÊS,130,5811,9,8,2,9,1305,221,1297,9865,8568,222,853
PE,23973,CUMARU,89,7218,13,1,1,37,1706,102,3453,14361,10908,503,1239
PE,23990,CUPIRA,196,9112,8,5,1,15,1345,246,5082,17806,12724,456,1341
PE,24015,CUSTÓDIA,252,13057,6,2,1,37,1724,110,6634,24493,17859,581,2090
PE,24031,ESCADA,332,24009,26,6,3,24,6730,1021,8779,44363,35584,945,2491
PE,24058,EXU,319,11826,12,5,3,45,3068,239,7058,25596,18538,421,2603
PE,24074,FEIRA NOVA,179,7312,6,3,0,22,2595,170,3528,15764,12236,683,1266
PE,24090,FERREIROS,75,4367,1,1,1,20,1363,150,2068,9253,7185,380,828
PE,24112,FLORES,123,8936,3,2,1,13,1116,75,5183,17472,12289,394,1627
PE,24139,FLORESTA,262,12409,9,6,4,22,1359,176,3752,19585,15833,238,1352
PE,24155,FREI MIGUELINHO,78,4774,4,6,1,16,2486,102,1925,10890,8965,430,1069
PE,24171,GAMELEIRA,139,7685,9,2,0,15,1766,181,3886,15077,11191,300,1094
PE,24198,GARANHUNS,838,48252,28,14,3,58,6253,1124,15223,77949,62726,2053,4106
PE,24210,GLÓRIA DO GOITÁ,209,9213,9,4,1,21,3361,120,4415,19879,15464,763,1764
PE,24236,GOIANA,449,32062,28,3,4,19,5367,909,8626,51100,42474,1539,2098
PE,24252,GRANITO,36,2715,0,0,0,5,376,43,760,4309,3549,68,306
PE,24279,GRAVATÁ,704,19333,42,18,21,46,13317,1004,9120,49991,40871,2341,4066
PE,24295,IATI,118,7269,6,2,1,9,842,102,3829,13829,10000,251,1401
PE,24317,IBIMIRIM,165,10218,5,1,0,12,899,97,4978,18177,13199,316,1486
PE,24333,IBIRAJUBA,52,2641,2,1,0,14,905,58,880,5446,4566,228,665
PE,24350,IGARASSU,663,33270,42,12,5,41,9242,1540,8824,58250,49426,1969,2647
PE,24376,IGUARACI,81,4155,2,3,0,20,1288,46,2515,9279,6764,220,949
PE,24392,INAJÁ,113,5469,2,2,1,6,417,175,1736,8884,7148,156,808
PE,24414,INGAZEIRA,26,1800,1,0,0,6,345,22,378,3057,2679,137,342
PE,24430,IPOJUCA,377,26008,29,11,5,30,7408,842,8376,48334,39958,1841,3412
PE,24457,IPUBI,155,8633,5,2,3,16,1992,149,4143,16943,12800,254,1594
PE,24473,ITACURUBA,32,2168,0,1,1,3,215,59,335,3131,2796,42,276
PE,24490,ITAÍBA,208,7872,5,4,1,22,2807,133,4058,17097,13039,241,1747
PE,24511,ITAMARACÁ,192,7468,23,3,5,9,2227,375,2532,13649,11117,313,507
PE,24538,ITAPETIM,83,6480,3,1,2,26,727,46,3213,11797,8584,221,997
PE,24554,ITAQUITINGA,98,6892,1,2,1,9,936,119,2536,11589,9053,210,786
PE,24570,JABOATÃO DOS GUARARAPES,6123,196633,842,229,52,242,66711,18077,53466,372803,319337,13726,16754
