STATE,CD_MUN,NM_MUN,VOTES_INCUMBENT,VOTES_PSTU_16,VOTES_PCB_21,VOTES_DC_27,VOTES_PRTB_28,VOTES_PCO_29,VOTES_PV_43,VOTES_CHALLENGER,VOTES_PSOL_50,QT_ABST,QT_APT,QT_ATTEND,QT_BLANK,QT_NULL
AC,1511,PLÁCIDO DE CASTRO,2145,4,2,5,3,0,1104,6052,21,2770,12551,9781,91,354
AC,1538,SENADOR GUIOMARD,2653,2,0,9,3,2,1936,7461,33,3170,15880,12710,144,467
AC,1554,MANOEL URBANO,1260,1,1,21,0,0,309,1812,15,1371,5077,3706,43,244
AC,1570,ASSIS BRASIL,1315,0,0,0,0,0,158,1935,9,830,4499,3669,30,222
AL,27006,PARIPUEIRA,2310,1,5,4,7,0,750,2674,31,1356,7928,6572,256,534
AL,27014,ÁGUA BRANCA,7349,5,4,8,5,1,290,1252,63,4447,14675,10228,188,1063
AL,27022,PARICONHA,4186,3,2,0,4,1,141,601,27,2169,7856,5687,116,606
AL,27030,ANADIA,5278,5,5,1,3,2,423,2558,32,4121,13937,9816,398,1111
AL,27049,ESTRELA DE ALAGOAS,5207,4,4,0,5,0,262,1174,36,4368,12250,7882,275,915
AL,27057,ARAPIRACA,42408,29,50,54,94,13,8027,39372,725,23985,125965,101980,3356,7852
AL,27065,JEQUIÁ DA PRAIA,3016,1,3,2,10,0,515,1675,24,2144,8074,5930,160,524
AL,27073,ATALAIA,9512,14,11,10,35,4,939,9154,123,7060,29788,22728,719,2207
AL,27081,CAMPESTRE,2041,4,0,2,1,0,329,664,8,751,4287,3536,108,379
AL,27090,BARRA DE SANTO ANTÔNIO,2972,2,5,3,12,2,553,2353,23,759,7547,6788,312,551
AL,27111,BARRA DE SÃO MIGUEL,1772,1,3,1,9,0,467,1652,28,919,5219,4300,117,250
AL,27138,BATALHA,5430,4,4,3,6,0,516,1863,31,2400,11076,8676,162,657
AL,27154,BELÉM,2083,1,2,1,2,0,199,725,27,1256,4863,3607,132,435
AL,27170,BELO MONTE,2363,1,2,2,0,1,165,513,14,1169,4675,3506,59,386
AL,27197,BOCA DA MATA,8292,8,8,8,11,1,1046,3393,69,5049,19974,14925,732,1357
AL,27219,BRANQUINHA,2945,0,1,2,0,0,288,1040,22,950,6053,5103,185,620
AL,27235,CACIMBINHAS,3045,0,7,2,2,0,196,1581,40,1257,6823,5566,84,609
AL,27251,CAJUEIRO,5003,3,6,1,6,1,457,3643,38,3452,14012,10560,394,1008
AL,27278,CAMPO ALEGRE,8245,8,7,13,13,1,1698,3604,77,6474,22239,15765,548,1551
AL,27294,CAMPO GRANDE,3988,2,2,3,5,0,145,1012,21,1698,7579,5881,186,517
AL,27316,CANAPI,6936,6,8,2,26,1,253,703,19,3994,13218,9224,177,1093
AL,27332,CAPELA,3400,2,7,3,12,0,599,4376,39,3285,13116,9831,342,1051
AL,27359,CARNEIROS,2610,5,0,2,3,1,251,712,23,1541,5687,4146,86,453
AL,27375,CHÃ PRETA,2592,1,0,2,2,0,187,876,8,497,4861,4364,160,536
AL,27391,COITÉ DO NÓIA,3782,2,4,2,22,0,159,997,25,786,6593,5807,207,607
AL,27413,COLÔNIA LEOPOLDINA,4303,5,8,4,7,1,521,4133,55,4330,14758,10428,480,911
AL,27430,COQUEIRO SECO,1742,3,2,1,2,0,206,975,13,764,4184,3420,192,284
AL,27456,CORURIPE,9232,5,12,19,121,2,1792,12327,109,9411,36868,27457,1342,2496
AL,27472,DELMIRO GOUVEIA,18323,16,31,9,25,1,1304,3053,134,9550,35344,25794,735,2163
AL,27499,DOIS RIACHOS,4197,4,1,1,0,1,108,1194,19,2533,8846,6313,115,673
AL,27510,FEIRA GRANDE,7682,4,9,7,46,2,340,1742,45,3493,15273,11780,551,1352
AL,27537,FELIZ DESERTO,1184,0,2,1,7,0,78,818,5,749,3240,2491,116,280
AL,27553,FLEXEIRAS,2565,4,1,1,4,2,290,2356,20,1749,7782,6033,171,619
AL,27570,GIRAU DO PONCIANO,11679,13,8,4,24,3,518,2242,101,6966,23759,16793,484,1717
AL,27596,IBATEGUARA,3701,14,6,3,4,2,528,2254,28,2895,10679,7784,344,900
AL,27618,IGACI,8100,4,11,1,21,1,354,1950,46,3082,15562,12480,500,1492
AL,27634,IGREJA NOVA,7063,3,9,1,7,2,299,3171,48,4426,17109,12683,884,1196
AL,27650,INHAPI,6457,6,7,2,4,0,176,617,13,3972,12618,8646,208,1156
AL,27677,JACARÉ DOS HOMENS,2403,2,2,0,0,0,118,670,25,1145,4685,3540,53,267
AL,27693,JACUÍPE,2395,1,2,2,11,1,275,756,17,1430,5390,3960,150,350
AL,27715,JAPARATINGA,1564,1,1,0,8,0,444,1926,14,1335,5976,4641,274,409
AL,27731,JARAMATAIA,2006,2,3,6,2,0,140,716,17,378,3764,3386,102,392
AL,27758,JOAQUIM GOMES,4944,7,1,1,17,0,447,2944,51,4310,14401,10091,452,1227
AL,27774,JUNDIÁ,1265,2,0,2,0,0,148,1055,2,1079,3921,2842,121,247
AL,27790,JUNQUEIRO,7682,6,7,5,7,1,570,3597,65,5255,18791,13536,554,1042
AL,27812,LAGOA DA CANOA,5919,6,6,4,50,1,372,1869,87,3250,12916,9666,347,1005
AL,27839,LIMOEIRO DE ANADIA,8171,9,7,5,4,2,270,1914,44,4412,16617,12205,443,1336
AL,27855,MACEIÓ,132870,408,299,363,496,42,87300,179137,5360,89873,538516,448643,16122,26246
AL,27871,MAJOR ISIDORO,6240,4,5,6,19,0,378,2557,65,4232,14911,10679,333,1072
AL,27898,MARAGOGI,4950,3,4,5,28,0,1691,4478,54,4037,17432,13395,909,1273
AL,27910,MARAVILHA,2635,3,3,2,3,0,213,2026,26,2730,8421,5691,165,615
AL,27936,MARECHAL DEODORO,8026,3,10,6,34,1,2295,10892,139,6380,30889,24509,1121,1982
AL,27952,MARIBONDO,3690,5,5,3,3,0,479,2578,39,881,8844,7963,307,854
AL,27979,MAR VERMELHO,1453,2,0,0,3,0,194,714,11,564,3268,2704,87,240
AL,27995,MATA GRANDE,8635,3,7,7,4,0,318,1311,38,5340,17376,12036,379,1334
AL,28010,MATRIZ DE CAMARAGIBE,4038,3,6,8,3,1,1698,4945,66,4898,17159,12261,494,999
AL,28037,MESSIAS,3468,5,1,3,8,3,930,3276,40,2686,11697,9011,362,915
AL,28053,MINADOR DO NEGRÃO,1929,5,1,1,1,0,150,521,5,597,3591,2994,44,337
AL,28070,MONTEIRÓPOLIS,2499,3,4,0,1,0,157,867,37,1406,5410,4004,85,351
AL,28096,MURICI,6554,12,7,12,13,3,1039,4616,122,4269,18903,14634,601,1655
AL,28118,NOVO LINO,2508,1,3,1,9,0,509,2413,22,1698,8099,6401,377,558
AL,28134,OLHO D'ÁGUA DAS FLORES,4782,3,4,4,22,0,446,3910,41,3698,14092,10394,310,872
AL,28150,OLHO D'ÁGUA DO CASADO,3394,1,2,0,1,0,125,428,14,1091,5541,4450,76,409
AL,28177,OLHO D'ÁGUA GRANDE,1749,0,1,1,9,0,78,584,7,1267,4177,2910,136,345
AL,28193,OLIVENÇA,3513,2,3,1,7,0,170,1757,20,2547,8788,6241,124,644
AL,28215,OURO BRANCO,4418,3,2,2,3,1,278,818,33,2100,8338,6238,95,585
AL,28231,PALESTINA,1906,1,0,0,2,1,99,501,8,1042,3870,2828,60,250
AL,28258,PALMEIRA DOS ÍNDIOS,17680,13,22,12,51,2,2667,12958,272,12906,51373,38467,1280,3510
AL,28274,PÃO DE AÇÚCAR,8549,4,6,9,32,0,813,2232,85,4557,17743,13186,313,1143
AL,28290,PASSO DE CAMARAGIBE,4394,4,3,4,6,0,481,2082,36,2482,10685,8203,471,722
AL,28312,PAULO JACINTO,3132,1,0,1,4,2,188,1056,14,1044,6010,4966,136,432
AL,28339,PENEDO,14316,11,13,8,48,0,1892,10090,147,9871,39416,29545,1045,1975
AL,28355,PIAÇABUÇU,4997,5,3,3,17,0,412,2553,49,3414,12669,9255,358,858
AL,28371,PILAR,5352,8,5,10,24,1,1445,9833,98,6081,25577,19496,1022,1698
AL,28398,PINDOBA,1205,0,1,0,0,0,61,419,12,468,2417,1949,35,216
AL,28410,PIRANHAS,7373,10,4,1,4,0,496,1381,70,2683,13409,10726,232,1155
AL,28436,POÇO DAS TRINCHEIRAS,4330,0,4,0,2,0,177,1163,33,802,7341,6539,144,686
AL,28452,PORTO CALVO,4286,10,9,4,22,0,1341,6384,34,5470,20010,14540,925,1525
AL,28479,PORTO DE PEDRAS,1842,3,0,2,6,0,408,1820,28,1676,6474,4798,300,389
AL,28495,PORTO REAL DO COLÉGIO,4873,0,7,6,10,0,408,3614,54,3449,13946,10497,641,884
AL,28517,QUEBRANGULO,4010,1,2,3,10,1,208,1934,17,767,7855,7088,165,737
AL,28533,RIO LARGO,16236,12,9,28,47,3,4622,11052,240,3198,39428,36230,1598,2383
AL,28550,ROTEIRO,983,2,0,0,13,1,404,1229,11,1555,4752,3197,146,408
AL,28576,SANTA LUZIA DO NORTE,2102,1,4,0,3,0,331,1327,16,1200,5541,4341,169,388
AL,28592,SANTANA DO IPANEMA,13017,11,15,10,13,2,1035,6446,104,7390,30540,23150,469,2028
AL,28614,SANTANA DO MUNDAÚ,3258,2,5,3,1,1,200,1362,18,2364,8065,5701,237,614
AL,28630,SÃO BRÁS,1978,1,3,0,3,1,269,1126,32,1372,5422,4050,290,347
AL,28657,SÃO JOSÉ DA LAJE,7357,7,6,3,5,0,951,2805,34,2977,15822,12845,374,1303
AL,28673,SÃO JOSÉ DA TAPERA,7987,7,5,2,20,1,400,2998,72,6717,20013,13296,288,1516
AL,28690,SÃO LUÍS DO QUITUNDE,9076,5,10,3,8,1,1038,4332,72,5748,22661,16913,715,1653
AL,28711,SÃO MIGUEL DOS CAMPOS,7831,13,6,7,22,1,5655,12624,129,6909,36312,29403,958,2157
AL,28738,SÃO MIGUEL DOS MILAGRES,1502,1,2,0,3,0,420,1464,28,458,4561,4103,310,373
AL,28754,SÃO SEBASTIÃO,10181,6,11,9,27,0,376,4105,100,6599,23656,17057,844,1398
AL,28770,SATUBA,2896,12,0,7,3,0,1092,2564,71,1755,9286,7531,365,521
AL,28797,TANQUE D'ARCA,2132,2,1,0,3,0,150,667,16,881,4362,3481,148,362
AL,28819,TAQUARANA,5809,3,7,2,6,1,368,1966,31,3729,13448,9719,358,1168
AL,28835,TRAIPU,7955,4,9,11,5,0,489,2240,50,6202,18629,12427,245,1419
AL,28851,UNIÃO DOS PALMARES,15955,10,9,17,20,2,2285,8640,210,11696,42896,31200,1152,2900
AL,28878,VIÇOSA,7981,8,11,10,26,0,1018,4002,90,4530,19810,15280,649,1485
AL,28894,CRAÍBAS,7950,6,2,17,6,0,326,1939,45,3829,15703,11874,381,1202
AL,28916,SENADOR RUI PALMEIRA,4221,4,5,0,3,0,111,747,20,2314,8289,5975,110,754
AL,28932,TEOTÔNIO VILELA,8499,1,5,8,17,0,1143,8303,80,8809,29262,20453,684,1713
AM,2003,APUÍ,4312,4,1,0,1,1,109,1336,25,2778,9055,6277,84,404
AM,2011,NOVO AIRÃO,3693,3,1,3,6,1,537,634,16,1212,6463,5251,32,325
AM,2020,GUAJARÁ,1911,0,2,1,0,1,166,1271,7,4096,7818,3722,41,322
AM,2038,ANORI,4546,1,1,4,4,0,577,799,5,2154,8465,6311,31,343
AM,2046,CAREIRO DA VÁRZEA,8607,5,2,2,4,0,805,468,32,3383,14038,10655,73,657
AM,2054,ATALAIA DO NORTE,1804,2,0,1,1,0,411,1068,8,1456,5025,3569,13,261
AM,2070,AUTAZES,10605,2,3,10,3,0,1386,718,27,4729,18370,13641,82,805
AM,2097,BARCELOS,3345,0,1,4,1,0,922,768,11,2608,8006,5398,37,309
AM,2119,BARREIRINHA,8776,3,3,1,4,0,509,578,13,3748,14907,11159,53,1219
AM,2135,BENJAMIN CONSTANT,9759,6,5,8,2,0,757,981,23,3842,16316,12474,62,871
AM,2151,BOCA DO ACRE,5866,6,4,7,2,0,541,4614,44,5292,17571,12279,156,1039
AM,2178,BORBA,9787,1,4,3,2,1,1154,677,22,4872,17421,12549,61,837
AM,2194,CANUTAMA,2498,0,0,3,7,0,217,1111,7,2106,6371,4265,42,380
AM,2216,CARAUARI,6987,6,4,3,0,1,539,1162,13,6669,16286,9617,71,831
AM,2232,CAREIRO,10644,8,4,4,4,0,779,608,30,4906,18083,13177,122,974
AM,2259,COARI,20889,7,10,9,6,0,4647,2143,71,12144,41928,29784,243,1759
AM,2275,CODAJÁS,6210,2,3,6,4,0,1652,767,40,3929,13119,9190,49,457
AM,2291,EIRUNEPÉ,9385,2,2,5,1,0,423,757,26,6603,18476,11873,108,1164
AM,2313,ENVIRA,4827,3,3,1,4,0,286,758,11,3508,9868,6360,23,444
AM,2330,FONTE BOA,6707,4,2,3,1,0,346,829,26,3623,12308,8685,44,723
AM,2356,HUMAITÁ,13171,9,6,8,5,0,1066,2574,95,6063,24066,18003,213,856
AM,2372,SANTA ISABEL DO RIO NEGRO,1946,1,2,1,0,0,292,1041,5,2221,5792,3571,22,261
AM,2399,IPIXUNA,2855,3,3,4,3,0,136,1315,18,3630,8604,4974,72,565
AM,2410,ITACOATIARA,29151,13,7,26,8,0,7306,3710,195,13657,56332,42675,352,1907
AM,2437,ITAPIRANGA,3495,2,0,2,1,0,555,362,6,1207,5802,4595,20,152
AM,2453,JAPURÁ,1863,0,1,0,0,0,87,186,3,946,3192,2246,4,102
AM,2470,JURUÁ,1610,4,1,2,0,0,40,1572,3,2254,5760,3506,21,253
AM,2496,JUTAÍ,4405,0,3,3,0,0,217,779,13,3678,9744,6066,20,626
AM,2518,LÁBREA,9934,5,2,3,0,1,713,1555,78,6757,20006,13249,81,877
AM,2534,MANACAPURU,30846,12,6,20,17,0,6785,3473,163,13725,58041,44316,410,2584
AM,2550,MANAUS,516520,837,345,1105,490,49,329297,61290,7294,155231,1123758,968527,16618,34682
AM,2577,MANICORÉ,11401,1,4,6,4,1,504,3298,29,6880,23150,16270,100,922
AM,2593,MARAÃ,3486,2,1,0,1,1,211,436,5,2881,7414,4533,15,375
AM,2615,MAUÉS,15619,12,3,9,3,1,1909,847,50,7800,27518,19718,128,1137
AM,2631,NHAMUNDÁ,6307,2,2,3,1,0,385,966,3,3117,11205,8088,32,387
AM,2658,NOVA OLINDA DO NORTE,7766,2,3,0,1,1,711,496,10,3783,13448,9665,35,640
AM,2674,NOVO ARIPUANÃ,5553,0,1,2,0,0,477,595,8,3508,10695,7187,62,489
AM,2690,PARINTINS,32556,11,7,20,9,2,5492,3843,140,13715,57694,43979,305,1594
AM,2712,PAUINI,4081,2,2,2,1,1,327,767,6,2909,8552,5643,24,430
AM,2739,SANTO ANTÔNIO DO IÇÁ,5069,1,1,1,8,0,671,1521,9,2787,10762,7975,44,650
AM,2755,SÃO PAULO DE OLIVENÇA,6726,6,5,0,2,0,394,1836,9,2581,12410,9829,70,781
AM,2771,SILVES,3774,1,1,1,1,0,444,219,5,1282,5920,4638,18,174
AM,2798,TAPAUÁ,4916,0,3,3,1,2,250,1141,15,3657,10703,7046,94,621
AM,2810,TEFÉ,18382,6,7,14,8,0,2460,1445,87,9641,33570,23929,160,1360
AM,2836,SÃO GABRIEL DA CACHOEIRA,11635,2,0,4,7,0,1242,1815,47,7206,22745,15539,91,696
AM,2852,URUCARÁ,5564,2,0,0,1,2,577,447,8,2744,9696,6952,46,305
AM,2879,URUCURITUBA,5575,1,0,2,3,1,870,453,8,2842,10144,7302,43,346
AM,2895,ALVARÃES,4828,1,0,4,1,0,237,316,5,2190,7944,5754,28,334
AM,2917,AMATURÁ,2496,2,1,0,3,0,236,342,3,1170,4597,3427,16,328
AM,2933,ANAMÃ,2968,0,0,2,3,0,622,409,6,1755,6034,4279,35,234
AM,2950,BERURI,4460,2,1,1,1,0,307,907,2,2274,8367,6093,23,389
AM,2976,BOA VISTA DO RAMOS,5105,2,3,1,1,0,658,355,12,2396,8998,6602,41,424
AM,2992,CAAPIRANGA,3583,2,0,4,0,0,392,232,2,2045,6550,4505,32,258
AM,98353,IRANDUBA,15195,6,3,4,4,1,2635,712,49,4287,24149,19862,164,1089
AM,98370,ITAMARATI,2928,1,3,2,0,0,107,322,1,1626,5305,3679,10,305
AM,98396,MANAQUIRI,6582,0,1,1,2,0,665,255,7,2789,10827,8038,34,491
AM,98418,PRESIDENTE FIGUEIREDO,8415,3,3,2,6,0,1917,841,59,2611,14625,12014,112,656
AM,98434,RIO PRETO DA EVA,6549,5,3,6,22,0,1513,731,27,2145,11556,9411,101,454
AM,98450,SÃO SEBASTIÃO DO UATUMÃ,2425,0,0,3,2,0,562,477,18,1217,4904,3687,21,179
AM,98477,TABATINGA,12878,5,10,4,6,0,1902,2178,58,5715,24557,18842,111,1690
AM,98493,UARINI,3517,2,3,4,0,0,138,263,7,1771,6030,4259,16,309
AM,98515,TONANTINS,3835,2,4,0,4,0,98,821,8,1823,7062,5239,41,426
AP,6009,PRACUÚBA,1388,2,1,3,6,0,381,296,7,328,2508,2180,17,79
AP,6017,AMAPÁ,2952,2,2,13,4,0,744,606,22,978,5548,4570,41,184
AP,6025,PORTO GRANDE,5281,4,4,5,16,2,1348,1347,59,1603,10126,8523,71,386
AP,6033,CALÇOENE,3095,2,3,2,5,1,825,937,35,1159,6371,5212,53,254
AP,6041,ITAUBAL,1761,2,0,3,4,0,667,564,14,573,3760,3187,11,161
AP,6050,MACAPÁ,82215,549,226,336,262,18,70113,45289,2389,32283,243099,210816,2238,7181
AP,6068,CUTIAS,1493,0,3,3,3,0,627,496,10,687,3482,2795,11,149
AP,6076,MAZAGÃO,6246,8,3,8,6,0,1584,1603,50,1703,11675,9972,58,406
AP,6084,ÁGUA BRANCA DO AMAPARI,2466,4,2,5,3,0,673,728,37,1010,5189,4179,40,221
AP,6092,OIAPOQUE,5867,4,3,2,11,1,1830,1895,55,4963,15380,10417,129,620
AP,6106,SERRA DO NAVIO,1260,0,3,4,1,0,584,544,38,665,3226,2561,16,111
AP,6114,FERREIRA GOMES,1680,4,0,1,4,0,786,635,10,308,3599,3291,33,138
AP,6122,VITÓRIA DO JARI,4540,5,1,2,8,0,642,1614,35,2338,9584,7246,63,336
AP,6130,LARANJAL DO JARI,12343,13,8,8,28,2,2900,4119,143,5116,25862,20746,258,924
AP,6157,SANTANA,25563,86,22,54,50,4,16699,10787,482,7706,63992,56286,561,1978
AP,6173,TARTARUGALZINHO,3293,4,1,2,1,0,840,1314,32,1119,6930,5811,30,294
BA,30007,LUÍS EDUARDO MAGALHÃES,9390,10,1,7,7,1,2550,7368,41,5246,26060,20814,499,940
BA,30058,EUNÁPOLIS,19028,11,16,25,27,1,8143,18577,178,17826,68174,50348,1043,3299
BA,30660,IUIU,4182,1,3,3,1,1,141,871,4,2026,7836,5810,89,514
BA,30678,JABORANDI,3796,0,1,0,1,0,167,967,8,1376,6884,5508,140,428
BA,30694,JUSSARI,1898,3,2,3,1,0,188,960,5,1022,4430,3408,36,312
BA,30716,AMÉRICA DOURADA,5689,5,3,2,1,1,491,1252,15,3506,11801,8295,157,679
BA,30732,ARATACA,2693,2,2,1,1,0,248,1018,4,1301,5744,4443,63,411
BA,30759,BARRO ALTO,4727,4,2,1,5,4,454,1243,7,1558,8596,7038,111,480
BA,30775,BARROCAS,6437,5,6,3,4,1,502,1240,6,2162,11042,8880,174,502
BA,30791,BURITIRAMA,5215,2,6,1,3,0,117,3034,4,4517,14132,9615,65,1168
BA,30813,CAPELA DO ALTO ALEGRE,3923,3,3,6,2,1,825,1138,12,1610,8400,6790,275,602
BA,30830,CAPIM GROSSO,7151,6,4,5,1,3,1545,4231,38,4842,19556,14714,525,1205
BA,30856,CANUDOS,6492,2,1,2,4,1,445,693,8,3121,11538,8417,108,661
BA,30872,DIAS D'ÁVILA,19237,20,5,27,10,3,5340,3818,126,7383,38857,31474,1174,1714
BA,30899,FÁTIMA,6767,4,5,3,6,1,427,1635,35,3512,13594,10082,277,922
BA,30910,FILADÉLFIA,5102,3,6,2,5,1,824,2367,20,3529,13161,9632,392,910
BA,30937,GAVIÃO,1549,2,1,0,5,0,243,808,1,701,3743,3042,84,349
BA,30953,GUAJERU,3164,3,1,4,0,0,184,476,9,2792,7242,4450,78,531
BA,30970,HELIÓPOLIS,5034,8,8,1,1,4,318,1116,28,3266,10629,7363,242,603
BA,30996,JOÃO DOURADO,6519,2,6,5,0,2,1269,3399,23,4104,16446,12342,258,859
BA,33014,ABAÍRA,2895,7,3,8,4,4,230,1289,14,1321,6504,5183,139,590
BA,33030,ABARÉ,7430,1,4,3,0,0,481,581,11,1315,10782,9467,74,882
BA,33057,ACAJUTIBA,4768,4,3,0,3,1,444,1748,19,1851,9735,7884,202,692
BA,33065,ADUSTINA,5277,4,6,4,3,0,310,1755,11,3041,11486,8445,207,868
BA,33073,ÁGUA FRIA,5296,4,8,3,6,1,862,1175,17,2022,10700,8678,200,1106
BA,33090,ÉRICO CARDOSO,3878,5,5,1,1,0,227,891,11,2907,8677,5770,155,596
BA,33111,AIQUARA,1955,4,1,1,2,0,294,391,8,946,3989,3043,61,326
BA,33138,ALAGOINHAS,39449,68,26,35,29,5,16507,14808,375,19884,97745,77861,2446,4113
BA,33154,ALCOBAÇA,7422,2,3,3,4,3,666,1722,23,4699,15771,11072,291,933
BA,33170,ALMADINA,1819,2,0,2,3,0,432,897,19,1172,4831,3659,48,437
BA,33197,AMARGOSA,9955,7,7,4,9,1,1875,4172,52,4318,22339,18021,452,1487
BA,33219,AMÉLIA RODRIGUES,7405,5,2,12,9,2,1533,2956,53,2321,15799,13478,553,948
BA,33235,ANAGÉ,7494,3,4,4,2,0,566,3299,6,3688,16746,13058,292,1388
BA,33251,ANDARAÍ,5277,6,4,2,2,1,270,593,13,2892,9836,6944,135,641
BA,33260,ANDORINHA,7108,3,6,1,2,0,341,909,10,2708,11840,9132,184,568
BA,33278,ANGICAL,6597,3,5,1,2,0,319,1485,17,2105,11235,9130,137,564
BA,33294,ANGUERA,4323,0,5,4,5,1,543,884,8,1344,7899,6555,183,599
BA,33316,ANTAS,5030,2,7,2,5,1,373,1272,22,1490,9180,7690,190,786
BA,33332,ANTÔNIO CARDOSO,5649,4,5,0,1,2,663,1003,5,1280,9298,8018,169,517
BA,33359,ANTÔNIO GONÇALVES,3095,3,5,0,3,1,406,1305,14,1256,6864,5608,109,667
BA,33375,APORÁ,5367,6,4,4,2,1,346,2103,15,3779,12760,8981,196,937
BA,33383,ARAÇÁS,4397,1,4,4,1,0,657,1444,13,2462,9706,7244,200,523
BA,33391,ARACATU,5609,6,6,1,4,0,405,1378,13,2900,11333,8433,130,881
BA,33405,APUAREMA,2011,3,6,1,0,0,345,1213,13,1375,5500,4125,62,471
BA,33413,ARACI,19080,10,16,8,7,2,1018,2795,34,11326,36596,25270,371,1929
BA,33430,ARAMARI,4324,2,0,3,3,1,533,802,16,1047,7318,6271,157,430
BA,33456,ARATUÍPE,3044,3,1,1,5,0,558,1208,6,1314,6968,5654,120,708
BA,33472,AURELINO LEAL,4497,0,4,2,0,0,717,963,18,3823,10670,6847,106,540
BA,33499,BAIANÓPOLIS,5777,1,4,0,2,0,367,1009,10,1833,9974,8141,143,828
BA,33510,BAIXA GRANDE,5372,5,7,4,3,1,792,3275,24,3123,14140,11017,429,1105
BA,33529,BANZAÊ,4472,1,6,2,2,3,297,1155,9,2376,9106,6730,122,661
BA,33537,BARRA,15472,12,5,7,7,2,1047,3922,68,9640,32367,22727,244,1941
BA,33553,BARRA DA ESTIVA,8015,3,3,5,7,2,788,2523,20,3025,15730,12705,390,949
BA,33570,BARRA DO CHOÇA,8419,12,10,3,5,3,1469,4871,45,6681,24011,17330,472,2021
BA,33596,BARRA DO MENDES,5787,2,7,1,2,0,406,875,19,2972,10989,8017,172,746
BA,33618,BARRA DO ROCHA,1719,1,0,1,1,0,485,493,10,1164,4205,3041,40,291
BA,33634,BARREIRAS,39360,21,14,24,23,1,8208,11326,431,17294,81283,63989,1542,3039
BA,33650,BARRO PRETO,2196,6,2,3,0,0,272,907,16,849,4757,3908,96,410
BA,33677,BELMONTE,5941,4,7,6,8,0,1253,1989,22,3322,13663,10341,263,848
BA,33693,BELO CAMPO,5296,4,4,3,8,0,498,2398,16,4489,13811,9322,228,867
BA,33715,BIRITINGA,6482,10,6,2,4,0,427,597,11,1866,10462,8596,194,863
BA,33731,BOA NOVA,5581,4,2,3,3,0,322,919,16,4558,12712,8154,198,1106
BA,33758,BOA VISTA DO TUPIM,5558,4,6,5,8,0,456,2236,9,2233,11614,9381,180,919
BA,33774,BOM JESUS DA LAPA,19394,9,9,22,9,0,2578,5185,73,12674,42776,30102,674,2149
BA,33782,BOM JESUS DA SERRA,3937,4,2,0,2,0,198,518,3,2530,7942,5412,79,669
BA,33790,BONINAL,4118,0,3,5,3,0,226,1077,6,2446,8759,6313,126,749
BA,33804,BONITO,4032,8,2,2,3,2,361,2410,10,2706,10445,7739,190,719
BA,33812,BOQUIRA,8102,5,4,2,7,0,440,958,10,3754,14411,10657,194,935
BA,33839,BOTUPORÃ,4329,6,4,2,1,0,215,724,11,2686,8765,6079,99,688
BA,33855,BREJÕES,5116,4,7,2,5,0,670,1207,9,3471,11391,7920,177,723
BA,33871,BREJOLÂNDIA,3488,2,1,1,2,1,237,1050,4,1601,7205,5604,139,679
BA,33898,BROTAS DE MACAÚBAS,3714,3,4,1,0,1,201,1764,12,1781,8182,6401,80,621
BA,33910,BRUMADO,22685,8,16,12,13,2,3893,5099,89,5894,41554,35660,915,2928
BA,33936,BUERAREMA,4255,3,0,5,5,0,855,4008,36,2532,12678,10146,204,775
