"","NM_PARLA","PARTY","STATE","COD_PARLA","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"214","EDUARDO BARBOSA","PSDB","Minas Gerais",230,98,3,12,158,0.82883632183075,0.944649446494465,-0.809095680713654,0.0578089281916618,0,0,0
"215","EDUARDO CUNHA","PMDB","Rio de Janeiro",300,195,17,8,108,0.817574799060822,0.923780487804878,0.674384295940399,-0.73032820224762,0,0,0
"216","EDUARDO DA FONTE","PP","Pernambuco",156,165,9,14,95,0.838264584541321,0.918727915194346,0.524893760681152,0.00189728010445833,0,0,0
"217","EDUARDO GOMES","PSDB","Tocantins",60,50,1,5,80,0.81935453414917,0.955882352941177,-0.746190428733826,0.124546319246292,0,0,0
"218","EDUARDO LOPES","PRB","Rio de Janeiro",525,30,4,1,12,0.740897595882416,0.893617021276596,0.413698017597198,-0.0891506895422935,0,0,0
"219","EDUARDO LOPES","PSB","Rio de Janeiro",525,165,20,9,109,0.823175430297852,0.904290429042904,0.530550062656403,-0.303489923477173,0,0,0
"220","EDUARDO MOURA","PPS","Mato Grosso",559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"221","EDUARDO SCIARRA","DEM","Paraná",461,69,9,11,138,0.814494907855988,0.911894273127753,-0.671181261539459,-0.741293251514435,0,0,0
"222","EDUARDO SCIARRA","PFL","Paraná",461,12,0,0,16,0.942626953125,1,-0.733279287815094,0.679927468299866,0,0,0
"223","EDUARDO SUPLICY","PT","São Paulo",846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"224","EDUARDO VALVERDE","PT","Rondonia",48,181,10,5,124,0.891956031322479,0.953125,0.918960094451904,0.394350588321686,0,0,0
"225","EFRAIM FILHO","DEM","Paraíba",128,55,7,11,71,0.763915181159973,0.875,-0.582126498222351,-0.744572162628174,0,0,0
"226","EFRAIM FILHO","PFL","Paraíba",128,11,0,0,10,0.925581693649292,1,-0.736960053443909,0.675936281681061,0,0,0
"227","EFRAIM MORAIS","DEM","Paraíba",820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","ELCIONE BARBALHO","PMDB","Pará",21,163,5,6,84,0.856887102127075,0.957364341085271,0.50050413608551,-0.504597008228302,0,0,0
"229","ELEUSES PAIVA","DEM","São Paulo",589,35,1,4,48,0.793054819107056,0.943181818181818,-0.574928283691406,-0.695149779319763,0,0,0
"230","ELIENE LIMA","PP","Mato Grosso",401,193,10,17,126,0.857873797416687,0.921965317919075,0.536071002483368,0.0478310100734234,0,0,0
"231","ELISEU PADILHA","PMDB","Rio Grande do Sul",495,138,4,5,76,0.870551466941833,0.959641255605381,0.546467304229736,-0.302598983049393,0,0,0
"232","ELISEU RESENDE","PFL","Minas Gerais",843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","ELISMAR PRADO","PT","Minas Gerais",237,203,6,9,142,0.896688222885132,0.958333333333333,0.740513384342194,0.324928522109985,0,0,0
"234","ELIZEU AGUIAR","PTB","Piauí",569,46,4,4,35,0.787586510181427,0.910112359550562,0.501602172851562,-0.269487529993057,0,0,0
"235","EMANUEL","PSDB","São Paulo",352,27,1,4,38,0.830348193645477,0.928571428571429,-0.855455279350281,0.0550425127148628,0,0,0
"236","EMANUEL FERNANDES","PSDB","São Paulo",352,80,20,10,225,0.789079368114471,0.91044776119403,-0.855928421020508,0.305276989936829,0,0,0
"237","EMILIA FERNANDES","PT","Rio Grande do Sul",583,46,1,4,35,0.805872082710266,0.941860465116279,0.734583139419556,0.253625690937042,0,0,0
"238","EMILIANO JOSÉ","PT","Bahia",592,32,1,2,31,0.875289797782898,0.954545454545455,0.90886253118515,0.417096018791199,0,0,0
"239","EMÍLIA FERNANDES","PT","Rio Grande do Sul",583,10,0,0,10,0.988792300224304,1,0.990488708019257,0.13759434223175,0,0,0
"240","ENIO BACCI","PDT","Rio Grande do Sul",493,66,15,5,55,0.696111023426056,0.858156028368794,0.219117298722267,0.083871141076088,0,0,0
"241","ENÉAS","PR","São Paulo",353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","EPITÁCIO CAFETEIRA","PTB","Maranhão",807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","ERNANDES AMORIM","PTB","Rondonia",44,141,13,13,86,0.766797244548798,0.897233201581028,0.410596281290054,0.183470875024796,0,0,0
"244","EUDES XAVIER","PT","Ceará",91,175,9,6,116,0.884912669658661,0.950980392156863,0.843308925628662,0.382677406072617,0,0,0
"245","EUGÊNIO RABELO","PP","Ceará",93,187,9,15,98,0.868474423885345,0.922330097087379,0.552432954311371,0.0401816926896572,0,0,0
"246","EUNÍCIO OLIVEIRA","PMDB","Ceará",95,165,2,5,86,0.908472418785095,0.972868217054264,0.688401103019714,-0.492420732975006,0,0,0
"247","EURIPEDES MIRANDA","PT","Rondonia",608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","EVANDRO MILHOMEN","PCdoB","Amapá",11,202,17,18,113,0.806481957435608,0.9,0.5716912150383,-0.111880622804165,0,0,0
"249","EXPEDITO JÚNIOR","PR","Rondonia",847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","FELIPE BORNIER","PHS","Rio de Janeiro",301,187,18,11,129,0.811992168426514,0.915942028985507,0.479075610637665,-0.290769219398499,0,0,0
"251","FELIPE MAIA","DEM","Rio Grande do Norte",120,76,6,6,182,0.842842936515808,0.955555555555556,-0.712123215198517,-0.702054500579834,0,0,0
"252","FELIPE MAIA","PFL","Rio Grande do Norte",120,10,0,0,15,0.977728724479675,1,-0.729124069213867,0.684381484985352,0,0,0
"253","FERNANDO CHIARELLI","PDT","São Paulo",586,49,14,11,35,0.612658977508545,0.770642201834862,-0.0818770527839661,0.365228950977325,0,0,0
"254","FERNANDO CHUCRE","PSDB","São Paulo",354,97,19,15,204,0.768681287765503,0.898507462686567,-0.858322262763977,0.310915052890778,0,0,0
"255","FERNANDO COELHO FILHO","PSB","Pernambuco",158,176,18,9,99,0.842722058296204,0.910596026490066,0.550173759460449,-0.206267610192299,0,0,0
"256","FERNANDO COLLOR","PTB","Alagoas",927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"257","FERNANDO CORUJA","PPS","Santa Catarina",478,98,12,32,210,0.766389489173889,0.875,-0.63338840007782,-0.103328630328178,0,0,0
"258","FERNANDO DE FABINHO","DEM","Bahia",194,20,0,4,49,0.87304550409317,0.945205479452055,-0.764519214630127,-0.644600927829742,0,0,0
"259","FERNANDO DE FABINHO","PFL","Bahia",194,7,0,0,14,0.974827826023102,1,-0.737090289592743,0.675794243812561,0,0,0
"260","FERNANDO DINIZ","PMDB","Minas Gerais",233,118,2,5,79,0.866120636463165,0.965686274509804,0.586544334888458,-0.535015761852264,0,0,0
"261","FERNANDO FERRO","PT","Pernambuco",141,200,5,7,136,0.929878175258636,0.96551724137931,0.94720059633255,0.320641398429871,0,0,0
"262","FERNANDO GABEIRA","PV","Rio de Janeiro",296,71,36,51,148,0.551868736743927,0.715686274509804,-0.367119967937469,0.0823089629411697,0,0,0
"263","FERNANDO GONÇALVES","PTB","Rio de Janeiro",603,19,3,1,13,0.77106761932373,0.888888888888889,0.0920852646231651,-0.0579161942005157,0,0,0
"264","FERNANDO LOPES","PMDB","Rio de Janeiro",304,142,18,9,104,0.796823859214783,0.901098901098901,0.431930005550385,-0.12903718650341,0,0,0
"265","FERNANDO MARRONI","PT","Rio Grande do Sul",571,57,4,3,38,0.845688581466675,0.931372549019608,0.862357497215271,0.506299793720245,0,0,0
"266","FERNANDO MELO","PT","Acre",53,166,3,4,99,0.895295679569244,0.974264705882353,0.880514621734619,0.30049604177475,0,0,0
"267","FERNANDO NASCIMENTO","PT","Pernambuco",570,73,5,5,65,0.867851197719574,0.932432432432432,0.718524158000946,0.449677586555481,0,0,0
"268","FILIPE PEREIRA","PSC","Rio de Janeiro",303,185,19,15,97,0.792607009410858,0.892405063291139,0.444307625293732,-0.563009858131409,0,0,0
"269","FLAVIANO MELO","PMDB","Acre",54,152,14,7,82,0.799170851707458,0.917647058823529,0.326538145542145,-0.362589091062546,0,0,0
"270","FLEXA RIBEIRO","PSDB","Pará",935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","FLÁVIO ARNS","PT","Paraná",856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"272","FLÁVIO BEZERRA","PMDB","Ceará",94,188,5,3,116,0.899949789047241,0.974358974358974,0.570248186588287,-0.324689835309982,0,0,0
"273","FLÁVIO BEZERRA","PRB","Ceará",94,37,1,3,19,0.874655187129974,0.933333333333333,0.534148514270782,-0.426127642393112,0,0,0
"274","FLÁVIO DINO","PCdoB","Maranhão",76,162,10,20,102,0.809469878673553,0.897959183673469,0.601855874061584,-0.078368566930294,0,0,0
"275","FRANCISCO DORNELLES","PP","Rio de Janeiro",840,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"276","FRANCISCO PRACIANO","PT","Amazonas",41,108,5,6,66,0.850313901901245,0.940540540540541,0.710326254367828,0.285976827144623,0,0,0
"277","FRANCISCO RODRIGUES","DEM","Roraima",3,64,6,20,106,0.714587450027466,0.86734693877551,-0.511751592159271,-0.783285558223724,0,0,0
"278","FRANCISCO RODRIGUES","PFL","Roraima",3,7,1,2,12,0.733846247196198,0.863636363636364,-0.47469162940979,0.471577942371368,0,0,0
"279","FRANCISCO ROSSI","PMDB","São Paulo",355,136,41,26,82,0.62797999382019,0.764912280701754,-0.0221922155469656,-0.50346714258194,0,0,0
"280","FRANCISCO TENORIO","PMN","Alagoas",169,183,10,12,102,0.857103824615479,0.928338762214984,0.543653547763824,-0.077246718108654,0,0,0
"281","FRANK AGUIAR","PTB","São Paulo",356,107,1,7,62,0.887657403945923,0.954802259887006,0.503640174865723,-0.0586975775659084,0,0,0
"282","FREIRE JÚNIOR","PSDB","Tocantins",552,1,1,0,22,0.852150738239288,0.958333333333333,-0.699290096759796,-0.714838087558746,0,0,0
"283","FÁBIO FARIA","PMN","Rio Grande do Norte",119,151,9,11,81,0.82629930973053,0.920634920634921,0.425540179014206,-0.376742333173752,0,0,0
"284","FÁBIO RAMALHO","PV","Minas Gerais",238,165,16,10,109,0.798762381076813,0.913333333333333,0.350638270378113,0.348157197237015,0,0,0
"285","FÁBIO RODRIGUES DE OLIVEIRA","DEM","Paraíba",550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"286","FÁBIO SOUTO","DEM","Bahia",190,82,7,10,148,0.821137309074402,0.931174089068826,-0.662155508995056,-0.749366521835327,0,0,0
"287","FÁBIO SOUTO","PFL","Bahia",190,8,0,0,13,0.969152271747589,1,-0.632740497589111,0.774363934993744,0,0,0
"288","FÁTIMA BEZERRA","PT","Rio Grande do Norte",121,147,5,2,95,0.915046274662018,0.971887550200803,0.88756662607193,0.38226255774498,0,0,0
"289","FÁTIMA CLEIDE","PT","Rondonia",867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"290","FÁTIMA PELAES","PMDB","Amapá",12,155,4,3,82,0.89951080083847,0.971311475409836,0.64661306142807,-0.529526472091675,0,0,0
"291","FÉLIX MENDONÇA","DEM","Bahia",191,67,16,31,130,0.637450039386749,0.807377049180328,-0.475339382886887,-0.501108527183533,0,0,0
"292","FÉLIX MENDONÇA","PFL","Bahia",191,10,1,0,13,0.93686443567276,0.958333333333333,-0.783166468143463,0.621812164783478,0,0,0
"293","GARIBALDI ALVES FILHO","PMDB","Rio Grande do Norte",817,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"294","GASTÃO VIEIRA","PMDB","Maranhão",75,149,9,4,87,0.838059484958649,0.947791164658635,0.465248167514801,-0.174770921468735,0,0,0
"295","GEDDEL VIEIRA LIMA","PMDB","Bahia",193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"296","GEORGE HILTON","PP","Minas Gerais",241,108,10,10,77,0.758108973503113,0.902439024390244,0.375704705715179,-0.170481964945793,0,0,0
"297","GEORGE HILTON","PRB","Minas Gerais",241,25,2,2,15,0.836525082588196,0.909090909090909,0.265198677778244,-0.227762311697006,0,0,0
"298","GERALDINHO","PSOL","Rio Grande do Sul",596,16,7,7,15,0.572718322277069,0.688888888888889,-0.397263437509537,0.917704582214355,0,0,0
"299","GERALDO MESQUITA JÚNIOR","PMDB","Acre",850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300","GERALDO PUDIM","PMDB","Rio de Janeiro",305,171,3,4,103,0.894745051860809,0.97508896797153,0.558633089065552,-0.503876268863678,0,0,0
"301","GERALDO PUDIM","PR","Rio de Janeiro",305,41,3,3,14,0.791131556034088,0.901639344262295,0.390812039375305,0.193993404507637,0,0,0
"302","GERALDO RESENDE","PMDB","Mato Grosso do Sul",435,176,10,8,98,0.840634942054749,0.938356164383562,0.468842357397079,-0.346543997526169,0,0,0
"303","GERALDO RESENDE","PPS","Mato Grosso do Sul",435,22,8,13,24,0.557789504528046,0.686567164179104,-0.323348760604858,-0.120748355984688,0,0,0
"304","GERALDO SIMÕES","PT","Bahia",185,91,1,2,69,0.909694731235504,0.98159509202454,0.924662172794342,0.347820252180099,0,0,0
"305","GERALDO THADEU","PPS","Minas Gerais",236,87,16,40,105,0.616104423999786,0.774193548387097,-0.300291746854782,-0.12269639223814,0,0,0
"306","GERMANO BONOW","DEM","Rio Grande do Sul",489,81,6,12,199,0.841821372509003,0.939597315436242,-0.706543266773224,-0.707669734954834,0,0,0
"307","GERMANO BONOW","PFL","Rio Grande do Sul",489,13,0,0,18,0.939373672008514,1,-0.730666875839233,0.682734131813049,0,0,0
"308","GERSON CAMATA","PMDB","Espírito Santo",835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"309","GERSON PERES","PP","Pará",26,146,18,15,91,0.739386856555939,0.877777777777778,0.240063428878784,-0.00195841933600605,0,0,0
"310","GERVÁSIO SILVA","DEM","Santa Catarina",479,11,3,2,14,0.661516308784485,0.833333333333333,-0.889497458934784,0.274949997663498,0,0,0
"311","GERVÁSIO SILVA","PFL","Santa Catarina",479,9,2,3,6,0.544535279273987,0.75,-0.349076896905899,-0.245568707585335,0,0,0
"312","GERVÁSIO SILVA","PSDB","Santa Catarina",479,56,4,5,101,0.818985462188721,0.94578313253012,-0.692215979099274,0.00158653769176453,0,0,0
"313","GERÔNIMO DA ADEFAL","PFL","Alagoas",170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"314","GIACOBO","PR","Paraná",466,155,17,17,88,0.754893064498901,0.877256317689531,0.348174810409546,0.25261190533638,0,0,0
"315","GILBERTO GOELLNER","DEM","Mato Grosso",941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","GILMAR MACHADO","PT","Minas Gerais",234,194,5,7,132,0.904942870140076,0.964497041420118,0.899218320846558,0.416214227676392,0,0,0
"317","GILVAM BORGES","PMDB","Amapá",942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"318","GIM ARGELLO","PTB","Distrito Federal",947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"319","GIOVANNI QUEIROZ","PDT","Pará",27,186,18,17,118,0.76980721950531,0.896755162241888,0.328431129455566,-0.201551228761673,0,0,0
"320","GIVALDO CARIMBÃO","PSB","Alagoas",166,140,4,9,78,0.837608218193054,0.943722943722944,0.687374293804169,0.145060300827026,0,0,0
"321","GLADSON CAMELI","PP","Acre",55,112,5,15,68,0.822665572166443,0.9,0.555178284645081,0.065101370215416,0,0,0
"322","GLADSON DE LIMA CAMELI","PP","Acre",55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"323","GLAUBER BRAGA","PSB","Rio de Janeiro",572,55,10,9,47,0.698361277580261,0.84297520661157,0.364361763000488,0.45099350810051,0,0,0
"324","GONZAGA PATRIOTA","PSB","Pernambuco",143,120,15,4,58,0.810755431652069,0.903553299492386,0.43236580491066,-0.239602997899055,0,0,0
"325","GORETE PEREIRA","PR","Ceará",100,150,12,16,87,0.793721616268158,0.894339622641509,0.353127092123032,0.0970013067126274,0,0,0
"326","GUILHERME CAMPOS","DEM","São Paulo",357,75,9,11,179,0.832707941532135,0.927007299270073,-0.705306231975555,-0.696636438369751,0,0,0
"327","GUILHERME CAMPOS","PFL","São Paulo",357,13,0,0,15,0.938342213630676,1,-0.705417633056641,0.708791792392731,0,0,0
"328","GUILHERME MENEZES","PT","Bahia",195,139,4,1,90,0.921337425708771,0.978632478632479,0.823315382003784,0.229876458644867,0,0,0
"329","GUSTAVO FRUET","PSDB","Paraná",450,92,25,16,186,0.731573581695557,0.871473354231975,-0.721315383911133,0.30110964179039,0,0,0
